,MRO US Equity
,CURRENT_EV_TO_T12M_EBIT
2022-11-19,6.6382
2022-11-20,6.6382
2022-11-21,6.4962
2022-11-22,6.711
2022-11-23,6.6101
2022-11-24,6.6101
2022-11-25,6.5597
2022-11-26,6.5597
2022-11-27,6.5597
2022-11-28,6.4532
2022-11-29,6.5541
2022-11-30,6.6064
2022-12-01,6.5055
2022-12-02,6.4401
2022-12-03,6.4401
2022-12-04,6.4401
2022-12-05,6.2122
2022-12-06,6.0122
2022-12-07,6.0048
2022-12-08,5.8983
2022-12-09,5.7731
2022-12-10,5.7731
2022-12-11,5.7731
2022-12-12,5.9618
2022-12-13,6.0552
2022-12-14,6.016
2022-12-15,6.0888
2022-12-16,5.9898
2022-12-17,5.9898
2022-12-18,5.9898
2022-12-19,5.9338
2022-12-20,5.9562
2022-12-21,6.0664
2022-12-22,5.8721
2022-12-23,6.0104
2022-12-24,6.0104
2022-12-25,6.0104
2022-12-26,6.0104
2022-12-27,6.0496
2022-12-28,5.8497
2022-12-29,5.8871
2022-12-30,6.8713
2022-12-31,6.8713
2023-01-01,6.8713
2023-01-02,6.8713
2023-01-03,6.5992
2023-01-04,6.5383
2023-01-05,6.643
2023-01-06,6.7818
2023-01-07,6.7818
2023-01-08,6.7818
2023-01-09,6.8637
2023-01-10,6.8599
2023-01-11,6.8675
2023-01-12,6.9302
2023-01-13,6.8732
2023-01-14,6.8732
2023-01-15,6.8732
2023-01-16,6.8732
2023-01-17,6.8199
2023-01-18,6.8351
2023-01-19,6.9321
2023-01-20,7.0254
2023-01-21,7.0254
2023-01-22,7.0254
2023-01-23,7.0672
2023-01-24,7.0197
2023-01-25,7.0216
2023-01-26,7.1928
2023-01-27,7.1072
2023-01-28,7.1072
2023-01-29,7.1072
2023-01-30,6.8751
2023-01-31,6.9474
2023-02-01,6.8161
2023-02-02,6.7038
2023-02-03,6.6734
2023-02-04,6.6734
2023-02-05,6.6734
2023-02-06,6.6277
2023-02-07,6.8332
2023-02-08,6.7818
2023-02-09,6.6924
2023-02-10,7.0006
2023-02-11,7.0006
2023-02-12,7.0006
2023-02-13,6.9207
2023-02-14,6.8884
2023-02-15,6.681
2023-02-16,6.7727
2023-02-17,6.5991
2023-02-18,6.5991
2023-02-19,6.5991
2023-02-20,6.5991
2023-02-21,6.5161
2023-02-22,6.4576
2023-02-23,6.5274
2023-02-24,6.5482
2023-02-25,6.5482
