,NUE US Equity
,CURRENT_EV_TO_T12M_EBIT
2021-12-08,5.6065
2021-12-09,5.61
2021-12-10,5.6241
2021-12-11,5.6241
2021-12-12,5.6241
2021-12-13,5.727
2021-12-14,5.8533
2021-12-15,5.4046
2021-12-16,5.6545
2021-12-17,5.8348
2021-12-18,5.8348
2021-12-19,5.8348
2021-12-20,5.5326
2021-12-21,5.5937
2021-12-22,5.643
2021-12-23,5.672
2021-12-24,5.672
2021-12-25,5.672
2021-12-26,5.672
2021-12-27,5.7754
2021-12-28,5.6786
2021-12-29,5.698
2021-12-30,5.6523
2021-12-31,3.9487
2022-01-01,3.9487
2022-01-02,3.9487
2022-01-03,3.9145
2022-01-04,4.0389
2022-01-05,4.2133
2022-01-06,4.0244
2022-01-07,3.9577
2022-01-08,3.9577
2022-01-09,3.9577
2022-01-10,3.878
2022-01-11,3.8465
2022-01-12,3.9663
2022-01-13,3.9046
2022-01-14,3.8459
2022-01-15,3.8459
2022-01-16,3.8459
2022-01-17,3.8459
2022-01-18,3.7187
2022-01-19,3.6431
2022-01-20,3.5224
2022-01-21,3.2973
2022-01-22,3.2973
2022-01-23,3.2973
2022-01-24,3.3671
2022-01-25,3.3325
2022-01-26,3.297
2022-01-27,3.4112
2022-01-28,3.5054
2022-01-29,3.5054
2022-01-30,3.5054
2022-01-31,3.5551
2022-02-01,3.7422
2022-02-02,3.8817
2022-02-03,3.8901
2022-02-04,3.8595
2022-02-05,3.8595
2022-02-06,3.8595
2022-02-07,3.8552
2022-02-08,3.9926
2022-02-09,4.1318
2022-02-10,4.1785
2022-02-11,4.0803
2022-02-12,4.0803
2022-02-13,4.0803
2022-02-14,4.0475
2022-02-15,4.1781
2022-02-16,4.2115
2022-02-17,4.1584
2022-02-18,4.2198
2022-02-19,4.2198
2022-02-20,4.2198
2022-02-21,4.2198
2022-02-22,4.0895
2022-02-23,4.067
2022-02-24,4.1571
2022-02-25,4.4397
2022-02-26,4.4397
2022-02-27,4.4397
2022-02-28,4.251
2022-03-01,4.233
2022-03-02,4.4368
2022-03-03,4.4229
2022-03-04,4.4575
2022-03-05,4.4575
2022-03-06,4.4575
2022-03-07,4.2592
2022-03-08,4.0865
2022-03-09,4.2042
2022-03-10,4.3074
2022-03-11,4.3566
2022-03-12,4.3566
2022-03-13,4.3566
2022-03-14,4.2635
2022-03-15,4.3644
2022-03-16,4.3525
2022-03-17,4.3473
2022-03-18,4.383
2022-03-19,4.383
2022-03-20,4.383
2022-03-21,4.5746
2022-03-22,4.611
2022-03-23,4.7023
2022-03-24,4.8878
2022-03-25,4.9947
2022-03-26,4.9947
2022-03-27,4.9947
2022-03-28,4.8854
2022-03-29,4.7883
2022-03-30,4.7584
2022-03-31,4.7346
2022-04-01,4.0179
2022-04-02,4.0179
2022-04-03,4.0179
2022-04-04,4.0244
2022-04-05,4.0066
2022-04-06,3.9495
2022-04-07,4.0587
2022-04-08,4.055
2022-04-09,4.055
2022-04-10,4.055
2022-04-11,4.1054
2022-04-12,4.2151
2022-04-13,4.363
2022-04-14,4.4147
2022-04-15,4.4147
2022-04-16,4.4147
2022-04-17,4.4147
2022-04-18,4.5384
2022-04-19,4.5755
2022-04-20,4.5117
2022-04-21,4.6683
2022-04-22,4.3092
2022-04-23,4.3092
2022-04-24,4.3092
2022-04-25,4.2477
2022-04-26,4.2099
2022-04-27,4.2583
2022-04-28,4.2993
2022-04-29,4.1543
2022-04-30,4.1543
2022-05-01,4.1543
2022-05-02,4.0028
2022-05-03,4.0559
2022-05-04,4.1139
2022-05-05,3.7783
2022-05-06,3.6737
2022-05-07,3.6737
2022-05-08,3.6737
2022-05-09,3.5141
2022-05-10,3.5019
2022-05-11,3.4147
2022-05-12,3.3822
2022-05-13,3.3614
2022-05-14,3.3614
2022-05-15,3.3614
2022-05-16,3.2625
2022-05-17,3.3927
2022-05-18,3.2485
2022-05-19,3.286
2022-05-20,3.2678
2022-05-21,3.2678
2022-05-22,3.2678
2022-05-23,3.423
2022-05-24,3.3719
2022-05-25,3.4806
2022-05-26,3.5885
2022-05-27,3.7029
2022-05-28,3.7029
2022-05-29,3.7029
2022-05-30,3.7029
2022-05-31,3.5736
2022-06-01,3.5308
2022-06-02,3.5533
2022-06-03,3.4818
2022-06-04,3.4818
2022-06-05,3.4818
2022-06-06,3.5004
2022-06-07,3.6059
2022-06-08,3.51
2022-06-09,3.3582
2022-06-10,3.2727
2022-06-11,3.2727
2022-06-12,3.2727
2022-06-13,3.0793
2022-06-14,3.1148
2022-06-15,3.1819
2022-06-16,3.0867
2022-06-17,3.1214
2022-06-18,3.1214
2022-06-19,3.1214
2022-06-20,3.1214
2022-06-21,3.0791
2022-06-22,2.9709
2022-06-23,2.9268
2022-06-24,3.0497
2022-06-25,3.0497
2022-06-26,3.0497
2022-06-27,3.0252
2022-06-28,2.9741
2022-06-29,2.7734
2022-06-30,2.7338
2022-07-01,2.7603
2022-07-02,2.7603
2022-07-03,2.7603
2022-07-04,2.7603
2022-07-05,2.7379
2022-07-06,2.7661
2022-07-07,2.8646
2022-07-08,2.8328
2022-07-09,2.8328
2022-07-10,2.8328
2022-07-11,2.8074
2022-07-12,2.8363
2022-07-13,2.8479
2022-07-14,2.819
2022-07-15,2.861
2022-07-16,2.861
2022-07-17,2.861
2022-07-18,2.9503
2022-07-19,3.0096
2022-07-20,3.0208
2022-07-21,3.2525
2022-07-22,3.0662
2022-07-23,3.0662
2022-07-24,3.0662
2022-07-25,3.1174
2022-07-26,3.1404
2022-07-27,3.2269
2022-07-28,3.293
2022-07-29,3.4091
2022-07-30,3.4091
2022-07-31,3.4091
2022-08-01,3.3889
2022-08-02,3.3304
2022-08-03,3.3145
2022-08-04,3.3758
2022-08-05,3.4272
2022-08-06,3.4272
2022-08-07,3.4272
2022-08-08,3.4253
2022-08-09,3.4692
2022-08-10,3.4833
2022-08-11,3.492
2022-08-12,3.513
2022-08-13,3.513
2022-08-14,3.513
2022-08-15,3.4914
2022-08-16,3.5079
2022-08-17,3.4617
2022-08-18,3.5056
2022-08-19,3.413
2022-08-20,3.413
2022-08-21,3.413
2022-08-22,3.3546
2022-08-23,3.398
2022-08-24,3.4122
2022-08-25,3.5409
2022-08-26,3.4626
2022-08-27,3.4626
2022-08-28,3.4626
2022-08-29,3.4425
2022-08-30,3.3502
2022-08-31,3.3023
2022-09-01,3.2485
2022-09-02,3.2566
2022-09-03,3.2566
2022-09-04,3.2566
2022-09-05,3.2566
2022-09-06,3.3343
2022-09-07,3.3588
2022-09-08,3.4395
2022-09-09,3.5272
2022-09-10,3.5272
2022-09-11,3.5272
2022-09-12,3.4882
2022-09-13,3.3692
2022-09-14,3.0434
2022-09-15,2.9705
2022-09-16,2.9665
2022-09-17,2.9665
2022-09-18,2.9665
2022-09-19,3.0034
2022-09-20,2.8911
2022-09-21,2.8272
2022-09-22,2.7923
2022-09-23,2.7292
2022-09-24,2.7292
2022-09-25,2.7292
2022-09-26,2.6767
2022-09-27,2.7169
2022-09-28,2.7514
