,LLY US Equity
,CURRENT_EV_TO_T12M_EBIT
2022-07-30,44.1736
2022-07-31,44.1736
2022-08-01,43.4634
2022-08-02,42.9571
2022-08-03,42.1406
2022-08-04,41.1107
2022-08-05,40.5378
2022-08-06,40.5378
2022-08-07,40.5378
2022-08-08,40.689
2022-08-09,40.7557
2022-08-10,40.9595
2022-08-11,40.5185
2022-08-12,41.4043
2022-08-13,41.4043
2022-08-14,41.4043
2022-08-15,42.1554
2022-08-16,41.6901
2022-08-17,42.5246
2022-08-18,42.5117
2022-08-19,43.2872
2022-08-20,43.2872
2022-08-21,43.2872
2022-08-22,43.3295
2022-08-23,42.3041
2022-08-24,42.7873
2022-08-25,43.3346
2022-08-26,42.363
2022-08-27,42.363
2022-08-28,42.363
2022-08-29,41.6696
2022-08-30,41.2709
2022-08-31,40.5262
2022-09-01,41.5388
2022-09-02,40.539
2022-09-03,40.539
2022-09-04,40.539
2022-09-05,40.539
2022-09-06,41.2427
2022-09-07,41.8554
2022-09-08,42.3554
2022-09-09,42.6373
2022-09-10,42.6373
2022-09-11,42.6373
2022-09-12,42.3195
2022-09-13,41.1992
2022-09-14,41.6004
2022-09-15,41.5824
2022-09-16,41.5081
2022-09-17,41.5081
2022-09-18,41.5081
2022-09-19,41.021
2022-09-20,40.5903
2022-09-21,39.9174
2022-09-22,41.7619
2022-09-23,41.8375
2022-09-24,41.8375
2022-09-25,41.8375
2022-09-26,41.3299
2022-09-27,41.7914
2022-09-28,44.7754
2022-09-29,44.2152
2022-09-30,44.4612
2022-10-01,44.4612
2022-10-02,44.4612
2022-10-03,44.224
2022-10-04,45.3234
2022-10-05,45.5725
2022-10-06,45.7267
2022-10-07,44.8976
2022-10-08,44.8976
2022-10-09,44.8976
2022-10-10,44.5324
2022-10-11,45.0215
2022-10-12,44.6221
2022-10-13,45.6147
2022-10-14,45.5211
2022-10-15,45.5211
2022-10-16,45.5211
2022-10-17,45.7017
2022-10-18,46.0009
2022-10-19,45.2443
2022-10-20,45.2153
2022-10-21,46.7576
2022-10-22,46.7576
2022-10-23,46.7576
2022-10-24,47.6974
2022-10-25,48.1469
2022-10-26,49.0104
2022-10-27,48.8087
2022-10-28,49.2793
2022-10-29,49.2793
2022-10-30,49.2793
2022-10-31,49.568
2022-11-01,48.3145
2022-11-02,48.6282
2022-11-03,49.5141
2022-11-04,48.9512
2022-11-05,48.9512
2022-11-06,48.9512
2022-11-07,49.961
2022-11-08,50.1705
2022-11-09,49.7237
2022-11-10,50.4421
2022-11-11,48.2776
2022-11-12,48.2776
2022-11-13,48.2776
2022-11-14,48.7732
2022-11-15,47.9678
2022-11-16,48.3606
2022-11-17,49.3941
2022-11-18,49.5128
2022-11-19,49.5128
2022-11-20,49.5128
2022-11-21,49.4469
2022-11-22,49.4086
2022-11-23,49.5194
2022-11-24,49.5194
2022-11-25,49.9847
2022-11-26,49.9847
2022-11-27,49.9847
2022-11-28,50.0532
2022-11-29,49.8133
2022-11-30,50.7532
2022-12-01,50.6543
2022-12-02,51.2383
2022-12-03,51.2383
2022-12-04,51.2383
2022-12-05,50.5172
2022-12-06,50.4184
2022-12-07,50.8705
2022-12-08,50.8468
2022-12-09,49.4231
2022-12-10,49.4231
2022-12-11,49.4231
2022-12-12,50.2483
2022-12-13,49.116
2022-12-14,49.754
2022-12-15,49.2939
2022-12-16,49.2755
2022-12-17,49.2755
2022-12-18,49.2755
2022-12-19,49.0
2022-12-20,49.2452
2022-12-21,50.3485
2022-12-22,49.9926
2022-12-23,50.334
2022-12-24,50.334
2022-12-25,50.334
2022-12-26,50.334
2022-12-27,49.9359
2022-12-28,49.9807
2022-12-29,50.218
2022-12-30,50.7577
2022-12-31,50.7577
2023-01-01,50.7577
2023-01-02,50.7577
2023-01-03,50.6444
2023-01-04,50.3924
2023-01-05,49.8352
2023-01-06,50.3711
2023-01-07,50.3711
2023-01-08,50.3711
2023-01-09,48.6233
2023-01-10,49.0126
2023-01-11,50.0338
2023-01-12,49.8618
2023-01-13,50.1951
2023-01-14,50.1951
2023-01-15,50.1951
2023-01-16,50.1951
2023-01-17,49.6779
2023-01-18,48.914
2023-01-19,48.79
2023-01-20,48.1221
2023-01-21,48.1221
2023-01-22,48.1221
2023-01-23,47.6075
2023-01-24,48.1647
2023-01-25,48.61
2023-01-26,48.3807
2023-01-27,47.5928
2023-01-28,47.5928
2023-01-29,47.5928
2023-01-30,47.3795
2023-01-31,47.8661
2023-02-01,47.6555
2023-02-02,46.073
2023-02-03,47.1902
2023-02-04,47.1902
2023-02-05,47.1902
2023-02-06,47.0009
2023-02-07,47.2702
2023-02-08,47.4102
2023-02-09,47.5515
2023-02-10,47.9954
2023-02-11,47.9954
2023-02-12,47.9954
2023-02-13,48.6993
2023-02-14,48.3207
2023-02-15,46.6476
2023-02-16,45.4558
2023-02-17,45.7664
2023-02-18,45.7664
2023-02-19,45.7664
2023-02-20,45.7664
2023-02-21,45.6477
2023-02-22,45.8612
2023-02-23,45.6545
2023-02-24,44.8705
2023-02-25,44.8705
2023-02-26,44.8705
2023-02-27,44.2012
2023-02-28,43.4812
2023-03-01,43.8745
2023-03-02,43.9919
2023-03-03,44.4425
2023-03-04,44.4425
2023-03-05,44.4425
2023-03-06,44.5132
