,EBAY US Equity
,CURRENT_EV_TO_T12M_EBIT
2022-08-30,11.0235
2022-08-31,10.955
2022-09-01,11.092
2022-09-02,10.9508
2022-09-03,10.9508
2022-09-04,10.9508
2022-09-05,10.9508
2022-09-06,10.7218
2022-09-07,11.0685
2022-09-08,10.9807
2022-09-09,11.1626
2022-09-10,11.1626
2022-09-11,11.1626
2022-09-12,11.2525
2022-09-13,10.6683
2022-09-14,10.6212
2022-09-15,10.6404
2022-09-16,10.4992
2022-09-17,10.4992
2022-09-18,10.4992
2022-09-19,10.3601
2022-09-20,10.0498
2022-09-21,9.8422
2022-09-22,9.7074
2022-09-23,9.6838
2022-09-24,9.6838
2022-09-25,9.6838
2022-09-26,9.671
2022-09-27,9.5511
2022-09-28,9.7737
2022-09-29,9.5768
2022-09-30,9.6192
2022-10-01,9.6192
2022-10-02,9.6192
2022-10-03,9.7103
2022-10-04,10.0324
2022-10-05,10.1323
2022-10-06,10.0812
2022-10-07,9.7836
2022-10-08,9.7836
2022-10-09,9.7836
2022-10-10,9.7858
2022-10-11,9.6503
2022-10-12,9.6903
2022-10-13,9.8746
2022-10-14,9.6792
2022-10-15,9.6792
2022-10-16,9.6792
2022-10-17,9.8502
2022-10-18,9.9946
2022-10-19,9.8413
2022-10-20,9.7991
2022-10-21,9.9746
2022-10-22,9.9746
2022-10-23,9.9746
2022-10-24,10.0346
2022-10-25,10.099
2022-10-26,10.2323
2022-10-27,10.2945
2022-10-28,10.3989
2022-10-29,10.3989
2022-10-30,10.3989
2022-10-31,10.2923
2022-11-01,10.2856
2022-11-02,9.8969
2022-11-03,9.9604
2022-11-04,10.2347
2022-11-05,10.2347
2022-11-06,10.2347
2022-11-07,10.3466
2022-11-08,10.5704
2022-11-09,10.3444
2022-11-10,11.2419
2022-11-11,11.6478
2022-11-12,11.6478
2022-11-13,11.6478
2022-11-14,11.5162
2022-11-15,11.7597
2022-11-16,11.424
2022-11-17,11.4196
2022-11-18,11.4657
2022-11-19,11.4657
2022-11-20,11.4657
2022-11-21,11.2572
2022-11-22,11.345
2022-11-23,11.367
2022-11-24,11.367
2022-11-25,11.3253
2022-11-26,11.3253
2022-11-27,11.3253
2022-11-28,11.1695
2022-11-29,11.0466
2022-11-30,11.413
2022-12-01,11.3516
2022-12-02,11.3604
2022-12-03,11.3604
2022-12-04,11.3604
2022-12-05,11.0839
2022-12-06,10.9544
2022-12-07,10.9127
2022-12-08,11.0707
2022-12-09,11.0181
2022-12-10,11.0181
2022-12-11,11.0181
2022-12-12,11.0356
2022-12-13,11.0356
2022-12-14,11.0422
2022-12-15,10.7218
2022-12-16,10.4387
2022-12-17,10.4387
2022-12-18,10.4387
2022-12-19,10.5134
2022-12-20,10.4322
2022-12-21,10.5002
2022-12-22,10.2456
2022-12-23,10.2566
2022-12-24,10.2566
2022-12-25,10.2566
2022-12-26,10.2566
2022-12-27,10.2369
2022-12-28,10.2018
2022-12-29,10.6187
2022-12-30,11.0885
2022-12-31,11.0885
2023-01-01,11.0885
2023-01-02,11.0885
2023-01-03,11.2456
2023-01-04,11.4626
2023-01-05,11.4649
2023-01-06,11.9291
2023-01-07,11.9291
2023-01-08,11.9291
2023-01-09,11.5619
2023-01-10,11.9245
2023-01-11,12.2755
2023-01-12,12.2339
2023-01-13,12.1946
2023-01-14,12.1946
2023-01-15,12.1946
2023-01-16,12.1946
2023-01-17,12.3124
2023-01-18,12.13
2023-01-19,12.0284
2023-01-20,12.287
2023-01-21,12.287
2023-01-22,12.287
2023-01-23,12.5179
2023-01-24,12.2939
2023-01-25,12.8112
2023-01-26,12.8643
2023-01-27,12.8274
2023-01-28,12.8274
2023-01-29,12.8274
2023-01-30,12.802
2023-01-31,12.9428
2023-02-01,13.1506
2023-02-02,13.4416
2023-02-03,13.2107
2023-02-04,13.2107
2023-02-05,13.2107
2023-02-06,13.0537
2023-02-07,13.0975
2023-02-08,12.8643
2023-02-09,12.6865
2023-02-10,12.6149
2023-02-11,12.6149
2023-02-12,12.6149
2023-02-13,12.8112
2023-02-14,12.7812
2023-02-15,12.9775
2023-02-16,12.7488
2023-02-17,12.6519
2023-02-18,12.6519
2023-02-19,12.6519
2023-02-20,12.6519
2023-02-21,12.571
2023-02-22,12.5618
2023-02-23,11.873
2023-02-24,11.809
2023-02-25,11.809
2023-02-26,11.809
2023-02-27,11.9758
2023-02-28,11.9986
2023-03-01,11.9644
2023-03-02,11.9255
2023-03-03,12.0306
2023-03-04,12.0306
2023-03-05,12.0306
2023-03-06,11.7359
