,TTC US Equity
,CURRENT_EV_TO_T12M_EBIT
2021-11-18,22.1307
2021-11-19,22.0755
2021-11-20,22.0755
2021-11-21,22.0755
2021-11-22,22.1021
2021-11-23,21.8526
2021-11-24,22.1655
2021-11-25,22.1655
2021-11-26,21.8751
2021-11-27,21.8751
2021-11-28,21.8751
2021-11-29,21.8096
2021-11-30,21.2532
2021-12-01,21.2164
2021-12-02,21.5846
2021-12-03,21.2062
2021-12-04,21.2062
2021-12-05,21.2062
2021-12-06,21.6828
2021-12-07,21.6644
2021-12-08,21.6071
2021-12-09,21.2921
2021-12-10,21.1162
2021-12-11,21.1162
2021-12-12,21.1162
2021-12-13,20.8237
2021-12-14,20.8134
2021-12-15,20.7357
2021-12-16,21.0037
2021-12-17,19.8788
2021-12-18,19.8788
2021-12-19,19.8788
2021-12-20,19.4692
2021-12-21,20.188
2021-12-22,20.3687
2021-12-23,20.6257
2021-12-24,20.6257
2021-12-25,20.6257
2021-12-26,20.6257
2021-12-27,20.7382
2021-12-28,20.6318
2021-12-29,20.8125
2021-12-30,20.6518
2021-12-31,20.7442
2022-01-01,20.7442
2022-01-02,20.7442
2022-01-03,20.68
2022-01-04,21.0695
2022-01-05,20.5394
2022-01-06,20.447
2022-01-07,20.2603
2022-01-08,20.2603
2022-01-09,20.2603
2022-01-10,20.1378
2022-01-11,20.7984
2022-01-12,20.5976
2022-01-13,20.5715
2022-01-14,20.4852
2022-01-15,20.4852
2022-01-16,20.4852
2022-01-17,20.4852
2022-01-18,20.5956
2022-01-19,20.5414
2022-01-20,19.6037
2022-01-21,19.4311
2022-01-22,19.4311
2022-01-23,19.4311
2022-01-24,19.4692
2022-01-25,19.5415
2022-01-26,19.4371
2022-01-27,19.5816
2022-01-28,23.5125
2022-01-29,23.5125
2022-01-30,23.5125
2022-01-31,23.5325
2022-02-01,23.6436
2022-02-02,23.762
2022-02-03,23.6482
2022-02-04,23.5033
2022-02-05,23.5033
2022-02-06,23.5033
2022-02-07,23.5368
2022-02-08,23.9359
2022-02-09,24.4399
2022-02-10,23.9738
2022-02-11,23.6349
2022-02-12,23.6349
2022-02-13,23.6349
2022-02-14,23.9671
2022-02-15,24.2013
2022-02-16,24.3194
2022-02-17,24.014
2022-02-18,23.9805
2022-02-19,23.9805
2022-02-20,23.9805
2022-02-21,23.9805
2022-02-22,23.423
2022-02-23,22.821
2022-02-24,22.8054
2022-02-25,23.0328
2022-02-26,23.0328
2022-02-27,23.0328
2022-02-28,23.0016
2022-03-01,23.1331
2022-03-02,23.6639
2022-03-03,22.7743
2022-03-04,22.141
2022-03-05,22.141
2022-03-06,22.141
2022-03-07,20.4278
2022-03-08,20.439
2022-03-09,20.8411
2022-03-10,20.5078
