,BSIG US Equity
,CURRENT_EV_TO_T12M_EBIT
2022-08-10,6.0396
2022-08-11,6.0965
2022-08-12,6.2514
2022-08-13,6.2514
2022-08-14,6.2514
2022-08-15,6.2719
2022-08-16,6.281
2022-08-17,6.3038
2022-08-18,6.3425
2022-08-19,6.1102
2022-08-20,6.1102
2022-08-21,6.1102
2022-08-22,5.9325
2022-08-23,5.9234
2022-08-24,5.9371
2022-08-25,6.0168
2022-08-26,5.8414
2022-08-27,5.8414
2022-08-28,5.8414
2022-08-29,5.7321
2022-08-30,5.7526
2022-08-31,5.5817
2022-09-01,5.6136
2022-09-02,5.6296
2022-09-03,5.6296
2022-09-04,5.6296
2022-09-05,5.6296
2022-09-06,5.5977
2022-09-07,5.7275
2022-09-08,5.7981
2022-09-09,5.887
2022-09-10,5.887
2022-09-11,5.887
2022-09-12,5.8756
2022-09-13,5.6273
2022-09-14,5.5749
2022-09-15,5.5066
2022-09-16,5.5134
2022-09-17,5.5134
2022-09-18,5.5134
2022-09-19,5.641
2022-09-20,5.4701
2022-09-21,5.4018
2022-09-22,5.2378
2022-09-23,5.2196
2022-09-24,5.2196
2022-09-25,5.2196
2022-09-26,5.2264
2022-09-27,5.1968
2022-09-28,5.2423
2022-09-29,5.1808
2022-09-30,4.8782
2022-10-01,4.8782
2022-10-02,4.8782
2022-10-03,4.9324
2022-10-04,5.1133
2022-10-05,5.0929
2022-10-06,5.4818
2022-10-07,5.3258
2022-10-08,5.3258
2022-10-09,5.3258
2022-10-10,5.4592
2022-10-11,5.4207
2022-10-12,5.4479
2022-10-13,5.6672
2022-10-14,5.4953
2022-10-15,5.4953
2022-10-16,5.4953
2022-10-17,5.4886
2022-10-18,5.4953
2022-10-19,5.4546
2022-10-20,5.4388
2022-10-21,5.4388
2022-10-22,5.4388
2022-10-23,5.4388
2022-10-24,5.4682
2022-10-25,5.6694
2022-10-26,5.6604
2022-10-27,5.6445
2022-10-28,5.7124
2022-10-29,5.7124
2022-10-30,5.7124
2022-10-31,5.7621
2022-11-01,5.8525
2022-11-02,5.6965
2022-11-03,5.7237
2022-11-04,5.8706
2022-11-05,5.8706
2022-11-06,5.8706
2022-11-07,5.8955
2022-11-08,5.8638
2022-11-09,5.7033
2022-11-10,6.2052
2022-11-11,6.0266
2022-11-12,6.0266
2022-11-13,6.0266
2022-11-14,5.9701
2022-11-15,6.0311
2022-11-16,5.9565
2022-11-17,5.9317
2022-11-18,5.9181
2022-11-19,5.9181
2022-11-20,5.9181
2022-11-21,5.9271
2022-11-22,5.943
2022-11-23,5.9701
2022-11-24,5.9701
2022-11-25,5.9949
2022-11-26,5.9949
2022-11-27,5.9949
2022-11-28,5.8932
2022-11-29,5.9701
2022-11-30,6.1102
2022-12-01,6.1916
2022-12-02,6.2142
2022-12-03,6.2142
2022-12-04,6.2142
2022-12-05,6.2029
2022-12-06,6.1193
2022-12-07,5.9497
2022-12-08,5.9384
2022-12-09,5.9068
2022-12-10,5.9068
2022-12-11,5.9068
2022-12-12,5.848
2022-12-13,5.9588
2022-12-14,5.8638
2022-12-15,5.7169
2022-12-16,5.7169
2022-12-17,5.7169
2022-12-18,5.7169
2022-12-19,5.7779
2022-12-20,5.8367
2022-12-21,5.9339
2022-12-22,5.8344
2022-12-23,5.8751
2022-12-24,5.8751
2022-12-25,5.8751
2022-12-26,5.8751
2022-12-27,5.8525
2022-12-28,5.8322
2022-12-29,6.0673
2022-12-30,6.5184
2022-12-31,6.5184
2023-01-01,6.5184
2023-01-02,6.5184
2023-01-03,6.4962
2023-01-04,6.39
2023-01-05,6.4172
2023-01-06,6.6098
2023-01-07,6.6098
2023-01-08,6.6098
2023-01-09,6.5974
2023-01-10,6.6444
2023-01-11,6.6715
2023-01-12,6.6592
2023-01-13,6.7283
2023-01-14,6.7283
2023-01-15,6.7283
2023-01-16,6.7283
2023-01-17,6.8024
2023-01-18,6.7925
2023-01-19,6.8765
2023-01-20,7.0741
2023-01-21,7.0741
2023-01-22,7.0741
2023-01-23,7.1383
2023-01-24,6.9926
2023-01-25,6.9531
2023-01-26,7.0296
2023-01-27,7.0568
2023-01-28,7.0568
2023-01-29,7.0568
2023-01-30,7.0469
2023-01-31,7.2272
2023-02-01,7.3136
2023-02-02,7.6273
2023-02-03,7.8002
2023-02-04,7.8002
2023-02-05,7.8002
2023-02-06,7.7359
2023-02-07,7.8397
2023-02-08,7.81
2023-02-09,7.7261
2023-02-10,7.9014
2023-02-11,7.9014
2023-02-12,7.9014
2023-02-13,7.9804
2023-02-14,7.8249
2023-02-15,7.9755
2023-02-16,7.8619
2023-02-17,7.8323
2023-02-18,7.8323
2023-02-19,7.8323
2023-02-20,7.8323
2023-02-21,7.7656
2023-02-22,7.6446
2023-02-23,7.6446
2023-02-24,7.5655
2023-02-25,7.5655
2023-02-26,7.5655
2023-02-27,7.5655
2023-02-28,7.63
2023-03-01,7.6572
2023-03-02,7.6053
2023-03-03,7.7263
