,GPC US Equity
,CURRENT_EV_TO_T12M_EBIT
2021-08-09,18.8461
2021-08-10,18.9536
2021-08-11,19.0838
2021-08-12,19.0207
2021-08-13,18.9361
2021-08-14,18.9361
2021-08-15,18.9361
2021-08-16,19.1094
2021-08-17,18.8058
2021-08-18,18.7803
2021-08-19,18.6487
2021-08-20,18.826
2021-08-21,18.826
2021-08-22,18.826
2021-08-23,18.6527
2021-08-24,18.7468
2021-08-25,18.9495
2021-08-26,18.6783
2021-08-27,18.8045
2021-08-28,18.8045
2021-08-29,18.8045
2021-08-30,18.8018
2021-08-31,18.6071
2021-09-01,18.7105
2021-09-02,18.6474
2021-09-03,18.6057
2021-09-04,18.6057
2021-09-05,18.6057
2021-09-06,18.6057
2021-09-07,18.3291
2021-09-08,18.2888
2021-09-09,18.2042
2021-09-10,18.0954
2021-09-11,18.0954
2021-09-12,18.0954
2021-09-13,18.2069
2021-09-14,18.313
2021-09-15,18.8703
2021-09-16,18.8757
2021-09-17,18.5816
2021-09-18,18.5816
2021-09-19,18.5816
2021-09-20,18.3841
2021-09-21,18.462
2021-09-22,18.6272
2021-09-23,18.7696
2021-09-24,18.7186
2021-09-25,18.7186
2021-09-26,18.7186
2021-09-27,18.9375
2021-09-28,18.7427
2021-09-29,18.8717
2021-09-30,18.561
2021-10-01,18.6408
2021-10-02,18.6408
2021-10-03,18.6408
2021-10-04,18.7151
2021-10-05,18.8921
2021-10-06,18.8232
2021-10-07,19.1232
2021-10-08,19.211
2021-10-09,19.211
2021-10-10,19.211
2021-10-11,19.23
2021-10-12,19.0894
2021-10-13,18.9583
2021-10-14,19.3867
2021-10-15,19.3665
2021-10-16,19.3665
2021-10-17,19.3665
2021-10-18,19.311
2021-10-19,19.4475
2021-10-20,19.6989
2021-10-21,20.2553
2021-10-22,20.0564
2021-10-23,20.0564
2021-10-24,20.0564
2021-10-25,20.1249
2021-10-26,20.262
2021-10-27,19.9758
2021-10-28,19.8696
2021-10-29,19.7984
2021-10-30,19.7984
2021-10-31,19.7984
2021-11-01,19.8817
2021-11-02,20.176
2021-11-03,20.215
2021-11-04,20.1518
2021-11-05,20.5039
2021-11-06,20.5039
2021-11-07,20.5039
2021-11-08,20.3373
2021-11-09,20.2849
2021-11-10,20.2123
2021-11-11,20.3373
2021-11-12,20.4448
2021-11-13,20.4448
2021-11-14,20.4448
2021-11-15,20.5913
2021-11-16,20.5698
2021-11-17,20.555
2021-11-18,20.4596
2021-11-19,20.3534
2021-11-20,20.3534
2021-11-21,20.3534
2021-11-22,20.5711
2021-11-23,20.7055
2021-11-24,20.5039
2021-11-25,20.5039
2021-11-26,19.969
2021-11-27,19.969
2021-11-28,19.969
2021-11-29,20.0403
2021-11-30,19.3455
2021-12-01,19.1627
2021-12-02,19.6317
2021-12-03,19.539
2021-12-04,19.539
2021-12-05,19.539
2021-12-06,19.9126
2021-12-07,20.1585
2021-12-08,20.1827
2021-12-09,20.2109
2021-12-10,20.2983
2021-12-11,20.2983
2021-12-12,20.2983
2021-12-13,19.9865
2021-12-14,19.9045
2021-12-15,20.055
2021-12-16,20.4569
2021-12-17,20.086
2021-12-18,20.086
2021-12-19,20.086
2021-12-20,19.832
2021-12-21,20.2338
2021-12-22,20.3547
2021-12-23,20.3709
2021-12-24,20.3709
2021-12-25,20.3709
2021-12-26,20.3709
2021-12-27,20.6853
2021-12-28,20.731
2021-12-29,20.9393
2021-12-30,20.9098
2021-12-31,19.5581
2022-01-01,19.5581
2022-01-02,19.5581
2022-01-03,19.2801
2022-01-04,19.5752
2022-01-05,19.4038
2022-01-06,19.5703
2022-01-07,19.4038
2022-01-08,19.4038
2022-01-09,19.4038
2022-01-10,19.2936
2022-01-11,19.2164
2022-01-12,19.3977
2022-01-13,19.4111
2022-01-14,19.3021
2022-01-15,19.3021
2022-01-16,19.3021
2022-01-17,19.3021
2022-01-18,19.1135
2022-01-19,18.8416
2022-01-20,18.4926
2022-01-21,18.3799
2022-01-22,18.3799
2022-01-23,18.3799
2022-01-24,18.9188
2022-01-25,18.5122
2022-01-26,18.5575
2022-01-27,18.2954
2022-01-28,18.3493
2022-01-29,18.3493
2022-01-30,18.3493
2022-01-31,18.7045
2022-02-01,18.8331
2022-02-02,18.9506
2022-02-03,18.6469
2022-02-04,18.2869
2022-02-05,18.2869
2022-02-06,18.2869
2022-02-07,18.0897
2022-02-08,18.3236
2022-02-09,18.5661
2022-02-10,17.9893
2022-02-11,17.9035
2022-02-12,17.9035
2022-02-13,17.9035
2022-02-14,17.9488
2022-02-15,18.1877
2022-02-16,18.304
2022-02-17,17.9659
2022-02-18,17.8743
2022-02-19,17.8743
2022-02-20,17.8743
2022-02-21,17.8743
2022-02-22,17.4751
2022-02-23,16.8953
2022-02-24,17.1419
2022-02-25,17.4593
2022-02-26,17.4593
2022-02-27,17.4593
2022-02-28,17.3006
2022-03-01,17.0681
2022-03-02,17.6357
2022-03-03,17.5027
2022-03-04,17.3513
2022-03-05,17.3513
2022-03-06,17.3513
2022-03-07,16.8631
2022-03-08,17.0059
2022-03-09,17.2195
2022-03-10,17.3721
2022-03-11,17.2415
2022-03-12,17.2415
2022-03-13,17.2415
2022-03-14,17.2915
2022-03-15,17.5881
2022-03-16,18.0202
2022-03-17,18.0178
2022-03-18,18.1337
2022-03-19,18.1337
2022-03-20,18.1337
2022-03-21,18.0458
2022-03-22,18.0312
2022-03-23,17.9494
2022-03-24,18.0226
2022-03-25,18.0776
2022-03-26,18.0776
2022-03-27,18.0776
2022-03-28,17.9677
2022-03-29,18.29
2022-03-30,18.113
2022-03-31,17.6752
