,AZTA US Equity
,CURRENT_EV_TO_T12M_EBIT
2022-12-27,784.5861
2022-12-28,784.5861
2022-12-29,784.5861
2022-12-30,784.5861
2022-12-31,784.5861
2023-01-01,784.5861
2023-01-02,784.5861
2023-01-03,784.5861
2023-01-04,784.5861
2023-01-05,784.5861
2023-01-06,784.5861
2023-01-07,784.5861
2023-01-08,784.5861
2023-01-09,784.5861
2023-01-10,784.5861
2023-01-11,784.5861
2023-01-12,784.5861
2023-01-13,784.5861
2023-01-14,784.5861
2023-01-15,784.5861
2023-01-16,784.5861
2023-01-17,784.5861
2023-01-18,784.5861
2023-01-19,784.5861
2023-01-20,784.5861
2023-01-21,784.5861
2023-01-22,784.5861
2023-01-23,784.5861
2023-01-24,784.5861
2023-01-25,784.5861
2023-01-26,784.5861
2023-01-27,784.5861
2023-01-28,784.5861
2023-01-29,784.5861
2023-01-30,784.5861
2023-01-31,784.5861
2023-02-01,784.5861
2023-02-02,784.5861
2023-02-03,784.5861
2023-02-04,784.5861
2023-02-05,784.5861
2023-02-06,784.5861
2023-02-07,784.5861
2023-02-08,784.5861
2023-02-09,784.5861
2023-02-10,784.5861
2023-02-11,784.5861
2023-02-12,784.5861
2023-02-13,784.5861
2023-02-14,784.5861
2023-02-15,784.5861
2023-02-16,784.5861
2023-02-17,784.5861
2023-02-18,784.5861
2023-02-19,784.5861
2023-02-20,784.5861
2023-02-21,784.5861
2023-02-22,784.5861
2023-02-23,784.5861
2023-02-24,784.5861
2023-02-25,784.5861
2023-02-26,784.5861
2023-02-27,784.5861
2023-02-28,784.5861
