,SIGI US Equity
,CURRENT_EV_TO_T12M_EBIT
2022-06-16,11.2776
2022-06-17,11.534
2022-06-18,11.534
2022-06-19,11.534
2022-06-20,11.534
2022-06-21,11.628
2022-06-22,11.7401
2022-06-23,11.7143
2022-06-24,12.1472
2022-06-25,12.1472
2022-06-26,12.1472
2022-06-27,12.267
2022-06-28,12.4692
2022-06-29,12.4821
2022-06-30,16.3022
2022-07-01,16.3881
2022-07-02,16.3881
2022-07-03,16.3881
2022-07-04,16.3881
2022-07-05,16.2625
2022-07-06,16.279
2022-07-07,16.4476
2022-07-08,16.4857
2022-07-09,16.4857
2022-07-10,16.4857
2022-07-11,16.4394
2022-07-12,16.3204
2022-07-13,16.3534
2022-07-14,15.3731
2022-07-15,15.5665
2022-07-16,15.5665
2022-07-17,15.5665
2022-07-18,15.1103
2022-07-19,15.2905
2022-07-20,15.2921
2022-07-21,15.4244
2022-07-22,15.3434
2022-07-23,15.3434
2022-07-24,15.3434
2022-07-25,15.5897
2022-07-26,15.7236
2022-07-27,15.6327
2022-07-28,14.9764
2022-07-29,14.8012
2022-07-30,14.8012
2022-07-31,14.8012
2022-08-01,14.6689
2022-08-02,14.4176
2022-08-03,14.4391
2022-08-04,14.4392
2022-08-05,14.7548
2022-08-06,14.7548
2022-08-07,14.7548
2022-08-08,14.7283
2022-08-09,14.8936
2022-08-10,15.001
2022-08-11,15.2224
2022-08-12,15.424
2022-08-13,15.424
2022-08-14,15.424
2022-08-15,15.6025
2022-08-16,15.6835
2022-08-17,15.6636
2022-08-18,15.6223
2022-08-19,15.6421
2022-08-20,15.6421
2022-08-21,15.6421
2022-08-22,15.2406
2022-08-23,15.1084
2022-08-24,15.1398
2022-08-25,15.4058
2022-08-26,15.2819
2022-08-27,15.2819
2022-08-28,15.2819
2022-08-29,15.1943
2022-08-30,15.0572
2022-08-31,15.0539
2022-09-01,15.1001
2022-09-02,15.0093
2022-09-03,15.0093
2022-09-04,15.0093
2022-09-05,15.0093
2022-09-06,15.0654
2022-09-07,15.3877
2022-09-08,15.5298
2022-09-09,15.5314
2022-09-10,15.5314
2022-09-11,15.5314
2022-09-12,15.505
2022-09-13,15.3381
2022-09-14,15.3546
2022-09-15,15.4571
2022-09-16,15.3794
2022-09-17,15.3794
2022-09-18,15.3794
2022-09-19,15.5661
2022-09-20,15.5612
2022-09-21,15.5794
2022-09-22,15.3431
2022-09-23,15.31
2022-09-24,15.31
2022-09-25,15.31
2022-09-26,15.0754
2022-09-27,15.2703
2022-09-28,15.5546
2022-09-29,15.5199
2022-09-30,17.2766
2022-10-01,17.2766
2022-10-02,17.2766
2022-10-03,17.6552
2022-10-04,18.0562
2022-10-05,17.8817
2022-10-06,18.0023
2022-10-07,17.8149
2022-10-08,17.8149
2022-10-09,17.8149
2022-10-10,18.1879
2022-10-11,18.2882
2022-10-12,18.1601
2022-10-13,18.6501
2022-10-14,18.7726
2022-10-15,18.7726
2022-10-16,18.7726
2022-10-17,18.6427
2022-10-18,18.9378
2022-10-19,19.2348
2022-10-20,18.7318
2022-10-21,19.2441
2022-10-22,19.2441
2022-10-23,19.2441
2022-10-24,19.5132
2022-10-25,19.4538
2022-10-26,19.4779
2022-10-27,19.7081
2022-10-28,20.1833
2022-10-29,20.1833
2022-10-30,20.1833
2022-10-31,20.3726
2022-11-01,19.8974
2022-11-02,19.8603
2022-11-03,19.5068
2022-11-04,19.4456
2022-11-05,19.4456
2022-11-06,19.4456
2022-11-07,19.3084
2022-11-08,19.4085
2022-11-09,19.1471
2022-11-10,19.5254
2022-11-11,19.1044
2022-11-12,19.1044
2022-11-13,19.1044
2022-11-14,19.4345
2022-11-15,19.1656
2022-11-16,19.1582
2022-11-17,19.2565
2022-11-18,19.416
2022-11-19,19.416
2022-11-20,19.416
2022-11-21,19.3158
2022-11-22,19.5977
2022-11-23,19.6904
2022-11-24,19.6904
2022-11-25,19.8555
2022-11-26,19.8555
2022-11-27,19.8555
2022-11-28,19.9018
2022-11-29,19.7312
2022-11-30,19.9927
2022-12-01,19.6774
2022-12-02,19.7998
2022-12-03,19.7998
2022-12-04,19.7998
2022-12-05,19.3418
2022-12-06,19.2324
2022-12-07,18.9616
2022-12-08,19.0432
2022-12-09,18.8782
2022-12-10,18.8782
2022-12-11,18.8782
2022-12-12,18.8911
2022-12-13,18.6779
2022-12-14,18.6297
2022-12-15,18.1308
2022-12-16,18.2087
2022-12-17,18.2087
2022-12-18,18.2087
2022-12-19,18.4739
2022-12-20,18.8096
2022-12-21,19.1916
2022-12-22,18.9041
2022-12-23,19.0154
2022-12-24,19.0154
2022-12-25,19.0154
2022-12-26,19.0154
2022-12-27,19.0135
2022-12-28,18.6964
2022-12-29,18.9208
2022-12-30,19.7071
2022-12-31,19.7071
2023-01-01,19.7071
2023-01-02,19.7071
2023-01-03,19.9139
2023-01-04,19.9061
2023-01-05,19.8281
2023-01-06,20.343
2023-01-07,20.343
2023-01-08,20.343
2023-01-09,19.99
2023-01-10,20.4503
2023-01-11,20.4717
2023-01-12,20.6531
2023-01-13,21.0374
2023-01-14,21.0374
2023-01-15,21.0374
2023-01-16,21.0374
2023-01-17,20.4542
2023-01-18,20.2591
2023-01-19,19.9295
2023-01-20,20.0095
2023-01-21,20.0095
2023-01-22,20.0095
2023-01-23,20.3313
2023-01-24,20.4951
2023-01-25,20.6629
2023-01-26,20.9184
2023-01-27,20.5224
2023-01-28,20.5224
2023-01-29,20.5224
2023-01-30,20.6804
2023-01-31,20.9535
2023-02-01,20.698
2023-02-02,20.8989
2023-02-03,22.1124
2023-02-04,22.1124
2023-02-05,22.1124
2023-02-06,22.2138
2023-02-07,22.4928
2023-02-08,22.2392
2023-02-09,21.9387
2023-02-10,21.9415
2023-02-11,21.9415
2023-02-12,21.9415
2023-02-13,22.125
2023-02-14,21.9981
2023-02-15,22.2285
2023-02-16,22.2988
2023-02-17,22.4003
2023-02-18,22.4003
2023-02-19,22.4003
2023-02-20,22.4003
2023-02-21,22.0313
2023-02-22,22.0215
2023-02-23,21.9376
2023-02-24,21.8009
2023-02-25,21.8009
2023-02-26,21.8009
2023-02-27,21.9298
2023-02-28,22.248
2023-03-01,22.4472
2023-03-02,21.9942
2023-03-03,21.9434
2023-03-04,21.9434
2023-03-05,21.9434
2023-03-06,22.0255
2023-03-07,21.6252
2023-03-08,21.5256
2023-03-09,21.1136
2023-03-10,20.9067
2023-03-11,20.9067
2023-03-12,20.9067
2023-03-13,20.4303
2023-03-14,20.9711
2023-03-15,20.4459
2023-03-16,20.6743
2023-03-17,19.9343
2023-03-18,19.9343
2023-03-19,19.9343
2023-03-20,20.5025
2023-03-21,20.9028
2023-03-22,20.4283
2023-03-23,20.3287
2023-03-24,20.5123
2023-03-25,20.5123
2023-03-26,20.5123
2023-03-27,20.6255
