,MSM US Equity
,BEST_PE_RATIO
2022-06-15,10.504
2022-06-16,10.058
2022-06-17,9.789
2022-06-18,9.789
2022-06-19,9.789
2022-06-20,9.789
2022-06-21,9.897
2022-06-22,9.863
2022-06-23,9.847
2022-06-24,10.147
2022-06-25,10.147
2022-06-26,10.147
2022-06-27,10.283
2022-06-28,9.877
2022-06-29,10.611
2022-06-30,10.577
2022-07-01,10.519
2022-07-02,10.519
2022-07-03,10.519
2022-07-04,10.519
2022-07-05,10.423
2022-07-06,10.473
2022-07-07,10.57
2022-07-08,10.494
2022-07-09,10.494
2022-07-10,10.494
2022-07-11,10.555
2022-07-12,10.569
2022-07-13,10.598
2022-07-14,10.661
2022-07-15,10.97
2022-07-16,10.97
2022-07-17,10.97
2022-07-18,10.857
2022-07-19,11.135
2022-07-20,11.273
2022-07-21,11.383
2022-07-22,11.425
2022-07-23,11.425
2022-07-24,11.425
2022-07-25,11.579
2022-07-26,11.601
2022-07-27,11.679
2022-07-28,11.853
2022-07-29,12.108
2022-07-30,12.108
2022-07-31,12.108
2022-08-01,12.076
2022-08-02,11.938
2022-08-03,12.037
2022-08-04,12.027
2022-08-05,12.021
2022-08-06,12.021
2022-08-07,12.021
2022-08-08,12.058
2022-08-09,12.089
2022-08-10,12.326
2022-08-11,12.326
2022-08-12,12.544
2022-08-13,12.544
2022-08-14,12.544
2022-08-15,12.609
2022-08-16,12.639
2022-08-17,12.582
2022-08-18,12.647
2022-08-19,12.531
2022-08-20,12.531
2022-08-21,12.531
2022-08-22,12.326
2022-08-23,12.241
2022-08-24,12.238
2022-08-25,12.366
2022-08-26,11.996
2022-08-27,11.996
2022-08-28,11.996
2022-08-29,11.989
2022-08-30,11.781
2022-08-31,11.602
2022-09-01,11.597
2022-09-02,11.51
2022-09-03,11.51
2022-09-04,11.51
2022-09-05,11.51
2022-09-06,11.497
2022-09-07,11.714
2022-09-08,11.671
2022-09-09,11.744
2022-09-10,11.744
2022-09-11,11.744
2022-09-12,11.844
2022-09-13,11.444
2022-09-14,11.238
2022-09-15,11.201
2022-09-16,11.096
2022-09-17,11.096
2022-09-18,11.096
2022-09-19,11.208
2022-09-20,11.091
2022-09-21,10.959
2022-09-22,10.794
2022-09-23,10.562
2022-09-24,10.562
2022-09-25,10.562
2022-09-26,10.543
2022-09-27,10.573
2022-09-28,10.904
2022-09-29,10.712
2022-09-30,10.643
2022-10-01,10.643
2022-10-02,10.643
2022-10-03,10.904
2022-10-04,11.218
2022-10-05,11.126
2022-10-06,10.991
2022-10-07,10.722
2022-10-08,10.722
2022-10-09,10.722
2022-10-10,10.841
2022-10-11,10.923
2022-10-12,10.931
2022-10-13,11.356
2022-10-14,11.06
2022-10-15,11.06
2022-10-16,11.06
2022-10-17,11.332
2022-10-18,11.59
2022-10-19,11.439
2022-10-20,11.521
2022-10-21,11.933
2022-10-22,11.933
2022-10-23,11.933
2022-10-24,12.175
2022-10-25,12.261
2022-10-26,12.308
2022-10-27,12.425
2022-10-28,12.646
2022-10-29,12.646
2022-10-30,12.646
2022-10-31,12.689
2022-11-01,12.9
2022-11-02,12.603
2022-11-03,12.6
2022-11-04,12.639
2022-11-05,12.639
2022-11-06,12.639
2022-11-07,12.683
2022-11-08,12.715
2022-11-09,12.61
2022-11-10,13.077
2022-11-11,13.034
2022-11-12,13.034
2022-11-13,13.034
2022-11-14,12.973
2022-11-15,13.011
2022-11-16,12.93
2022-11-17,12.912
2022-11-18,13.165
2022-11-19,13.165
2022-11-20,13.165
2022-11-21,13.091
2022-11-22,13.205
2022-11-23,12.994
2022-11-24,12.994
2022-11-25,12.994
2022-11-26,12.994
2022-11-27,12.994
2022-11-28,12.905
2022-11-29,12.939
2022-11-30,13.261
2022-12-01,13.216
2022-12-02,13.233
2022-12-03,13.233
2022-12-04,13.233
2022-12-05,12.988
2022-12-06,12.867
2022-12-07,12.91
2022-12-08,12.922
2022-12-09,12.801
2022-12-10,12.801
2022-12-11,12.801
2022-12-12,12.942
2022-12-13,12.89
2022-12-14,12.868
2022-12-15,12.615
2022-12-16,12.587
2022-12-17,12.587
2022-12-18,12.587
2022-12-19,12.555
2022-12-20,12.552
2022-12-21,12.827
2022-12-22,12.702
2022-12-23,12.802
2022-12-24,12.802
2022-12-25,12.802
2022-12-26,12.802
2022-12-27,12.828
2022-12-28,12.502
2022-12-29,12.608
2022-12-30,12.559
2022-12-31,12.559
2023-01-01,12.559
2023-01-02,12.559
2023-01-03,12.492
2023-01-04,12.466
2023-01-05,11.767
2023-01-06,12.013
2023-01-07,12.013
2023-01-08,12.013
2023-01-09,12.212
2023-01-10,12.381
2023-01-11,12.572
2023-01-12,12.462
2023-01-13,12.449
2023-01-14,12.449
2023-01-15,12.449
2023-01-16,12.449
2023-01-17,12.247
2023-01-18,12.037
2023-01-19,11.96
2023-01-20,12.239
2023-01-21,12.239
2023-01-22,12.239
2023-01-23,12.369
2023-01-24,12.497
2023-01-25,12.457
2023-01-26,12.646
2023-01-27,12.674
2023-01-28,12.674
2023-01-29,12.674
2023-01-30,12.51
2023-01-31,12.807
2023-02-01,13.344
2023-02-02,13.877
2023-02-03,13.752
2023-02-04,13.752
2023-02-05,13.752
2023-02-06,13.761
2023-02-07,13.814
2023-02-08,13.526
2023-02-09,13.4
2023-02-10,13.34
2023-02-11,13.34
2023-02-12,13.34
2023-02-13,13.45
2023-02-14,13.314
2023-02-15,13.369
2023-02-16,13.323
2023-02-17,13.423
2023-02-18,13.423
