,TMX US Equity
,BEST_PE_RATIO
2023-02-23,25.974
2023-02-24,25.974
2023-02-25,25.974
2023-02-26,25.974
2023-02-27,25.974
2023-02-28,25.974
2023-03-01,25.974
2023-03-02,25.974
2023-03-03,25.974
2023-03-04,25.974
2023-03-05,25.974
2023-03-06,25.974
2023-03-07,25.974
2023-03-08,25.974
2023-03-09,25.974
2023-03-10,25.974
2023-03-11,25.974
2023-03-12,25.974
2023-03-13,25.974
2023-03-14,25.974
2023-03-15,25.974
2023-03-16,25.974
2023-03-17,25.974
2023-03-18,25.974
2023-03-19,25.974
2023-03-20,25.974
2023-03-21,25.974
2023-03-22,25.974
2023-03-23,25.974
2023-03-24,25.974
2023-03-25,25.974
2023-03-26,25.974
2023-03-27,25.974
2023-03-28,25.974
2023-03-29,25.974
2023-03-30,25.974
2023-03-31,25.974
2023-04-01,25.974
2023-04-02,25.974
2023-04-03,25.974
2023-04-04,25.974
2023-04-05,25.974
2023-04-06,25.974
2023-04-07,25.974
2023-04-08,25.974
2023-04-09,25.974
2023-04-10,25.974
2023-04-11,25.974
2023-04-12,25.974
2023-04-13,25.974
2023-04-14,25.974
2023-04-15,25.974
2023-04-16,25.974
2023-04-17,25.974
2023-04-18,25.974
2023-04-19,25.974
2023-04-20,25.974
2023-04-21,25.974
2023-04-22,25.974
2023-04-23,25.974
2023-04-24,25.974
2023-04-25,25.974
2023-04-26,25.974
2023-04-27,25.974
2023-04-28,25.974
2023-04-29,25.974
2023-04-30,25.974
2023-05-01,25.974
2023-05-02,25.974
2023-05-03,25.974
2023-05-04,25.974
2023-05-05,25.974
2023-05-06,25.974
2023-05-07,25.974
2023-05-08,25.974
2023-05-09,25.974
2023-05-10,25.974
2023-05-11,25.974
2023-05-12,25.974
2023-05-13,25.974
2023-05-14,25.974
2023-05-15,25.974
2023-05-16,25.974
2023-05-17,25.974
2023-05-18,25.974
2023-05-19,25.974
2023-05-20,25.974
2023-05-21,25.974
2023-05-22,25.974
2023-05-23,25.974
2023-05-24,25.974
2023-05-25,25.974
2023-05-26,25.974
2023-05-27,25.974
2023-05-28,25.974
2023-05-29,25.974
2023-05-30,25.974
2023-05-31,25.974
2023-06-01,25.974
2023-06-02,25.974
2023-06-03,25.974
2023-06-04,25.974
2023-06-05,25.974
2023-06-06,25.974
2023-06-07,25.974
2023-06-08,25.974
2023-06-09,25.974
2023-06-10,25.974
2023-06-11,25.974
2023-06-12,25.974
2023-06-13,25.974
2023-06-14,25.974
2023-06-15,25.974
2023-06-16,25.974
2023-06-17,25.974
2023-06-18,25.974
2023-06-19,25.974
2023-06-20,25.974
2023-06-21,25.974
2023-06-22,25.974
