,WHR US Equity
,BEST_PE_RATIO
2022-03-08,6.281
2022-03-09,6.408
2022-03-10,6.138
2022-03-11,6.049
2022-03-12,6.049
2022-03-13,6.049
2022-03-14,6.075
2022-03-15,6.202
2022-03-16,6.316
2022-03-17,6.378
2022-03-18,6.451
2022-03-19,6.451
2022-03-20,6.451
2022-03-21,6.188
2022-03-22,6.256
2022-03-23,6.056
2022-03-24,6.055
2022-03-25,6.009
2022-03-26,6.009
2022-03-27,6.009
2022-03-28,6.046
2022-03-29,6.199
2022-03-30,5.974
2022-03-31,5.724
2022-04-01,5.713
2022-04-02,5.713
2022-04-03,5.713
2022-04-04,5.8
2022-04-05,5.702
2022-04-06,5.542
2022-04-07,5.565
2022-04-08,5.678
2022-04-09,5.678
2022-04-10,5.678
2022-04-11,5.823
2022-04-12,5.763
2022-04-13,5.847
2022-04-14,5.629
2022-04-15,5.629
2022-04-16,5.629
2022-04-17,5.629
2022-04-18,5.637
2022-04-19,5.827
2022-04-20,5.767
2022-04-21,5.767
2022-04-22,5.629
2022-04-23,5.629
2022-04-24,5.629
2022-04-25,5.792
2022-04-26,6.061
2022-04-27,6.034
2022-04-28,6.108
2022-04-29,5.985
2022-04-30,5.985
2022-05-01,5.985
2022-05-02,6.108
2022-05-03,6.278
2022-05-04,6.534
2022-05-05,6.265
2022-05-06,6.302
2022-05-07,6.302
2022-05-08,6.302
2022-05-09,6.376
2022-05-10,6.219
2022-05-11,5.822
2022-05-12,6.017
2022-05-13,6.034
2022-05-14,6.034
2022-05-15,6.034
2022-05-16,5.967
2022-05-17,6.155
2022-05-18,5.749
2022-05-19,5.724
2022-05-20,5.79
2022-05-21,5.79
2022-05-22,5.79
2022-05-23,5.792
2022-05-24,5.594
2022-05-25,5.792
2022-05-26,5.962
2022-05-27,6.09
2022-05-28,6.09
2022-05-29,6.09
2022-05-30,6.09
2022-05-31,6.138
2022-06-01,6.014
2022-06-02,6.014
2022-06-03,5.864
2022-06-04,5.864
2022-06-05,5.864
2022-06-06,5.856
2022-06-07,5.768
2022-06-08,5.674
2022-06-09,5.684
2022-06-10,5.475
2022-06-11,5.475
2022-06-12,5.475
2022-06-13,5.263
2022-06-14,5.176
2022-06-15,5.181
