,GWW US Equity
,BEST_PE_RATIO
2023-05-08,17.791
2023-05-09,17.956
2023-05-10,17.876
2023-05-11,17.893
2023-05-12,17.849
2023-05-13,17.849
2023-05-14,17.849
2023-05-15,17.478
2023-05-16,17.318
2023-05-17,17.501
2023-05-18,17.71
2023-05-19,17.775
2023-05-20,17.775
2023-05-21,17.775
2023-05-22,17.502
2023-05-23,17.147
2023-05-24,17.067
2023-05-25,17.146
2023-05-26,17.266
2023-05-27,17.266
2023-05-28,17.266
2023-05-29,17.266
2023-05-30,17.002
2023-05-31,16.871
2023-06-01,17.034
2023-06-02,17.618
2023-06-03,17.618
2023-06-04,17.618
2023-06-05,17.563
2023-06-06,17.827
2023-06-07,18.14
2023-06-08,18.325
2023-06-09,18.364
2023-06-10,18.364
2023-06-11,18.364
2023-06-12,18.766
2023-06-13,19.146
2023-06-14,18.889
2023-06-15,19.326
2023-06-16,19.028
2023-06-17,19.028
2023-06-18,19.028
2023-06-19,19.028
2023-06-20,18.983
2023-06-21,19.279
