,AEO US Equity
,BEST_PE_RATIO
2023-07-08,10.821
2023-07-09,10.821
2023-07-10,10.903
2023-07-11,11.204
2023-07-12,11.103
2023-07-13,11.295
2023-07-14,11.295
2023-07-15,11.295
2023-07-16,11.295
2023-07-17,11.531
2023-07-18,11.704
2023-07-19,12.051
2023-07-20,12.023
2023-07-21,11.741
2023-07-22,11.741
2023-07-23,11.741
2023-07-24,12.142
2023-07-25,12.005
2023-07-26,12.442
2023-07-27,12.442
2023-07-28,12.725
2023-07-29,12.725
2023-07-30,12.725
2023-07-31,12.798
2023-08-01,13.344
2023-08-02,13.144
2023-08-03,13.301
2023-08-04,13.607
2023-08-05,13.607
2023-08-06,13.607
2023-08-07,13.607
2023-08-08,13.75
2023-08-09,13.768
2023-08-10,14.001
2023-08-11,14.045
2023-08-12,14.045
2023-08-13,14.045
2023-08-14,14.109
2023-08-15,14.144
2023-08-16,14.047
2023-08-17,13.816
2023-08-18,14.073
2023-08-19,14.073
2023-08-20,14.073
2023-08-21,14.144
2023-08-22,13.692
2023-08-23,14.029
2023-08-24,14.047
2023-08-25,14.011
2023-08-26,14.011
2023-08-27,14.011
2023-08-28,14.534
2023-08-29,14.685
2023-08-30,14.782
2023-08-31,14.79
2023-09-01,14.979
2023-09-02,14.979
2023-09-03,14.979
2023-09-04,14.979
2023-09-05,14.807
2023-09-06,14.314
2023-09-07,12.747
