,PEP US Equity
,BEST_PE_RATIO
2022-02-04,20.704
2022-02-05,20.704
2022-02-06,20.704
2022-02-07,20.622
2022-02-08,20.648
2022-02-09,20.638
2022-02-10,20.005
2022-02-11,20.173
2022-02-12,20.173
2022-02-13,20.173
2022-02-14,19.948
2022-02-15,19.859
2022-02-16,19.9
2022-02-17,19.954
2022-02-18,20.069
2022-02-19,20.069
2022-02-20,20.069
2022-02-21,20.069
2022-02-22,20.145
2022-02-23,19.947
2022-02-24,19.6
2022-02-25,20.149
2022-02-26,20.149
2022-02-27,20.149
2022-02-28,19.594
2022-03-01,19.418
2022-03-02,19.687
2022-03-03,19.671
2022-03-04,19.97
2022-03-05,19.97
2022-03-06,19.97
2022-03-07,19.572
2022-03-08,19.02
2022-03-09,18.964
2022-03-10,18.615
2022-03-11,18.522
2022-03-12,18.522
2022-03-13,18.522
2022-03-14,18.713
2022-03-15,19.086
2022-03-16,19.17
2022-03-17,19.319
2022-03-18,19.541
2022-03-19,19.541
2022-03-20,19.541
2022-03-21,19.513
2022-03-22,19.727
2022-03-23,19.624
2022-03-24,19.743
2022-03-25,19.835
2022-03-26,19.835
2022-03-27,19.835
2022-03-28,19.894
2022-03-29,20.189
2022-03-30,20.161
2022-03-31,20.092
2022-04-01,20.398
2022-04-02,20.398
2022-04-03,20.398
2022-04-04,20.345
2022-04-05,20.367
2022-04-06,20.714
2022-04-07,20.733
2022-04-08,20.803
2022-04-09,20.803
2022-04-10,20.803
2022-04-11,20.769
2022-04-12,20.877
2022-04-13,20.835
2022-04-14,20.703
2022-04-15,20.703
2022-04-16,20.703
2022-04-17,20.703
2022-04-18,20.524
2022-04-19,20.823
2022-04-20,21.133
2022-04-21,21.057
2022-04-22,20.733
2022-04-23,20.733
2022-04-24,20.733
2022-04-25,20.924
2022-04-26,20.789
2022-04-27,20.994
2022-04-28,21.317
2022-04-29,20.622
2022-04-30,20.622
2022-05-01,20.622
2022-05-02,20.148
2022-05-03,20.175
2022-05-04,20.88
2022-05-05,20.464
2022-05-06,20.487
2022-05-07,20.487
2022-05-08,20.487
2022-05-09,20.642
2022-05-10,20.617
2022-05-11,20.517
2022-05-12,20.486
2022-05-13,20.911
2022-05-14,20.911
2022-05-15,20.911
2022-05-16,21.122
2022-05-17,21.0
2022-05-18,19.699
2022-05-19,19.404
2022-05-20,19.526
2022-05-21,19.526
2022-05-22,19.526
2022-05-23,19.934
2022-05-24,20.201
2022-05-25,20.339
2022-05-26,20.477
2022-05-27,20.677
2022-05-28,20.677
2022-05-29,20.677
2022-05-30,20.677
2022-05-31,20.193
2022-06-01,20.041
2022-06-02,20.203
2022-06-03,19.982
2022-06-04,19.982
2022-06-05,19.982
2022-06-06,20.065
2022-06-07,20.189
2022-06-08,20.088
2022-06-09,19.731
2022-06-10,19.699
2022-06-11,19.699
2022-06-12,19.699
2022-06-13,19.362
2022-06-14,18.923
2022-06-15,19.126
2022-06-16,19.048
2022-06-17,19.147
2022-06-18,19.147
2022-06-19,19.147
2022-06-20,19.147
2022-06-21,19.564
2022-06-22,19.725
2022-06-23,19.977
2022-06-24,20.224
2022-06-25,20.224
2022-06-26,20.224
2022-06-27,20.251
2022-06-28,19.966
2022-06-29,20.297
2022-06-30,20.289
2022-07-01,20.724
2022-07-02,20.724
2022-07-03,20.724
2022-07-04,20.724
2022-07-05,20.675
2022-07-06,20.89
2022-07-07,20.846
2022-07-08,21.032
2022-07-09,21.032
2022-07-10,21.032
2022-07-11,20.859
2022-07-12,20.725
2022-07-13,20.745
2022-07-14,20.855
2022-07-15,20.872
2022-07-16,20.872
2022-07-17,20.872
2022-07-18,20.523
2022-07-19,20.742
2022-07-20,20.51
2022-07-21,20.379
2022-07-22,20.512
2022-07-23,20.512
2022-07-24,20.512
2022-07-25,20.499
2022-07-26,20.783
2022-07-27,20.754
2022-07-28,21.147
2022-07-29,21.194
2022-07-30,21.194
2022-07-31,21.194
2022-08-01,21.402
2022-08-02,21.215
2022-08-03,21.377
2022-08-04,21.26
2022-08-05,21.101
2022-08-06,21.101
2022-08-07,21.101
2022-08-08,21.038
2022-08-09,21.116
2022-08-10,21.291
2022-08-11,21.182
2022-08-12,21.459
2022-08-13,21.459
2022-08-14,21.459
2022-08-15,21.695
