,SEIC US Equity
,BEST_PE_RATIO
2023-03-18,13.812
2023-03-19,13.812
2023-03-20,13.915
2023-03-21,14.208
2023-03-22,13.932
2023-03-23,13.83
2023-03-24,13.804
2023-03-25,13.804
2023-03-26,13.804
2023-03-27,13.973
2023-03-28,14.063
2023-03-29,14.209
2023-03-30,14.231
2023-03-31,14.46
2023-04-01,14.46
2023-04-02,14.46
2023-04-03,14.383
2023-04-04,14.247
2023-04-05,14.174
2023-04-06,14.245
2023-04-07,14.245
2023-04-08,14.245
2023-04-09,14.245
2023-04-10,14.25
2023-04-11,14.443
2023-04-12,14.408
2023-04-13,14.568
2023-04-14,14.573
2023-04-15,14.573
2023-04-16,14.573
2023-04-17,14.556
2023-04-18,14.681
2023-04-19,14.798
2023-04-20,14.86
2023-04-21,14.832
2023-04-22,14.832
2023-04-23,14.832
2023-04-24,14.868
2023-04-25,14.7
2023-04-26,14.52
2023-04-27,14.756
2023-04-28,14.954
2023-04-29,14.954
2023-04-30,14.954
2023-05-01,14.916
2023-05-02,14.849
2023-05-03,14.821
2023-05-04,14.734
2023-05-05,15.057
2023-05-06,15.057
2023-05-07,15.057
2023-05-08,14.95
2023-05-09,14.803
2023-05-10,14.76
2023-05-11,14.803
2023-05-12,14.912
2023-05-13,14.912
2023-05-14,14.912
2023-05-15,14.851
2023-05-16,14.544
2023-05-17,14.795
2023-05-18,14.816
2023-05-19,14.699
2023-05-20,14.699
2023-05-21,14.699
2023-05-22,14.689
2023-05-23,14.686
2023-05-24,14.682
2023-05-25,14.592
2023-05-26,14.669
2023-05-27,14.669
2023-05-28,14.669
2023-05-29,14.669
2023-05-30,14.636
2023-05-31,14.452
2023-06-01,14.597
2023-06-02,14.866
2023-06-03,14.866
2023-06-04,14.866
2023-06-05,14.651
2023-06-06,14.877
2023-06-07,14.991
2023-06-08,15.062
2023-06-09,15.053
2023-06-10,15.053
2023-06-11,15.053
2023-06-12,14.9
2023-06-13,15.04
2023-06-14,15.017
2023-06-15,15.25
