,NFG US Equity
,BEST_PE_RATIO
2022-08-26,8.465
2022-08-27,8.465
2022-08-28,8.465
2022-08-29,8.484
2022-08-30,8.228
2022-08-31,8.243
2022-09-01,8.132
2022-09-02,8.154
2022-09-03,8.154
2022-09-04,8.154
2022-09-05,8.154
2022-09-06,8.107
2022-09-07,8.206
2022-09-08,8.132
2022-09-09,8.236
2022-09-10,8.236
2022-09-11,8.236
2022-09-12,8.248
2022-09-13,8.012
2022-09-14,8.226
2022-09-15,8.625
2022-09-16,8.386
2022-09-17,8.386
2022-09-18,8.386
2022-09-19,9.744
2022-09-20,9.596
2022-09-21,9.398
2022-09-22,9.315
2022-09-23,8.905
2022-09-24,8.905
2022-09-25,8.905
2022-09-26,8.69
2022-09-27,8.515
2022-09-28,8.787
2022-09-29,8.673
2022-09-30,8.555
2022-10-01,8.555
2022-10-02,8.555
2022-10-03,8.865
2022-10-04,9.149
2022-10-05,9.058
2022-10-06,8.861
2022-10-07,8.7
2022-10-08,8.7
2022-10-09,8.7
2022-10-10,7.596
2022-10-11,7.665
2022-10-12,7.638
2022-10-13,7.932
2022-10-14,7.8
2022-10-15,7.8
2022-10-16,7.8
2022-10-17,7.868
2022-10-18,7.88
2022-10-19,7.919
2022-10-20,7.819
2022-10-21,7.89
2022-10-22,7.89
2022-10-23,7.89
2022-10-24,7.886
2022-10-25,8.0
2022-10-26,7.971
2022-10-27,8.016
2022-10-28,8.148
2022-10-29,8.148
2022-10-30,8.148
2022-10-31,8.191
2022-11-01,8.176
2022-11-02,8.049
2022-11-03,7.868
2022-11-04,7.688
2022-11-05,7.688
2022-11-06,7.688
2022-11-07,7.773
2022-11-08,7.852
2022-11-09,7.632
2022-11-10,7.905
2022-11-11,8.158
2022-11-12,8.158
2022-11-13,8.158
2022-11-14,8.009
2022-11-15,7.989
2022-11-16,7.923
2022-11-17,7.859
2022-11-18,7.978
2022-11-19,7.978
2022-11-20,7.978
2022-11-21,8.016
2022-11-22,8.19
2022-11-23,8.152
2022-11-24,8.152
2022-11-25,8.234
2022-11-26,8.234
2022-11-27,8.234
2022-11-28,8.068
2022-11-29,8.116
2022-11-30,8.287
2022-12-01,8.156
2022-12-02,8.032
2022-12-03,8.032
2022-12-04,8.032
2022-12-05,7.805
2022-12-06,7.741
2022-12-07,7.769
2022-12-08,7.783
2022-12-09,7.818
2022-12-10,7.818
2022-12-11,7.818
2022-12-12,8.013
2022-12-13,8.048
2022-12-14,8.02
2022-12-15,7.924
2022-12-16,7.784
2022-12-17,7.784
2022-12-18,7.784
2022-12-19,7.756
2022-12-20,7.84
2022-12-21,8.016
2022-12-22,7.909
2022-12-23,8.078
2022-12-24,8.078
2022-12-25,8.078
2022-12-26,8.078
2022-12-27,8.082
2022-12-28,7.852
2022-12-29,7.912
2022-12-30,7.82
2022-12-31,7.82
2023-01-01,7.82
2023-01-02,7.82
2023-01-03,7.471
2023-01-04,7.592
2023-01-05,7.444
2023-01-06,7.562
2023-01-07,7.562
2023-01-08,7.562
2023-01-09,7.566
2023-01-10,7.608
2023-01-11,7.637
2023-01-12,7.895
2023-01-13,7.909
2023-01-14,7.909
2023-01-15,7.909
2023-01-16,7.909
2023-01-17,7.73
2023-01-18,7.474
2023-01-19,7.524
2023-01-20,7.925
2023-01-21,7.925
2023-01-22,7.925
2023-01-23,7.989
2023-01-24,7.995
2023-01-25,8.009
2023-01-26,7.959
2023-01-27,7.919
2023-01-28,7.919
2023-01-29,7.919
2023-01-30,7.87
2023-01-31,8.156
2023-02-01,8.032
2023-02-02,7.959
2023-02-03,8.4
2023-02-04,8.4
2023-02-05,8.4
2023-02-06,8.232
2023-02-07,8.285
2023-02-08,8.664
2023-02-09,8.447
2023-02-10,8.658
2023-02-11,8.658
2023-02-12,8.658
2023-02-13,8.689
2023-02-14,8.645
2023-02-15,8.688
2023-02-16,8.618
2023-02-17,8.604
2023-02-18,8.604
2023-02-19,8.604
2023-02-20,8.604
2023-02-21,8.323
2023-02-22,8.473
2023-02-23,8.524
2023-02-24,8.572
2023-02-25,8.572
2023-02-26,8.572
2023-02-27,8.54
2023-02-28,8.466
2023-03-01,8.485
2023-03-02,8.586
2023-03-03,8.689
2023-03-04,8.689
2023-03-05,8.689
2023-03-06,8.593
2023-03-07,8.58
2023-03-08,8.568
2023-03-09,8.414
2023-03-10,8.417
2023-03-11,8.417
2023-03-12,8.417
2023-03-13,8.424
2023-03-14,8.468
2023-03-15,8.246
2023-03-16,8.38
2023-03-17,8.243
2023-03-18,8.243
2023-03-19,8.243
2023-03-20,8.405
2023-03-21,8.483
2023-03-22,8.206
2023-03-23,8.212
2023-03-24,8.363
2023-03-25,8.363
2023-03-26,8.363
2023-03-27,8.449
2023-03-28,8.518
2023-03-29,8.581
2023-03-30,8.627
2023-03-31,8.744
2023-04-01,8.744
2023-04-02,8.744
2023-04-03,8.691
2023-04-04,8.826
2023-04-05,8.973
2023-04-06,8.922
2023-04-07,8.922
2023-04-08,8.922
2023-04-09,8.922
2023-04-10,8.93
2023-04-11,8.924
2023-04-12,8.868
2023-04-13,9.051
2023-04-14,8.977
2023-04-15,8.977
2023-04-16,8.977
2023-04-17,8.973
2023-04-18,9.434
2023-04-19,9.453
2023-04-20,9.398
2023-04-21,9.425
2023-04-22,9.425
2023-04-23,9.425
2023-04-24,9.473
2023-04-25,9.418
2023-04-26,9.369
2023-04-27,9.496
2023-04-28,9.574
2023-04-29,9.574
2023-04-30,9.574
2023-05-01,9.456
2023-05-02,8.899
2023-05-03,9.001
2023-05-04,9.057
2023-05-05,9.303
2023-05-06,9.303
2023-05-07,9.303
2023-05-08,9.22
2023-05-09,9.275
2023-05-10,9.078
2023-05-11,8.804
2023-05-12,8.795
2023-05-13,8.795
2023-05-14,8.795
2023-05-15,8.805
2023-05-16,8.737
2023-05-17,8.879
2023-05-18,8.882
2023-05-19,8.978
2023-05-20,8.978
2023-05-21,8.978
2023-05-22,8.949
2023-05-23,9.001
2023-05-24,8.937
2023-05-25,8.809
2023-05-26,8.878
2023-05-27,8.878
2023-05-28,8.878
2023-05-29,8.878
2023-05-30,8.913
2023-05-31,8.828
2023-06-01,8.845
2023-06-02,9.081
2023-06-03,9.081
2023-06-04,9.081
2023-06-05,9.014
2023-06-06,9.028
2023-06-07,9.267
2023-06-08,9.185
2023-06-09,9.114
2023-06-10,9.114
2023-06-11,9.114
2023-06-12,8.962
2023-06-13,9.004
