,PSX US Equity,PSX US Equity,PSX US Equity,PSX US Equity,PSX US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2021-06-23,79.2577,80.5395,78.8731,78.9447,3452518.0
2021-06-24,79.4456,80.4921,78.7398,80.2238,3097473.0
2021-06-25,80.3221,80.9035,79.2041,80.5368,8032599.0
2021-06-26,80.3221,80.9035,79.2041,80.5368,8032599.0
2021-06-27,80.3221,80.9035,79.2041,80.5368,8032599.0
2021-06-28,80.2059,80.2059,76.0109,76.4044,4141785.0
2021-06-29,77.0663,77.3794,75.7515,76.1271,3392691.0
2021-06-30,76.5028,76.8785,76.1003,76.7622,3103484.0
2021-07-01,78.3454,78.578,76.9679,77.8982,2358413.0
2021-07-02,77.6209,79.3025,77.237,78.6227,2080322.0
2021-07-03,77.6209,79.3025,77.237,78.6227,2080322.0
2021-07-04,77.6209,79.3025,77.237,78.6227,2080322.0
2021-07-05,77.6209,79.3025,77.237,78.6227,2080322.0
2021-07-06,78.7121,78.7121,75.1611,75.5368,6464418.0
2021-07-07,74.6066,75.51,72.5583,73.8284,5109264.0
2021-07-08,71.8964,73.4974,71.315,72.2631,2484306.0
2021-07-09,72.9876,74.0857,72.2005,73.9715,2376882.0
2021-07-10,72.9876,74.0857,72.2005,73.9715,2376882.0
2021-07-11,72.9876,74.0857,72.2005,73.9715,2376882.0
2021-07-12,72.8087,74.4008,72.4509,73.7032,3251865.0
2021-07-13,73.1754,73.6406,72.5225,73.0323,3340560.0
2021-07-14,72.8892,73.6763,70.0359,70.2506,4263746.0
2021-07-15,69.4098,70.3311,68.7032,69.0252,3481013.0
2021-07-16,69.5797,69.7407,66.382,66.6191,3305414.0
2021-07-17,69.5797,69.7407,66.382,66.6191,3305414.0
2021-07-18,69.5797,69.7407,66.382,66.6191,3305414.0
2021-07-19,64.4008,65.1253,62.6745,63.1039,5171620.0
2021-07-20,63.0591,64.857,62.3704,63.6226,4956907.0
2021-07-21,64.8481,66.4581,64.7407,65.9751,4450187.0
2021-07-22,65.5457,65.6944,63.8463,64.6781,2807086.0
2021-07-23,64.6602,64.942,63.8731,64.5529,2126090.0
2021-07-24,64.6602,64.942,63.8731,64.5529,2126090.0
2021-07-25,64.6602,64.942,63.8731,64.5529,2126090.0
2021-07-26,64.7407,66.5386,64.6423,66.476,2168139.0
2021-07-27,65.7693,66.7935,65.1164,66.6727,1932835.0
2021-07-28,67.0037,67.8981,65.993,67.281,1957971.0
2021-07-29,68.1307,68.3364,66.7801,66.8874,1938356.0
2021-07-30,66.4939,66.9947,65.2684,65.6799,3300998.0
2021-07-31,66.4939,66.9947,65.2684,65.6799,3300998.0
2021-08-01,66.4939,66.9947,65.2684,65.6799,3300998.0
2021-08-02,65.9661,68.1128,65.5189,65.7246,4061231.0
2021-08-03,65.7425,68.0681,65.4027,68.0413,3148671.0
2021-08-04,65.9751,66.0735,64.043,64.0788,4259696.0
2021-08-05,64.9196,66.4939,64.5082,65.6262,2183159.0
2021-08-06,66.5028,66.789,65.6441,66.154,1808025.0
2021-08-07,66.5028,66.789,65.6441,66.154,1808025.0
2021-08-08,66.5028,66.789,65.6441,66.154,1808025.0
2021-08-09,65.1253,66.1182,64.9107,65.3042,2220786.0
2021-08-10,65.5189,66.637,65.3937,66.3955,2823889.0
2021-08-11,66.1718,66.6727,65.6888,66.5565,2021356.0
2021-08-12,66.4134,66.7443,65.6531,66.5833,1792048.0
2021-08-13,66.7622,67.0484,65.9974,66.0913,2214774.0
2021-08-14,66.7622,67.0484,65.9974,66.0913,2214774.0
2021-08-15,66.7622,67.0484,65.9974,66.0913,2214774.0
2021-08-16,65.1969,65.2774,63.9581,64.2667,4753318.0
2021-08-17,63.7141,64.5927,62.8989,63.379,3161415.0
2021-08-18,63.3518,64.0764,61.6353,61.7304,3895199.0
2021-08-19,60.5438,60.9152,59.1942,60.0275,4008930.0
2021-08-20,59.0583,60.2358,58.3789,59.7376,4518639.0
2021-08-21,59.0583,60.2358,58.3789,59.7376,4518639.0
2021-08-22,59.0583,60.2358,58.3789,59.7376,4518639.0
2021-08-23,61.2594,62.4913,61.1869,62.3192,3549901.0
2021-08-24,63.0257,64.5112,62.6453,64.2485,3351854.0
2021-08-25,64.158,65.8065,63.7141,65.3808,2229491.0
2021-08-26,64.3119,64.9822,63.8228,64.0221,2518503.0
2021-08-27,64.5837,66.2775,64.5293,65.7703,2349882.0
2021-08-28,64.5837,66.2775,64.5293,65.7703,2349882.0
2021-08-29,64.5837,66.2775,64.5293,65.7703,2349882.0
2021-08-30,66.2866,66.5764,64.8101,64.8282,1790399.0
2021-08-31,64.3753,65.3898,64.0221,64.3935,3333522.0
