,KFRC US Equity,KFRC US Equity,KFRC US Equity,KFRC US Equity,KFRC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2021-07-30,58.9975,59.4797,58.5059,59.0259,141707.0
2021-07-31,58.9975,59.4797,58.5059,59.0259,141707.0
2021-08-01,58.9975,59.4797,58.5059,59.0259,141707.0
2021-08-02,59.4703,60.3307,58.6004,58.695,71818.0
2021-08-03,58.9125,59.6736,57.9953,59.6499,99064.0
2021-08-04,56.9837,59.4986,55.2913,55.6978,146310.0
2021-08-05,56.1328,58.4681,54.8564,57.8157,130144.0
2021-08-06,58.3357,58.9348,57.2768,57.5415,123813.0
2021-08-07,58.3357,58.9348,57.2768,57.5415,123813.0
2021-08-08,58.3357,58.9348,57.2768,57.5415,123813.0
2021-08-09,57.3808,57.7212,56.0288,56.823,80600.0
2021-08-10,56.8891,58.6815,56.1989,57.3902,316007.0
2021-08-11,57.8252,57.9953,56.4779,57.8535,157564.0
2021-08-12,58.0426,58.6099,57.6172,58.0143,132603.0
2021-08-13,58.0237,58.1277,56.615,57.0688,52911.0
2021-08-14,58.0237,58.1277,56.615,57.0688,52911.0
2021-08-15,58.0237,58.1277,56.615,57.0688,52911.0
2021-08-16,56.6244,57.5132,56.0571,56.7095,109306.0
2021-08-17,57.655,57.655,55.7829,56.1989,71626.0
2021-08-18,55.9437,56.6197,55.036,55.1116,63179.0
2021-08-19,54.5065,55.7069,53.9024,55.4331,99771.0
2021-08-20,55.2629,56.0949,55.0927,55.5277,87428.0
2021-08-21,55.2629,56.0949,55.0927,55.5277,87428.0
2021-08-22,55.2629,56.0949,55.0927,55.5277,87428.0
2021-08-23,55.764,57.1254,55.2156,55.3764,94129.0
2021-08-24,55.4047,55.8397,54.2985,54.8658,108416.0
2021-08-25,54.9982,55.4709,54.4404,54.5255,80609.0
2021-08-26,54.5349,54.6981,53.3531,53.4193,82743.0
2021-08-27,53.5516,55.6317,52.8898,55.4237,188257.0
2021-08-28,53.5516,55.6317,52.8898,55.4237,188257.0
2021-08-29,53.5516,55.6317,52.8898,55.4237,188257.0
2021-08-30,55.3291,55.9437,54.7051,54.7335,96722.0
2021-08-31,54.6673,55.5418,54.2418,55.2346,133260.0
2021-09-01,55.1967,56.0004,54.4782,55.3953,78928.0
2021-09-02,55.4426,56.1989,55.0738,55.8113,70927.0
2021-09-03,55.868,56.1422,54.9698,55.5087,86347.0
2021-09-04,55.868,56.1422,54.9698,55.5087,86347.0
2021-09-05,55.868,56.1422,54.9698,55.5087,86347.0
2021-09-06,55.868,56.1422,54.9698,55.5087,86347.0
2021-09-07,55.2818,55.7073,54.4971,54.5349,87997.0
2021-09-08,54.412,56.0855,53.7123,55.9531,105474.0
2021-09-09,56.0671,57.596,56.0671,56.8648,118523.0
2021-09-10,56.9977,57.3111,56.124,56.8743,167445.0
2021-09-11,56.9977,57.3111,56.124,56.8743,167445.0
2021-09-12,56.9977,57.3111,56.124,56.8743,167445.0
2021-09-13,57.3111,57.3871,56.238,56.9122,79593.0
2021-09-14,57.1212,57.3681,56.1905,56.3804,99890.0
2021-09-15,56.4564,57.3966,56.4564,57.0642,93424.0
2021-09-16,57.3301,57.444,56.9787,57.1876,87941.0
