,NVR US Equity,NVR US Equity,NVR US Equity,NVR US Equity,NVR US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2021-04-17,4880.0,5008.36,4880.0,4984.85,26555.0
2021-04-18,4880.0,5008.36,4880.0,4984.85,26555.0
2021-04-19,4979.51,4994.13,4936.23,4984.42,20983.0
2021-04-20,4994.0,5028.855,4836.38,4906.22,17560.0
2021-04-21,4880.0,4895.0,4700.0,4800.0,40177.0
2021-04-22,4787.0,4836.205,4757.5,4826.37,23442.0
2021-04-23,4830.0,4916.805,4760.27,4862.59,16893.0
2021-04-24,4830.0,4916.805,4760.27,4862.59,16893.0
2021-04-25,4830.0,4916.805,4760.27,4862.59,16893.0
2021-04-26,4859.34,4938.96,4825.34,4929.53,19045.0
2021-04-27,4938.5,5023.0,4863.4,4978.81,27868.0
2021-04-28,4978.81,5019.8,4951.15,5005.63,20574.0
2021-04-29,5020.0,5107.1,5000.31,5023.91,15016.0
2021-04-30,4990.01,5047.97,4942.0,5018.1,14406.0
2021-05-01,4990.01,5047.97,4942.0,5018.1,14406.0
2021-05-02,4990.01,5047.97,4942.0,5018.1,14406.0
2021-05-03,5076.11,5144.0,5015.36,5124.07,12559.0
2021-05-04,5127.57,5173.76,5055.0,5104.95,15674.0
2021-05-05,5125.0,5155.99,5075.01,5142.42,13375.0
2021-05-06,5149.68,5151.35,5075.51,5134.44,13349.0
2021-05-07,5109.32,5234.27,5109.32,5211.38,17688.0
2021-05-08,5109.32,5234.27,5109.32,5211.38,17688.0
2021-05-09,5109.32,5234.27,5109.32,5211.38,17688.0
2021-05-10,5209.55,5308.475,5150.0,5215.81,15314.0
2021-05-11,5187.83,5198.84,4970.01,4988.03,21077.0
2021-05-12,4950.01,4954.98,4749.34,4749.37,21670.0
2021-05-13,4810.0,4955.5,4799.9,4925.73,20277.0
2021-05-14,4937.84,4988.55,4920.0,4949.71,16199.0
2021-05-15,4937.84,4988.55,4920.0,4949.71,16199.0
2021-05-16,4937.84,4988.55,4920.0,4949.71,16199.0
2021-05-17,4947.1,4969.0,4840.99,4871.49,16480.0
2021-05-18,4872.05,4883.198,4717.81,4726.01,17754.0
2021-05-19,4622.0,4723.35,4565.81,4705.67,25408.0
2021-05-20,4742.37,4770.0,4686.71,4722.7,13285.0
2021-05-21,4721.07,4772.84,4640.91,4655.22,19430.0
2021-05-22,4721.07,4772.84,4640.91,4655.22,19430.0
2021-05-23,4721.07,4772.84,4640.91,4655.22,19430.0
2021-05-24,4691.86,4695.0,4627.01,4652.72,15561.0
2021-05-25,4697.57,4852.89,4660.01,4836.36,33361.0
2021-05-26,4845.0,4900.0,4809.13,4847.26,17975.0
2021-05-27,4859.04,4908.855,4813.93,4861.29,23995.0
2021-05-28,4858.95,4918.14,4826.65,4887.23,13231.0
2021-05-29,4858.95,4918.14,4826.65,4887.23,13231.0
2021-05-30,4858.95,4918.14,4826.65,4887.23,13231.0
2021-05-31,4858.95,4918.14,4826.65,4887.23,13231.0
2021-06-01,4925.33,4925.33,4817.88,4841.02,11693.0
2021-06-02,4841.0,4841.0,4785.895,4795.49,13793.0
2021-06-03,4755.61,4793.99,4696.115,4747.07,16556.0
2021-06-04,4785.0,4827.43,4702.0,4810.0,13418.0
2021-06-05,4785.0,4827.43,4702.0,4810.0,13418.0
2021-06-06,4785.0,4827.43,4702.0,4810.0,13418.0
2021-06-07,4824.45,4824.45,4760.91,4808.51,13711.0
2021-06-08,4818.45,4864.2,4777.78,4838.13,14440.0
2021-06-09,4851.8,4851.8,4770.0,4792.95,16183.0
2021-06-10,4787.8,4787.8,4596.97,4602.94,40887.0
2021-06-11,4625.0,4699.68,4625.0,4669.79,21721.0
2021-06-12,4625.0,4699.68,4625.0,4669.79,21721.0
2021-06-13,4625.0,4699.68,4625.0,4669.79,21721.0
2021-06-14,4654.0,4703.34,4621.343,4671.74,29367.0
2021-06-15,4674.35,4744.0,4653.03,4711.48,23599.0
2021-06-16,4718.92,4729.52,4645.0,4656.08,20554.0
2021-06-17,4650.0,4749.4,4631.5,4697.55,27452.0
2021-06-18,4676.18,4799.38,4670.29,4785.14,40146.0
2021-06-19,4676.18,4799.38,4670.29,4785.14,40146.0
2021-06-20,4676.18,4799.38,4670.29,4785.14,40146.0
2021-06-21,4780.62,4826.97,4737.92,4817.69,18837.0
2021-06-22,4830.0,4847.04,4800.0,4821.27,17672.0
