,CACC US Equity,CACC US Equity,CACC US Equity,CACC US Equity,CACC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-04-09,281.99,328.141,278.515,317.17,589149.0
2020-04-10,281.99,328.141,278.515,317.17,589149.0
2020-04-11,281.99,328.141,278.515,317.17,589149.0
2020-04-12,281.99,328.141,278.515,317.17,589149.0
2020-04-13,316.73,316.73,285.01,291.73,329254.0
2020-04-14,299.44,311.0,275.01,293.13,392163.0
2020-04-15,282.55,289.69,269.036,278.17,441437.0
2020-04-16,274.77,289.48,262.69,285.24,393694.0
2020-04-17,296.0,320.0,292.93,299.36,249589.0
2020-04-18,296.0,320.0,292.93,299.36,249589.0
2020-04-19,296.0,320.0,292.93,299.36,249589.0
2020-04-20,290.01,306.02,286.3,294.71,267220.0
2020-04-21,265.45,271.998,252.2432,254.0,626461.0
2020-04-22,262.07,263.0,241.5401,254.51,431001.0
2020-04-23,254.43,272.4899,254.22,265.87,381553.0
2020-04-24,268.0,274.65,256.48,271.78,287209.0
