,NFG US Equity,NFG US Equity,NFG US Equity,NFG US Equity,NFG US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2021-03-08,44.3924,44.7782,43.3607,44.5898,457906.0
2021-03-09,44.3565,44.7064,43.262,43.3427,409906.0
2021-03-10,43.2978,44.5808,43.244,44.4283,306123.0
2021-03-11,44.1143,44.6705,43.804,43.9618,411298.0
2021-03-12,44.1861,44.7423,44.0425,44.5988,384545.0
2021-03-13,44.1861,44.7423,44.0425,44.5988,384545.0
2021-03-14,44.1861,44.7423,44.0425,44.5988,384545.0
2021-03-15,44.527,44.7961,43.9528,44.7692,392243.0
2021-03-16,44.4193,44.841,44.0963,44.4642,339233.0
2021-03-17,44.4193,44.5449,43.5805,43.8362,432476.0
2021-03-18,43.6208,44.1771,43.4863,44.0156,480368.0
2021-03-19,44.2309,44.4911,43.8227,44.195,835753.0
2021-03-20,44.2309,44.4911,43.8227,44.195,835753.0
2021-03-21,44.2309,44.4911,43.8227,44.195,835753.0
2021-03-22,43.7554,44.0963,43.3427,43.6477,259207.0
2021-03-23,43.1543,43.8003,42.93,43.1005,315034.0
2021-03-24,43.3248,44.2937,43.0646,43.7823,220702.0
2021-03-25,43.872,45.0294,43.6567,44.9487,503061.0
2021-03-26,45.146,45.3972,44.7782,45.3255,386872.0
2021-03-27,45.146,45.3972,44.7782,45.3255,386872.0
2021-03-28,45.146,45.3972,44.7782,45.3255,386872.0
2021-03-29,45.3255,45.8728,45.1326,45.5767,372245.0
2021-03-30,45.4636,45.8545,44.8209,45.4545,285583.0
2021-03-31,45.2554,45.6174,45.0834,45.2463,337227.0
2021-04-01,45.1739,45.4907,44.6399,45.2916,305368.0
2021-04-02,45.1739,45.4907,44.6399,45.2916,305368.0
2021-04-03,45.1739,45.4907,44.6399,45.2916,305368.0
2021-04-04,45.1739,45.4907,44.6399,45.2916,305368.0
2021-04-05,45.2916,45.7713,45.1196,45.4817,370158.0
2021-04-06,45.4183,45.6265,45.0925,45.4002,270417.0
2021-04-07,45.4907,45.9795,45.364,45.7713,250081.0
2021-04-08,45.7079,45.9614,44.8752,45.3911,346370.0
2021-04-09,45.2644,45.4726,44.8481,45.0653,254534.0
2021-04-10,45.2644,45.4726,44.8481,45.0653,254534.0
2021-04-11,45.2644,45.4726,44.8481,45.0653,254534.0
2021-04-12,45.3368,45.536,44.9748,45.0653,222738.0
2021-04-13,44.8571,45.3278,44.5494,45.1106,296922.0
2021-04-14,45.3187,45.6717,45.1196,45.5269,295607.0
2021-04-15,45.5179,46.0609,45.2463,46.0428,357363.0
2021-04-16,46.07,46.1876,45.813,45.9704,242496.0
2021-04-17,46.07,46.1876,45.813,45.9704,242496.0
2021-04-18,46.07,46.1876,45.813,45.9704,242496.0
2021-04-19,46.0881,46.1875,45.726,45.9614,329795.0
2021-04-20,45.9161,46.2057,45.5631,46.1243,214111.0
2021-04-21,45.9433,46.5135,45.7894,46.2419,350440.0
2021-04-22,46.3144,46.4275,45.631,46.1876,243210.0
2021-04-23,46.1876,46.5949,45.9297,46.5044,432951.0
2021-04-24,46.1876,46.5949,45.9297,46.5044,432951.0
2021-04-25,46.1876,46.5949,45.9297,46.5044,432951.0
2021-04-26,46.5406,46.6402,45.6265,45.6808,321028.0
2021-04-27,45.6717,45.898,45.2916,45.4183,399685.0
2021-04-28,45.4817,45.9161,45.4138,45.4545,288225.0
2021-04-29,45.8075,45.9795,45.4636,45.4907,264005.0
2021-04-30,45.4907,45.6717,44.7123,44.9476,1018582.0
2021-05-01,45.4907,45.6717,44.7123,44.9476,1018582.0
2021-05-02,45.4907,45.6717,44.7123,44.9476,1018582.0
2021-05-03,45.1558,46.1605,44.839,45.8075,539961.0
2021-05-04,45.9523,46.1333,45.536,45.6717,275202.0
2021-05-05,45.6174,45.7532,45.2101,45.726,305983.0
2021-05-06,45.6898,46.5225,45.4183,46.3777,443568.0
2021-05-07,46.5678,47.7897,45.6989,47.5996,415933.0
2021-05-08,46.5678,47.7897,45.6989,47.5996,415933.0
2021-05-09,46.5678,47.7897,45.6989,47.5996,415933.0
2021-05-10,47.7535,48.2694,47.3371,47.8621,364020.0
2021-05-11,47.7806,48.0069,47.2557,47.5543,381758.0
2021-05-12,47.672,47.9435,46.4954,46.5044,301511.0
2021-05-13,46.2963,47.5,46.2148,47.2647,353428.0
2021-05-14,47.4638,47.8621,47.2285,47.3552,309428.0
2021-05-15,47.4638,47.8621,47.2285,47.3552,309428.0
2021-05-16,47.4638,47.8621,47.2285,47.3552,309428.0
2021-05-17,47.2738,47.5181,47.0294,47.1289,262658.0
2021-05-18,47.1108,47.4729,46.957,47.0837,308835.0
2021-05-19,46.8122,46.8936,46.3144,46.8393,200488.0
2021-05-20,46.6673,46.9932,46.4863,46.6945,264082.0
2021-05-21,46.9389,47.1742,46.4863,46.9117,377404.0
