,1981718D US Equity,1981718D US Equity,1981718D US Equity,1981718D US Equity,1981718D US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-07-18,37.315,37.6819,35.8275,35.8275,3517111.0
2020-07-19,37.315,37.6819,35.8275,35.8275,3517111.0
2020-07-20,35.9763,36.4225,35.4507,36.2837,1788959.0
2020-07-21,36.5911,37.9286,36.5117,37.7513,4267176.0
2020-07-22,37.4736,37.7125,36.9679,37.3645,2008901.0
2020-07-23,37.2356,38.4553,37.0671,37.7414,1772637.0
2020-07-24,37.6719,38.0884,37.2604,37.4538,3185800.0
2020-07-25,37.6719,38.0884,37.2604,37.4538,3185800.0
2020-07-26,37.6719,38.0884,37.2604,37.4538,3185800.0
2020-07-27,37.3348,37.3348,36.1349,36.2738,4019185.0
2020-07-28,36.3233,36.5117,36.0258,36.1151,1693522.0
2020-07-29,36.1944,36.6109,35.8969,36.5117,2022369.0
2020-07-30,35.9465,36.2143,35.3218,36.0457,2445718.0
2020-07-31,35.9267,35.9366,35.0739,35.5895,2695563.0
2020-08-01,35.9267,35.9366,35.0739,35.5895,2695563.0
2020-08-02,35.9267,35.9366,35.0739,35.5895,2695563.0
2020-08-03,35.6986,36.0953,35.2127,35.7978,2462224.0
2020-08-04,35.8374,36.4721,35.649,36.4721,2337612.0
2020-08-05,36.7299,36.9084,36.4076,36.72,1898117.0
2020-08-06,36.52,36.77,35.725,35.85,2661183.0
2020-08-07,35.72,36.86,35.55,36.84,2633884.0
2020-08-08,35.72,36.86,35.55,36.84,2633884.0
2020-08-09,35.72,36.86,35.55,36.84,2633884.0
2020-08-10,36.79,37.09,36.31,36.58,1691109.0
2020-08-11,37.12,38.47,37.12,37.8,4788567.0
2020-08-12,38.48,38.94,37.61,37.71,2545187.0
2020-08-13,37.36,37.77,36.91,37.44,1493015.0
2020-08-14,37.12,38.35,36.9616,37.95,1416534.0
2020-08-15,37.12,38.35,36.9616,37.95,1416534.0
2020-08-16,37.12,38.35,36.9616,37.95,1416534.0
2020-08-17,37.8,38.16,37.32,37.485,1774217.0
2020-08-18,37.48,37.885,37.05,37.83,1711682.0
