,PDCO US Equity,PDCO US Equity,PDCO US Equity,PDCO US Equity,PDCO US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2021-01-15,30.0982,30.3145,28.3951,29.3142,1442076.0
2021-01-16,30.0982,30.3145,28.3951,29.3142,1442076.0
2021-01-17,30.0982,30.3145,28.3951,29.3142,1442076.0
2021-01-18,30.0982,30.3145,28.3951,29.3142,1442076.0
2021-01-19,29.2241,29.6702,27.3993,28.6203,974828.0
2021-01-20,28.7465,28.7465,27.6831,28.5302,500542.0
2021-01-21,28.6474,28.6474,28.0797,28.2509,454911.0
2021-01-22,27.8994,29.3232,27.8544,29.2872,1708417.0
2021-01-23,27.8994,29.3232,27.8544,29.2872,1708417.0
2021-01-24,27.8994,29.3232,27.8544,29.2872,1708417.0
2021-01-25,28.7735,29.6927,28.7735,29.5215,718493.0
2021-01-26,29.918,30.3145,29.5125,29.918,775455.0
2021-01-27,29.5936,33.2342,29.4764,30.9092,3169510.0
2021-01-28,30.7561,31.6842,29.143,29.2151,1648169.0
2021-01-29,29.2241,29.7287,27.9084,28.5482,1385161.0
2021-01-30,29.2241,29.7287,27.9084,28.5482,1385161.0
2021-01-31,29.2241,29.7287,27.9084,28.5482,1385161.0
2021-02-01,27.994,29.2331,27.994,28.6203,1100884.0
2021-02-02,29.0799,29.517,28.377,28.6654,704485.0
2021-02-03,28.9357,28.9357,27.7643,28.35,787473.0
2021-02-04,28.4852,28.9628,28.1608,28.7825,570677.0
2021-02-05,29.1881,29.1881,28.386,28.7465,487151.0
2021-02-06,29.1881,29.1881,28.386,28.7465,487151.0
2021-02-07,29.1881,29.1881,28.386,28.7465,487151.0
2021-02-08,28.7916,29.3683,28.4801,29.161,469307.0
2021-02-09,29.3322,29.8279,29.1926,29.6657,503848.0
2021-02-10,29.9811,30.2604,29.0709,29.4494,543985.0
2021-02-11,29.5485,30.4497,29.4584,29.9991,563193.0
2021-02-12,30.481,30.481,29.7918,30.0802,347044.0
2021-02-13,30.481,30.481,29.7918,30.0802,347044.0
2021-02-14,30.481,30.481,29.7918,30.0802,347044.0
2021-02-15,30.481,30.481,29.7918,30.0802,347044.0
2021-02-16,30.0982,30.3055,29.143,29.4404,540965.0
2021-02-17,28.9988,29.3593,28.1698,28.2959,627017.0
2021-02-18,27.7733,28.3094,27.3948,27.9535,564799.0
2021-02-19,27.8363,28.8006,27.5029,28.5032,810750.0
2021-02-20,27.8363,28.8006,27.5029,28.5032,810750.0
2021-02-21,27.8363,28.8006,27.5029,28.5032,810750.0
2021-02-22,28.359,29.2241,28.1788,28.9087,416186.0
2021-02-23,28.6294,29.17,28.332,28.6744,658101.0
