,TRS US Equity,TRS US Equity,TRS US Equity,TRS US Equity,TRS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2022-02-28,32.0608,32.4851,31.8832,32.0805,160681.0
2022-03-01,31.972,32.3075,30.0182,30.2945,198831.0
2022-03-02,30.255,32.2039,29.9984,31.5773,106200.0
2022-03-03,31.8144,32.4072,31.4982,32.3973,121157.0
2022-03-04,32.0713,32.7926,31.597,31.8539,84734.0
2022-03-05,32.0713,32.7926,31.597,31.8539,84734.0
2022-03-06,32.0713,32.7926,31.597,31.8539,84734.0
2022-03-07,31.9923,32.0268,31.3599,31.518,104133.0
2022-03-08,31.7551,31.7551,30.4509,30.4509,95752.0
2022-03-09,31.0932,31.8634,31.0932,31.5872,60410.0
2022-03-10,31.0635,31.5872,30.9005,31.4488,74228.0
2022-03-11,31.6168,32.511,30.4707,30.6584,115455.0
2022-03-12,31.6168,32.511,30.4707,30.6584,115455.0
2022-03-13,31.6168,32.511,30.4707,30.6584,115455.0
2022-03-14,30.9054,31.35,30.8264,30.9746,95638.0
2022-03-15,30.9746,31.6069,30.9449,31.5674,66461.0
2022-03-16,31.6464,32.3282,31.4587,31.9132,66130.0
2022-03-17,31.8144,32.4665,31.7354,32.4369,56605.0
2022-03-18,32.427,33.2876,31.9132,32.7333,216358.0
2022-03-19,32.427,33.2876,31.9132,32.7333,216358.0
2022-03-20,32.427,33.2876,31.9132,32.7333,216358.0
2022-03-21,32.5949,33.247,32.2096,32.7036,51253.0
2022-03-22,32.7827,33.1186,32.2096,32.2689,64822.0
2022-03-23,32.0911,32.0911,31.6069,31.686,51856.0
2022-03-24,31.7255,32.259,31.7008,31.8342,53055.0
2022-03-25,32.0219,33.089,31.6662,32.0614,69599.0
2022-03-26,32.0219,33.089,31.6662,32.0614,69599.0
2022-03-27,32.0219,33.089,31.6662,32.0614,69599.0
2022-03-28,32.0812,32.0812,31.2414,31.4488,66914.0
2022-03-29,31.6267,32.3084,31.6069,32.2294,173126.0
2022-03-30,32.1701,32.3776,31.5872,31.6366,81147.0
2022-03-31,31.6168,32.1701,31.5575,31.7057,102570.0
2022-04-01,31.9429,32.3776,31.5674,32.0219,69700.0
2022-04-02,31.9429,32.3776,31.5674,32.0219,69700.0
2022-04-03,31.9429,32.3776,31.5674,32.0219,69700.0
2022-04-04,32.1009,32.1701,31.3402,31.7946,78874.0
2022-04-05,31.9626,32.18,31.0833,31.1228,99916.0
2022-04-06,30.7967,31.3896,30.4806,30.8659,101265.0
2022-04-07,30.9351,31.0042,30.2731,30.5399,231671.0
2022-04-08,30.3423,31.0042,30.2929,30.4015,94259.0
2022-04-09,30.3423,31.0042,30.2929,30.4015,94259.0
2022-04-10,30.3423,31.0042,30.2929,30.4015,94259.0
