,UFS US Equity,UFS US Equity,UFS US Equity,UFS US Equity,UFS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2023-05-21,55.48,55.5,55.47,55.49,3952659.0
2023-05-22,55.48,55.5,55.47,55.49,3952659.0
2023-05-23,55.48,55.5,55.47,55.49,3952659.0
2023-05-24,55.48,55.5,55.47,55.49,3952659.0
2023-05-25,55.48,55.5,55.47,55.49,3952659.0
2023-05-26,55.48,55.5,55.47,55.49,3952659.0
2023-05-27,55.48,55.5,55.47,55.49,3952659.0
2023-05-28,55.48,55.5,55.47,55.49,3952659.0
2023-05-29,55.48,55.5,55.47,55.49,3952659.0
2023-05-30,55.48,55.5,55.47,55.49,3952659.0
2023-05-31,55.48,55.5,55.47,55.49,3952659.0
2023-06-01,55.48,55.5,55.47,55.49,3952659.0
2023-06-02,55.48,55.5,55.47,55.49,3952659.0
2023-06-03,55.48,55.5,55.47,55.49,3952659.0
2023-06-04,55.48,55.5,55.47,55.49,3952659.0
2023-06-05,55.48,55.5,55.47,55.49,3952659.0
2023-06-06,55.48,55.5,55.47,55.49,3952659.0
2023-06-07,55.48,55.5,55.47,55.49,3952659.0
2023-06-08,55.48,55.5,55.47,55.49,3952659.0
2023-06-09,55.48,55.5,55.47,55.49,3952659.0
2023-06-10,55.48,55.5,55.47,55.49,3952659.0
2023-06-11,55.48,55.5,55.47,55.49,3952659.0
2023-06-12,55.48,55.5,55.47,55.49,3952659.0
2023-06-13,55.48,55.5,55.47,55.49,3952659.0
2023-06-14,55.48,55.5,55.47,55.49,3952659.0
2023-06-15,55.48,55.5,55.47,55.49,3952659.0
2023-06-16,55.48,55.5,55.47,55.49,3952659.0
2023-06-17,55.48,55.5,55.47,55.49,3952659.0
2023-06-18,55.48,55.5,55.47,55.49,3952659.0
2023-06-19,55.48,55.5,55.47,55.49,3952659.0
2023-06-20,55.48,55.5,55.47,55.49,3952659.0
2023-06-21,55.48,55.5,55.47,55.49,3952659.0
2023-06-22,55.48,55.5,55.47,55.49,3952659.0
2023-06-23,55.48,55.5,55.47,55.49,3952659.0
2023-06-24,55.48,55.5,55.47,55.49,3952659.0
2023-06-25,55.48,55.5,55.47,55.49,3952659.0
2023-06-26,55.48,55.5,55.47,55.49,3952659.0
2023-06-27,55.48,55.5,55.47,55.49,3952659.0
2023-06-28,55.48,55.5,55.47,55.49,3952659.0
2023-06-29,55.48,55.5,55.47,55.49,3952659.0
2023-06-30,55.48,55.5,55.47,55.49,3952659.0
2023-07-01,55.48,55.5,55.47,55.49,3952659.0
2023-07-02,55.48,55.5,55.47,55.49,3952659.0
2023-07-03,55.48,55.5,55.47,55.49,3952659.0
2023-07-04,55.48,55.5,55.47,55.49,3952659.0
2023-07-05,55.48,55.5,55.47,55.49,3952659.0
2023-07-06,55.48,55.5,55.47,55.49,3952659.0
2023-07-07,55.48,55.5,55.47,55.49,3952659.0
2023-07-08,55.48,55.5,55.47,55.49,3952659.0
2023-07-09,55.48,55.5,55.47,55.49,3952659.0
2023-07-10,55.48,55.5,55.47,55.49,3952659.0
2023-07-11,55.48,55.5,55.47,55.49,3952659.0
2023-07-12,55.48,55.5,55.47,55.49,3952659.0
2023-07-13,55.48,55.5,55.47,55.49,3952659.0
2023-07-14,55.48,55.5,55.47,55.49,3952659.0
2023-07-15,55.48,55.5,55.47,55.49,3952659.0
2023-07-16,55.48,55.5,55.47,55.49,3952659.0
2023-07-17,55.48,55.5,55.47,55.49,3952659.0
2023-07-18,55.48,55.5,55.47,55.49,3952659.0
2023-07-19,55.48,55.5,55.47,55.49,3952659.0
2023-07-20,55.48,55.5,55.47,55.49,3952659.0
2023-07-21,55.48,55.5,55.47,55.49,3952659.0
2023-07-22,55.48,55.5,55.47,55.49,3952659.0
2023-07-23,55.48,55.5,55.47,55.49,3952659.0
2023-07-24,55.48,55.5,55.47,55.49,3952659.0
2023-07-25,55.48,55.5,55.47,55.49,3952659.0
2023-07-26,55.48,55.5,55.47,55.49,3952659.0
2023-07-27,55.48,55.5,55.47,55.49,3952659.0
2023-07-28,55.48,55.5,55.47,55.49,3952659.0
2023-07-29,55.48,55.5,55.47,55.49,3952659.0
2023-07-30,55.48,55.5,55.47,55.49,3952659.0
2023-07-31,55.48,55.5,55.47,55.49,3952659.0
2023-08-01,55.48,55.5,55.47,55.49,3952659.0
2023-08-02,55.48,55.5,55.47,55.49,3952659.0
2023-08-03,55.48,55.5,55.47,55.49,3952659.0
2023-08-04,55.48,55.5,55.47,55.49,3952659.0
2023-08-05,55.48,55.5,55.47,55.49,3952659.0
2023-08-06,55.48,55.5,55.47,55.49,3952659.0
2023-08-07,55.48,55.5,55.47,55.49,3952659.0
2023-08-08,55.48,55.5,55.47,55.49,3952659.0
2023-08-09,55.48,55.5,55.47,55.49,3952659.0
2023-08-10,55.48,55.5,55.47,55.49,3952659.0
2023-08-11,55.48,55.5,55.47,55.49,3952659.0
2023-08-12,55.48,55.5,55.47,55.49,3952659.0
2023-08-13,55.48,55.5,55.47,55.49,3952659.0
2023-08-14,55.48,55.5,55.47,55.49,3952659.0
2023-08-15,55.48,55.5,55.47,55.49,3952659.0
2023-08-16,55.48,55.5,55.47,55.49,3952659.0
2023-08-17,55.48,55.5,55.47,55.49,3952659.0
2023-08-18,55.48,55.5,55.47,55.49,3952659.0
2023-08-19,55.48,55.5,55.47,55.49,3952659.0
2023-08-20,55.48,55.5,55.47,55.49,3952659.0
2023-08-21,55.48,55.5,55.47,55.49,3952659.0
2023-08-22,55.48,55.5,55.47,55.49,3952659.0
2023-08-23,55.48,55.5,55.47,55.49,3952659.0
2023-08-24,55.48,55.5,55.47,55.49,3952659.0
2023-08-25,55.48,55.5,55.47,55.49,3952659.0
2023-08-26,55.48,55.5,55.47,55.49,3952659.0
2023-08-27,55.48,55.5,55.47,55.49,3952659.0
2023-08-28,55.48,55.5,55.47,55.49,3952659.0
2023-08-29,55.48,55.5,55.47,55.49,3952659.0
2023-08-30,55.48,55.5,55.47,55.49,3952659.0
2023-08-31,55.48,55.5,55.47,55.49,3952659.0
2023-09-01,55.48,55.5,55.47,55.49,3952659.0
2023-09-02,55.48,55.5,55.47,55.49,3952659.0
2023-09-03,55.48,55.5,55.47,55.49,3952659.0
2023-09-04,55.48,55.5,55.47,55.49,3952659.0
2023-09-05,55.48,55.5,55.47,55.49,3952659.0
2023-09-06,55.48,55.5,55.47,55.49,3952659.0
2023-09-07,55.48,55.5,55.47,55.49,3952659.0
2023-09-08,55.48,55.5,55.47,55.49,3952659.0
2023-09-09,55.48,55.5,55.47,55.49,3952659.0
2023-09-10,55.48,55.5,55.47,55.49,3952659.0
2023-09-11,55.48,55.5,55.47,55.49,3952659.0
2023-09-12,55.48,55.5,55.47,55.49,3952659.0
2023-09-13,55.48,55.5,55.47,55.49,3952659.0
2023-09-14,55.48,55.5,55.47,55.49,3952659.0
2023-09-15,55.48,55.5,55.47,55.49,3952659.0
2023-09-16,55.48,55.5,55.47,55.49,3952659.0
2023-09-17,55.48,55.5,55.47,55.49,3952659.0
2023-09-18,55.48,55.5,55.47,55.49,3952659.0
2023-09-19,55.48,55.5,55.47,55.49,3952659.0
2023-09-20,55.48,55.5,55.47,55.49,3952659.0
2023-09-21,55.48,55.5,55.47,55.49,3952659.0
