,URI US Equity
,BEST_EPS
2022-11-11,38.671
2022-11-12,38.671
2022-11-13,38.671
2022-11-14,38.931
2022-11-15,38.746
2022-11-16,39.043
2022-11-17,39.043
2022-11-18,39.043
2022-11-19,39.043
2022-11-20,39.043
2022-11-21,39.043
2022-11-22,39.043
2022-11-23,39.043
2022-11-24,39.043
2022-11-25,39.043
2022-11-26,39.043
2022-11-27,39.043
2022-11-28,39.043
2022-11-29,39.043
2022-11-30,39.043
2022-12-01,39.043
2022-12-02,39.043
2022-12-03,39.043
2022-12-04,39.043
2022-12-05,39.043
2022-12-06,39.043
2022-12-07,39.043
2022-12-08,39.043
2022-12-09,39.043
2022-12-10,39.043
2022-12-11,39.043
2022-12-12,39.043
2022-12-13,39.173
2022-12-14,39.367
2022-12-15,39.367
2022-12-16,39.367
2022-12-17,39.367
2022-12-18,39.293
2022-12-19,39.293
2022-12-20,39.553
2022-12-21,39.553
2022-12-22,39.553
2022-12-23,39.553
2022-12-24,39.553
2022-12-25,39.553
2022-12-26,39.553
2022-12-27,39.553
2022-12-28,39.553
2022-12-29,39.553
2022-12-30,39.553
2022-12-31,39.553
2023-01-01,39.553
2023-01-02,39.553
2023-01-03,39.553
2023-01-04,39.553
2023-01-05,39.553
2023-01-06,39.553
2023-01-07,39.553
2023-01-08,39.686
2023-01-09,39.686
2023-01-10,39.684
2023-01-11,39.684
2023-01-12,39.684
2023-01-13,39.684
2023-01-14,39.684
2023-01-15,39.684
2023-01-16,39.684
2023-01-17,39.711
2023-01-18,39.517
2023-01-19,39.517
2023-01-20,39.517
2023-01-21,39.517
2023-01-22,39.688
2023-01-23,39.687
2023-01-24,39.687
2023-01-25,40.108
2023-01-26,43.097
2023-01-27,43.392
2023-01-28,43.392
2023-01-29,43.374
2023-01-30,43.63
2023-01-31,43.687
2023-02-01,43.687
2023-02-02,43.912
2023-02-03,43.912
2023-02-04,43.912
2023-02-05,43.912
2023-02-06,43.912
2023-02-07,43.912
2023-02-08,43.81
2023-02-09,43.81
2023-02-10,43.81
2023-02-11,43.81
2023-02-12,43.81
2023-02-13,43.937
2023-02-14,43.937
2023-02-15,43.937
2023-02-16,43.937
2023-02-17,43.937
2023-02-18,43.937
2023-02-19,43.937
2023-02-20,43.937
2023-02-21,43.937
2023-02-22,43.937
2023-02-23,43.937
2023-02-24,43.938
2023-02-25,43.938
2023-02-26,43.938
2023-02-27,44.02
2023-02-28,44.02
2023-03-01,44.02
2023-03-02,44.02
2023-03-03,44.02
2023-03-04,44.02
2023-03-05,44.02
2023-03-06,44.02
2023-03-07,44.02
2023-03-08,44.02
2023-03-09,43.919
2023-03-10,43.919
2023-03-11,43.919
2023-03-12,43.919
2023-03-13,43.919
2023-03-14,43.919
2023-03-15,43.919
2023-03-16,43.919
2023-03-17,43.919
2023-03-18,43.919
2023-03-19,43.919
2023-03-20,43.919
2023-03-21,43.919
2023-03-22,43.928
2023-03-23,43.928
2023-03-24,43.928
2023-03-25,43.928
2023-03-26,43.928
2023-03-27,43.928
2023-03-28,43.928
2023-03-29,43.928
2023-03-30,43.928
2023-03-31,43.928
2023-04-01,43.928
2023-04-02,43.928
2023-04-03,43.928
2023-04-04,43.741
2023-04-05,43.741
2023-04-06,43.741
2023-04-07,43.741
2023-04-08,43.741
2023-04-09,43.709
2023-04-10,43.726
2023-04-11,43.763
2023-04-12,43.645
2023-04-13,43.645
2023-04-14,43.645
2023-04-15,43.645
2023-04-16,43.645
2023-04-17,43.645
2023-04-18,43.621
2023-04-19,43.621
2023-04-20,43.589
2023-04-21,43.589
2023-04-22,43.589
2023-04-23,43.589
2023-04-24,43.589
2023-04-25,43.589
2023-04-26,43.534
2023-04-27,42.97
2023-04-28,42.677
2023-04-29,42.627
2023-04-30,42.627
2023-05-01,42.648
2023-05-02,42.648
2023-05-03,42.648
2023-05-04,42.659
2023-05-05,42.659
2023-05-06,42.659
2023-05-07,42.645
2023-05-08,42.645
2023-05-09,42.528
2023-05-10,42.48
2023-05-11,42.48
2023-05-12,42.48
2023-05-13,42.48
