,VRTX US Equity
,BEST_EPS
2023-05-04,15.798
2023-05-05,15.798
2023-05-06,15.798
2023-05-07,15.798
2023-05-08,15.798
2023-05-09,15.805
2023-05-10,15.805
2023-05-11,15.8
2023-05-12,15.8
2023-05-13,15.8
2023-05-14,15.8
2023-05-15,15.893
2023-05-16,15.893
2023-05-17,15.893
2023-05-18,15.893
2023-05-19,15.893
2023-05-20,15.893
2023-05-21,15.893
2023-05-22,15.893
2023-05-23,15.893
2023-05-24,15.893
2023-05-25,15.897
2023-05-26,15.919
2023-05-27,15.919
2023-05-28,15.919
2023-05-29,15.919
2023-05-30,15.928
2023-05-31,15.928
2023-06-01,15.928
2023-06-02,15.928
2023-06-03,15.928
2023-06-04,15.928
2023-06-05,15.928
2023-06-06,15.928
2023-06-07,15.928
2023-06-08,15.918
