,DISH US Equity
,BEST_EPS
2023-05-07,0.595
2023-05-08,0.51
2023-05-09,0.458
2023-05-10,0.458
2023-05-11,0.403
2023-05-12,0.403
2023-05-13,0.403
2023-05-14,0.403
2023-05-15,0.403
2023-05-16,0.403
2023-05-17,0.403
2023-05-18,0.41
2023-05-19,0.405
2023-05-20,0.405
2023-05-21,0.405
2023-05-22,0.377
2023-05-23,0.377
2023-05-24,0.45
2023-05-25,0.45
2023-05-26,0.437
2023-05-27,0.437
2023-05-28,0.437
2023-05-29,0.437
2023-05-30,0.445
2023-05-31,0.445
2023-06-01,0.445
2023-06-02,0.445
2023-06-03,0.445
2023-06-04,0.445
2023-06-05,0.445
2023-06-06,0.445
2023-06-07,0.445
2023-06-08,0.445
