,ULTA US Equity
,BEST_EPS
2021-08-28,19.787
2021-08-29,19.787
2021-08-30,19.787
2021-08-31,19.787
2021-09-01,19.787
2021-09-02,19.787
2021-09-03,19.787
2021-09-04,19.787
2021-09-05,19.787
2021-09-06,19.787
2021-09-07,19.65
2021-09-08,19.65
2021-09-09,19.65
2021-09-10,19.65
2021-09-11,19.65
2021-09-12,19.65
2021-09-13,19.65
2021-09-14,19.65
2021-09-15,19.65
2021-09-16,19.65
2021-09-17,19.65
2021-09-18,19.65
2021-09-19,19.65
2021-09-20,19.65
2021-09-21,19.65
2021-09-22,19.65
2021-09-23,19.793
2021-09-24,19.793
2021-09-25,19.793
2021-09-26,19.793
2021-09-27,19.793
2021-09-28,19.793
2021-09-29,19.793
2021-09-30,19.793
2021-10-01,19.793
2021-10-02,19.793
2021-10-03,19.793
2021-10-04,19.793
2021-10-05,19.793
2021-10-06,19.793
2021-10-07,19.793
2021-10-08,19.793
2021-10-09,19.793
2021-10-10,19.793
2021-10-11,19.793
2021-10-12,19.793
2021-10-13,19.793
2021-10-14,19.205
2021-10-15,19.205
2021-10-16,19.205
2021-10-17,19.205
2021-10-18,19.205
2021-10-19,19.513
2021-10-20,19.733
2021-10-21,19.807
2021-10-22,19.807
2021-10-23,19.807
2021-10-24,19.807
2021-10-25,19.807
2021-10-26,19.807
2021-10-27,19.807
2021-10-28,19.807
2021-10-29,19.807
2021-10-30,19.807
2021-10-31,19.807
2021-11-01,19.807
2021-11-02,19.807
2021-11-03,19.807
2021-11-04,19.807
2021-11-05,19.807
2021-11-06,19.807
2021-11-07,19.807
2021-11-08,19.807
2021-11-09,19.807
2021-11-10,19.807
2021-11-11,19.807
2021-11-12,19.807
2021-11-13,19.807
2021-11-14,19.807
2021-11-15,19.807
2021-11-16,19.807
2021-11-17,20.006
2021-11-18,20.006
2021-11-19,20.006
2021-11-20,20.006
2021-11-21,20.006
2021-11-22,20.006
2021-11-23,20.006
2021-11-24,20.006
2021-11-25,20.006
2021-11-26,20.006
2021-11-27,20.006
2021-11-28,20.006
2021-11-29,20.006
2021-11-30,20.006
2021-12-01,20.006
2021-12-02,20.891
2021-12-03,21.431
2021-12-04,21.431
2021-12-05,21.431
2021-12-06,21.561
2021-12-07,21.561
2021-12-08,21.561
2021-12-09,21.709
2021-12-10,21.709
2021-12-11,21.709
2021-12-12,21.709
2021-12-13,21.709
2021-12-14,21.709
2021-12-15,21.709
2021-12-16,21.709
2021-12-17,21.709
2021-12-18,21.709
2021-12-19,21.709
2021-12-20,21.709
2021-12-21,21.709
2021-12-22,21.709
2021-12-23,21.709
2021-12-24,21.709
2021-12-25,21.709
2021-12-26,21.709
2021-12-27,21.709
2021-12-28,21.709
2021-12-29,21.709
2021-12-30,21.709
2021-12-31,21.709
2022-01-01,21.709
2022-01-02,21.709
2022-01-03,21.709
2022-01-04,21.709
2022-01-05,21.709
2022-01-06,21.709
2022-01-07,21.709
2022-01-08,21.709
2022-01-09,21.709
2022-01-10,21.709
2022-01-11,21.709
2022-01-12,21.709
2022-01-13,22.046
2022-01-14,21.985
2022-01-15,21.985
2022-01-16,21.985
2022-01-17,21.985
2022-01-18,21.985
2022-01-19,21.985
2022-01-20,21.985
2022-01-21,21.985
2022-01-22,21.985
2022-01-23,21.985
2022-01-24,22.007
2022-01-25,22.007
2022-01-26,22.007
2022-01-27,22.007
2022-01-28,22.007
2022-01-29,22.007
2022-01-30,22.007
2022-01-31,22.007
2022-02-01,22.007
2022-02-02,22.007
2022-02-03,22.007
2022-02-04,22.007
2022-02-05,22.007
2022-02-06,22.007
2022-02-07,22.007
2022-02-08,22.007
2022-02-09,22.007
2022-02-10,22.007
2022-02-11,22.007
2022-02-12,22.007
2022-02-13,22.007
2022-02-14,22.007
2022-02-15,22.007
2022-02-16,22.007
2022-02-17,22.007
2022-02-18,22.007
2022-02-19,22.007
2022-02-20,22.007
2022-02-21,22.007
2022-02-22,22.012
2022-02-23,22.012
2022-02-24,22.012
2022-02-25,22.012
2022-02-26,22.012
2022-02-27,21.991
2022-02-28,21.991
2022-03-01,21.991
2022-03-02,21.991
2022-03-03,21.991
2022-03-04,21.991
2022-03-05,21.991
2022-03-06,21.991
2022-03-07,21.991
2022-03-08,21.991
2022-03-09,21.991
2022-03-10,22.17
2022-03-11,22.698
2022-03-12,22.449
2022-03-13,22.449
2022-03-14,22.484
2022-03-15,22.484
2022-03-16,22.484
2022-03-17,22.484
2022-03-18,22.484
2022-03-19,22.484
2022-03-20,22.484
2022-03-21,22.484
2022-03-22,22.484
2022-03-23,22.484
2022-03-24,22.484
2022-03-25,22.484
2022-03-26,22.484
2022-03-27,22.484
2022-03-28,22.484
2022-03-29,22.484
2022-03-30,22.484
2022-03-31,22.484
2022-04-01,22.484
2022-04-02,22.484
2022-04-03,22.484
2022-04-04,22.378
2022-04-05,22.541
2022-04-06,22.541
2022-04-07,22.541
2022-04-08,22.541
2022-04-09,22.541
2022-04-10,22.606
2022-04-11,22.606
2022-04-12,22.606
2022-04-13,22.606
2022-04-14,22.599
2022-04-15,22.599
2022-04-16,22.599
2022-04-17,22.599
2022-04-18,22.599
2022-04-19,22.599
2022-04-20,22.599
2022-04-21,22.599
2022-04-22,22.599
2022-04-23,22.599
2022-04-24,22.599
2022-04-25,22.599
2022-04-26,22.599
2022-04-27,22.599
2022-04-28,22.599
2022-04-29,22.599
2022-04-30,22.599
2022-05-01,22.599
2022-05-02,22.599
2022-05-03,22.599
2022-05-04,22.599
2022-05-05,22.599
2022-05-06,22.599
2022-05-07,22.599
2022-05-08,22.599
2022-05-09,22.594
2022-05-10,22.594
2022-05-11,22.594
2022-05-12,22.594
2022-05-13,22.594
2022-05-14,22.594
2022-05-15,22.594
2022-05-16,22.594
2022-05-17,22.594
2022-05-18,22.567
2022-05-19,22.567
2022-05-20,22.567
2022-05-21,22.566
2022-05-22,22.566
2022-05-23,22.566
2022-05-24,22.566
2022-05-25,22.468
2022-05-26,23.192
2022-05-27,23.619
2022-05-28,23.732
2022-05-29,23.732
2022-05-30,23.732
2022-05-31,23.793
2022-06-01,23.793
2022-06-02,23.793
2022-06-03,23.839
2022-06-04,23.839
2022-06-05,23.839
2022-06-06,23.839
