,ROP US Equity
,BEST_EPS
2023-01-12,16.486
2023-01-13,16.486
2023-01-14,16.486
2023-01-15,16.486
2023-01-16,16.486
2023-01-17,16.524
2023-01-18,16.524
2023-01-19,16.524
2023-01-20,16.524
2023-01-21,16.524
2023-01-22,16.524
2023-01-23,16.524
2023-01-24,16.524
2023-01-25,16.524
2023-01-26,16.524
2023-01-27,17.338
2023-01-28,17.338
2023-01-29,17.361
2023-01-30,17.365
2023-01-31,17.385
2023-02-01,17.385
2023-02-02,17.385
2023-02-03,17.385
2023-02-04,17.385
2023-02-05,17.385
2023-02-06,17.413
2023-02-07,17.413
2023-02-08,17.413
2023-02-09,17.413
2023-02-10,17.406
2023-02-11,17.406
2023-02-12,17.406
2023-02-13,17.406
2023-02-14,17.406
2023-02-15,17.406
2023-02-16,17.406
2023-02-17,17.406
2023-02-18,17.406
2023-02-19,17.406
2023-02-20,17.406
2023-02-21,17.406
2023-02-22,17.406
2023-02-23,17.406
2023-02-24,17.406
2023-02-25,17.406
2023-02-26,17.406
2023-02-27,17.406
2023-02-28,17.406
2023-03-01,17.406
2023-03-02,17.406
2023-03-03,17.406
2023-03-04,17.406
2023-03-05,17.406
2023-03-06,17.406
2023-03-07,17.406
2023-03-08,17.406
2023-03-09,17.406
2023-03-10,17.406
2023-03-11,17.406
2023-03-12,17.406
2023-03-13,17.406
2023-03-14,17.061
2023-03-15,17.061
2023-03-16,17.061
2023-03-17,17.061
2023-03-18,17.061
2023-03-19,17.08
2023-03-20,17.08
2023-03-21,17.08
2023-03-22,17.075
2023-03-23,17.075
2023-03-24,16.984
2023-03-25,16.984
2023-03-26,16.984
2023-03-27,17.055
2023-03-28,17.055
2023-03-29,17.055
2023-03-30,17.055
2023-03-31,17.055
2023-04-01,17.055
2023-04-02,17.055
2023-04-03,17.055
2023-04-04,17.055
2023-04-05,17.057
2023-04-06,17.06
2023-04-07,17.06
2023-04-08,17.06
2023-04-09,17.06
2023-04-10,17.06
2023-04-11,17.363
2023-04-12,17.363
2023-04-13,17.369
2023-04-14,17.369
2023-04-15,17.369
2023-04-16,17.369
2023-04-17,17.369
2023-04-18,17.428
2023-04-19,17.081
2023-04-20,17.089
2023-04-21,17.089
2023-04-22,17.089
2023-04-23,17.089
2023-04-24,17.089
2023-04-25,17.089
2023-04-26,17.089
2023-04-27,17.093
2023-04-28,17.558
2023-04-29,17.558
