,AMGN US Equity
,BEST_EPS
2021-08-27,20.158
2021-08-28,20.158
2021-08-29,20.158
2021-08-30,20.158
2021-08-31,20.158
2021-09-01,20.158
2021-09-02,20.158
2021-09-03,20.158
2021-09-04,20.158
2021-09-05,20.158
2021-09-06,20.158
2021-09-07,20.158
2021-09-08,20.158
2021-09-09,20.158
2021-09-10,20.158
2021-09-11,20.158
2021-09-12,20.158
2021-09-13,20.158
2021-09-14,20.158
2021-09-15,20.158
2021-09-16,20.158
2021-09-17,20.158
2021-09-18,20.158
2021-09-19,20.158
2021-09-20,20.158
2021-09-21,20.164
2021-09-22,20.164
2021-09-23,20.394
2021-09-24,20.394
2021-09-25,20.394
2021-09-26,20.394
2021-09-27,20.329
2021-09-28,20.329
2021-09-29,20.329
2021-09-30,20.329
2021-10-01,20.329
2021-10-02,20.329
2021-10-03,20.329
2021-10-04,20.329
2021-10-05,20.299
2021-10-06,20.299
2021-10-07,20.289
2021-10-08,20.289
2021-10-09,20.289
2021-10-10,20.289
2021-10-11,20.289
2021-10-12,20.288
2021-10-13,20.302
2021-10-14,20.302
2021-10-15,20.312
2021-10-16,20.312
2021-10-17,20.312
2021-10-18,20.347
2021-10-19,20.347
2021-10-20,20.347
2021-10-21,20.347
2021-10-22,20.347
2021-10-23,20.347
2021-10-24,20.347
2021-10-25,20.347
2021-10-26,20.347
2021-10-27,20.347
2021-10-28,20.347
2021-10-29,20.347
2021-10-30,20.347
2021-10-31,20.308
2021-11-01,20.293
2021-11-02,20.525
2021-11-03,20.351
2021-11-04,20.374
2021-11-05,20.374
2021-11-06,20.374
2021-11-07,20.374
2021-11-08,20.374
2021-11-09,20.361
2021-11-10,20.358
2021-11-11,20.358
2021-11-12,20.358
2021-11-13,20.358
2021-11-14,20.358
2021-11-15,20.408
2021-11-16,20.408
2021-11-17,20.408
2021-11-18,20.406
2021-11-19,20.406
2021-11-20,20.406
2021-11-21,20.399
2021-11-22,20.325
2021-11-23,20.325
2021-11-24,20.325
2021-11-25,20.325
2021-11-26,20.325
2021-11-27,20.325
2021-11-28,20.325
2021-11-29,20.325
2021-11-30,20.325
2021-12-01,20.325
2021-12-02,20.325
2021-12-03,20.325
2021-12-04,20.325
2021-12-05,20.325
2021-12-06,20.325
2021-12-07,20.325
2021-12-08,20.262
2021-12-09,20.262
2021-12-10,20.262
2021-12-11,20.262
2021-12-12,20.262
2021-12-13,20.262
2021-12-14,20.262
2021-12-15,20.262
2021-12-16,20.262
2021-12-17,20.262
2021-12-18,20.262
2021-12-19,20.262
2021-12-20,20.247
2021-12-21,20.247
2021-12-22,20.246
2021-12-23,20.246
2021-12-24,20.246
2021-12-25,20.246
2021-12-26,20.246
2021-12-27,20.246
2021-12-28,20.246
2021-12-29,20.246
2021-12-30,20.246
2021-12-31,20.246
2022-01-01,20.246
2022-01-02,20.238
2022-01-03,20.263
2022-01-04,20.263
2022-01-05,20.263
2022-01-06,20.27
2022-01-07,20.269
2022-01-08,20.269
2022-01-09,20.269
2022-01-10,20.269
2022-01-11,20.269
2022-01-12,20.269
2022-01-13,20.269
2022-01-14,20.269
2022-01-15,20.269
2022-01-16,20.269
2022-01-17,20.269
2022-01-18,20.269
2022-01-19,20.269
2022-01-20,20.312
2022-01-21,20.312
2022-01-22,20.312
2022-01-23,20.312
2022-01-24,20.317
2022-01-25,20.317
2022-01-26,20.33
2022-01-27,20.337
2022-01-28,20.387
2022-01-29,20.387
2022-01-30,20.387
2022-01-31,20.387
2022-02-01,20.346
2022-02-02,20.346
2022-02-03,20.346
2022-02-04,20.346
2022-02-05,20.346
2022-02-06,20.346
2022-02-07,20.403
2022-02-08,20.565
2022-02-09,20.915
2022-02-10,20.934
2022-02-11,20.934
2022-02-12,20.934
2022-02-13,20.934
2022-02-14,20.962
2022-02-15,20.971
2022-02-16,20.971
2022-02-17,20.971
2022-02-18,20.989
2022-02-19,20.989
2022-02-20,20.989
2022-02-21,20.989
2022-02-22,20.989
2022-02-23,20.99
2022-02-24,20.99
2022-02-25,20.99
2022-02-26,20.99
2022-02-27,20.949
2022-02-28,20.909
2022-03-01,20.909
2022-03-02,20.909
2022-03-03,20.909
2022-03-04,20.909
2022-03-05,20.909
2022-03-06,20.909
2022-03-07,20.909
2022-03-08,20.909
2022-03-09,20.909
2022-03-10,20.909
2022-03-11,20.909
2022-03-12,20.909
2022-03-13,20.909
2022-03-14,20.909
2022-03-15,20.909
2022-03-16,20.909
2022-03-17,20.909
2022-03-18,20.909
2022-03-19,20.909
2022-03-20,20.909
2022-03-21,20.909
2022-03-22,20.922
2022-03-23,20.922
2022-03-24,20.922
2022-03-25,20.922
2022-03-26,20.922
2022-03-27,20.922
2022-03-28,20.922
2022-03-29,20.922
2022-03-30,20.922
2022-03-31,20.825
2022-04-01,20.799
2022-04-02,20.799
2022-04-03,20.799
2022-04-04,20.774
2022-04-05,20.774
2022-04-06,20.774
2022-04-07,20.774
2022-04-08,20.774
2022-04-09,20.774
2022-04-10,20.774
2022-04-11,20.774
2022-04-12,20.965
2022-04-13,20.965
2022-04-14,20.965
2022-04-15,20.965
2022-04-16,20.965
2022-04-17,20.922
2022-04-18,20.922
2022-04-19,20.922
2022-04-20,20.952
2022-04-21,20.952
2022-04-22,20.96
2022-04-23,20.96
2022-04-24,20.96
2022-04-25,20.967
2022-04-26,20.961
2022-04-27,20.766
2022-04-28,20.542
2022-04-29,20.542
2022-04-30,20.542
2022-05-01,20.563
2022-05-02,20.563
2022-05-03,20.563
2022-05-04,20.563
2022-05-05,20.558
2022-05-06,20.582
2022-05-07,20.582
2022-05-08,20.582
2022-05-09,20.571
2022-05-10,20.571
