,ATO US Equity
,BEST_EPS
2023-04-01,6.404
2023-04-02,6.404
2023-04-03,6.404
2023-04-04,6.404
2023-04-05,6.404
2023-04-06,6.404
2023-04-07,6.404
2023-04-08,6.404
2023-04-09,6.404
2023-04-10,6.404
2023-04-11,6.404
2023-04-12,6.404
2023-04-13,6.404
2023-04-14,6.404
2023-04-15,6.404
2023-04-16,6.404
2023-04-17,6.404
2023-04-18,6.404
2023-04-19,6.404
2023-04-20,6.404
2023-04-21,6.404
2023-04-22,6.404
2023-04-23,6.404
2023-04-24,6.404
2023-04-25,6.404
2023-04-26,6.404
2023-04-27,6.404
2023-04-28,6.404
2023-04-29,6.404
2023-04-30,6.404
2023-05-01,6.404
2023-05-02,6.404
2023-05-03,6.409
2023-05-04,6.409
2023-05-05,6.409
2023-05-06,6.409
2023-05-07,6.409
2023-05-08,6.409
2023-05-09,6.409
2023-05-10,6.409
2023-05-11,6.409
2023-05-12,6.409
2023-05-13,6.409
2023-05-14,6.409
2023-05-15,6.409
2023-05-16,6.409
2023-05-17,6.409
2023-05-18,6.413
2023-05-19,6.413
2023-05-20,6.413
2023-05-21,6.413
2023-05-22,6.414
2023-05-23,6.414
2023-05-24,6.414
2023-05-25,6.414
2023-05-26,6.414
2023-05-27,6.414
2023-05-28,6.414
2023-05-29,6.414
2023-05-30,6.414
2023-05-31,6.414
2023-06-01,6.414
2023-06-02,6.414
2023-06-03,6.414
2023-06-04,6.414
2023-06-05,6.414
2023-06-06,6.414
2023-06-07,6.414
2023-06-08,6.414
2023-06-09,6.414
2023-06-10,6.414
2023-06-11,6.414
2023-06-12,6.414
2023-06-13,6.414
2023-06-14,6.427
2023-06-15,6.427
2023-06-16,6.427
2023-06-17,6.427
2023-06-18,6.427
2023-06-19,6.427
2023-06-20,6.443
2023-06-21,6.443
2023-06-22,6.443
2023-06-23,6.443
2023-06-24,6.443
2023-06-25,6.443
2023-06-26,6.443
2023-06-27,6.443
2023-06-28,6.443
2023-06-29,6.443
2023-06-30,6.443
2023-07-01,6.443
2023-07-02,6.443
2023-07-03,6.443
2023-07-04,6.443
2023-07-05,6.443
2023-07-06,6.443
2023-07-07,6.443
2023-07-08,6.443
2023-07-09,6.443
