,6758 JP Equity,6758 JP Equity,6758 JP Equity,6758 JP Equity,6758 JP Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-11-10,2453.4,2475.0,2395.9,2471.4,6011400.0
2010-11-11,2484.9,2489.4,2467.8,2480.4,4694000.0
2010-11-12,2458.8,2476.8,2442.6,2443.5,4127200.0
2010-11-13,2458.8,2476.8,2442.6,2443.5,4127200.0
2010-11-14,2458.8,2476.8,2442.6,2443.5,4127200.0
2010-11-15,2463.3,2511.9,2449.8,2508.3,7047200.0
2010-11-16,2552.3,2578.4,2521.8,2554.1,13798400.0
2010-11-17,2519.1,2594.6,2518.2,2591.0,10186300.0
2010-11-18,2564.0,2648.5,2564.0,2647.6,12220000.0
2010-11-19,2663.8,2674.6,2617.1,2626.9,9786500.0
2010-11-20,2663.8,2674.6,2617.1,2626.9,9786500.0
2010-11-21,2663.8,2674.6,2617.1,2626.9,9786500.0
2010-11-22,2672.8,2674.6,2635.9,2635.9,5644500.0
2010-11-23,2672.8,2674.6,2635.9,2635.9,5644500.0
2010-11-24,2554.1,2601.8,2549.6,2581.1,9501900.0
2010-11-25,2638.6,2644.0,2600.9,2601.8,8028100.0
2010-11-26,2619.8,2638.6,2596.4,2597.3,5978400.0
2010-11-27,2619.8,2638.6,2596.4,2597.3,5978400.0
2010-11-28,2619.8,2638.6,2596.4,2597.3,5978400.0
2010-11-29,2635.9,2677.3,2622.4,2670.1,10303700.0
2010-11-30,2659.3,2690.8,2639.5,2671.0,13222100.0
2010-12-01,2659.3,2710.6,2658.4,2710.6,12649600.0
2010-12-02,2778.0,2778.0,2724.0,2733.0,7711800.0
2010-12-03,2742.0,2751.0,2701.6,2715.0,6197000.0
2010-12-04,2742.0,2751.0,2701.6,2715.0,6197000.0
2010-12-05,2742.0,2751.0,2701.6,2715.0,6197000.0
2010-12-06,2701.6,2724.0,2685.4,2715.0,4200100.0
2010-12-07,2715.0,2719.5,2676.4,2682.7,8672100.0
2010-12-08,2701.6,2733.0,2692.6,2733.0,7030800.0
2010-12-09,2737.5,2746.5,2719.5,2733.0,5106600.0
2010-12-10,2742.0,2742.0,2688.1,2690.8,10728900.0
2010-12-11,2742.0,2742.0,2688.1,2690.8,10728900.0
2010-12-12,2742.0,2742.0,2688.1,2690.8,10728900.0
2010-12-13,2697.1,2710.6,2683.6,2701.6,4729400.0
2010-12-14,2680.0,2694.4,2671.0,2686.3,5950100.0
2010-12-15,2689.0,2710.6,2671.9,2697.1,6436700.0
2010-12-16,2686.3,2701.6,2675.5,2675.5,6370400.0
2010-12-17,2672.8,2688.1,2653.0,2664.7,5201200.0
2010-12-18,2672.8,2688.1,2653.0,2664.7,5201200.0
2010-12-19,2672.8,2688.1,2653.0,2664.7,5201200.0
2010-12-20,2656.6,2673.7,2618.9,2634.1,4636600.0
2010-12-21,2652.1,2706.1,2651.2,2706.1,7658400.0
2010-12-22,2695.3,2701.6,2657.5,2670.1,7012100.0
2010-12-23,2695.3,2701.6,2657.5,2670.1,7012100.0
2010-12-24,2656.6,2682.7,2654.8,2660.2,2941700.0
2010-12-25,2656.6,2682.7,2654.8,2660.2,2941700.0
