,NUE US Equity
,RETURN_COM_EQY
2022-08-12,61.9842
2022-08-13,61.9842
2022-08-14,61.9842
2022-08-15,61.9842
2022-08-16,61.9842
2022-08-17,61.9842
2022-08-18,61.9842
2022-08-19,61.9842
2022-08-20,61.9842
2022-08-21,61.9842
2022-08-22,61.9842
2022-08-23,61.9842
2022-08-24,61.9842
2022-08-25,61.9842
2022-08-26,61.9842
2022-08-27,61.9842
2022-08-28,61.9842
2022-08-29,61.9842
2022-08-30,61.9842
2022-08-31,61.9842
2022-09-01,61.9842
2022-09-02,61.9842
2022-09-03,61.9842
2022-09-04,61.9842
2022-09-05,61.9842
2022-09-06,61.9842
2022-09-07,61.9842
2022-09-08,61.9842
2022-09-09,61.9842
2022-09-10,61.9842
2022-09-11,61.9842
2022-09-12,61.9842
2022-09-13,61.9842
2022-09-14,61.9842
2022-09-15,61.9842
2022-09-16,61.9842
2022-09-17,61.9842
2022-09-18,61.9842
2022-09-19,61.9842
2022-09-20,61.9842
2022-09-21,61.9842
2022-09-22,61.9842
2022-09-23,61.9842
2022-09-24,61.9842
2022-09-25,61.9842
2022-09-26,61.9842
2022-09-27,61.9842
2022-09-28,61.9842
2022-09-29,61.9842
2022-09-30,61.9842
2022-10-01,55.1891
2022-10-02,55.1891
2022-10-03,55.1891
2022-10-04,55.1891
2022-10-05,55.1891
2022-10-06,55.1891
2022-10-07,55.1891
2022-10-08,55.1891
2022-10-09,55.1891
2022-10-10,55.1891
2022-10-11,55.1891
2022-10-12,55.1891
2022-10-13,55.1891
2022-10-14,55.1891
2022-10-15,55.1891
2022-10-16,55.1891
2022-10-17,55.1891
2022-10-18,55.1891
2022-10-19,55.1891
2022-10-20,55.1891
2022-10-21,55.1891
2022-10-22,55.1891
2022-10-23,55.1891
2022-10-24,55.1891
2022-10-25,55.1891
2022-10-26,55.1891
2022-10-27,55.1891
2022-10-28,55.1891
2022-10-29,55.1891
2022-10-30,55.1891
2022-10-31,55.1891
2022-11-01,55.1891
2022-11-02,55.1891
2022-11-03,55.1891
2022-11-04,55.1891
2022-11-05,55.1891
2022-11-06,55.1891
2022-11-07,55.1891
2022-11-08,55.1891
2022-11-09,55.1891
2022-11-10,55.1891
2022-11-11,55.1891
2022-11-12,55.1891
2022-11-13,55.1891
2022-11-14,55.1891
2022-11-15,55.1891
2022-11-16,55.1891
2022-11-17,55.1891
2022-11-18,55.1891
2022-11-19,55.1891
2022-11-20,55.1891
2022-11-21,55.1891
2022-11-22,55.1891
2022-11-23,55.1891
2022-11-24,55.1891
2022-11-25,55.1891
2022-11-26,55.1891
2022-11-27,55.1891
2022-11-28,55.1891
2022-11-29,55.1891
