,ITW US Equity
,RETURN_COM_EQY
2023-03-30,90.3918
2023-03-31,92.3814
2023-04-01,92.3814
2023-04-02,92.3814
2023-04-03,92.3814
2023-04-04,92.3814
2023-04-05,92.3814
2023-04-06,92.3814
2023-04-07,92.3814
2023-04-08,92.3814
2023-04-09,92.3814
2023-04-10,92.3814
2023-04-11,92.3814
2023-04-12,92.3814
2023-04-13,92.3814
2023-04-14,92.3814
2023-04-15,92.3814
2023-04-16,92.3814
2023-04-17,92.3814
2023-04-18,92.3814
2023-04-19,92.3814
2023-04-20,92.3814
2023-04-21,92.3814
2023-04-22,92.3814
2023-04-23,92.3814
2023-04-24,92.3814
2023-04-25,92.3814
2023-04-26,92.3814
2023-04-27,92.3814
2023-04-28,92.3814
2023-04-29,92.3814
2023-04-30,92.3814
2023-05-01,92.3814
2023-05-02,92.3814
2023-05-03,92.3814
2023-05-04,92.3814
2023-05-05,92.3814
2023-05-06,92.3814
2023-05-07,92.3814
2023-05-08,92.3814
2023-05-09,92.3814
2023-05-10,92.3814
2023-05-11,92.3814
2023-05-12,92.3814
2023-05-13,92.3814
2023-05-14,92.3814
2023-05-15,92.3814
2023-05-16,92.3814
2023-05-17,92.3814
2023-05-18,92.3814
2023-05-19,92.3814
2023-05-20,92.3814
2023-05-21,92.3814
2023-05-22,92.3814
2023-05-23,92.3814
2023-05-24,92.3814
2023-05-25,92.3814
2023-05-26,92.3814
2023-05-27,92.3814
2023-05-28,92.3814
2023-05-29,92.3814
2023-05-30,92.3814
2023-05-31,92.3814
2023-06-01,92.3814
2023-06-02,92.3814
2023-06-03,92.3814
2023-06-04,92.3814
2023-06-05,92.3814
2023-06-06,92.3814
2023-06-07,92.3814
2023-06-08,92.3814
2023-06-09,92.3814
2023-06-10,92.3814
2023-06-11,92.3814
2023-06-12,92.3814
2023-06-13,92.3814
2023-06-14,92.3814
2023-06-15,92.3814
2023-06-16,92.3814
2023-06-17,92.3814
2023-06-18,92.3814
2023-06-19,92.3814
2023-06-20,92.3814
2023-06-21,92.3814
2023-06-22,92.3814
2023-06-23,92.3814
2023-06-24,92.3814
2023-06-25,92.3814
2023-06-26,92.3814
2023-06-27,92.3814
2023-06-28,92.3814
2023-06-29,92.3814
2023-06-30,95.8739
2023-07-01,95.8739
2023-07-02,95.8739
2023-07-03,95.8739
2023-07-04,95.8739
2023-07-05,95.8739
2023-07-06,95.8739
2023-07-07,95.8739
2023-07-08,95.8739
2023-07-09,95.8739
2023-07-10,95.8739
2023-07-11,95.8739
2023-07-12,95.8739
2023-07-13,95.8739
2023-07-14,95.8739
2023-07-15,95.8739
2023-07-16,95.8739
2023-07-17,95.8739
2023-07-18,95.8739
2023-07-19,95.8739
2023-07-20,95.8739
2023-07-21,95.8739
2023-07-22,95.8739
2023-07-23,95.8739
2023-07-24,95.8739
2023-07-25,95.8739
2023-07-26,95.8739
2023-07-27,95.8739
2023-07-28,95.8739
2023-07-29,95.8739
2023-07-30,95.8739
2023-07-31,95.8739
2023-08-01,95.8739
2023-08-02,95.8739
2023-08-03,95.8739
2023-08-04,95.8739
2023-08-05,95.8739
2023-08-06,95.8739
2023-08-07,95.8739
2023-08-08,95.8739
2023-08-09,95.8739
2023-08-10,95.8739
2023-08-11,95.8739
2023-08-12,95.8739
2023-08-13,95.8739
2023-08-14,95.8739
2023-08-15,95.8739
2023-08-16,95.8739
2023-08-17,95.8739
2023-08-18,95.8739
2023-08-19,95.8739
2023-08-20,95.8739
2023-08-21,95.8739
2023-08-22,95.8739
2023-08-23,95.8739
2023-08-24,95.8739
2023-08-25,95.8739
2023-08-26,95.8739
2023-08-27,95.8739
2023-08-28,95.8739
2023-08-29,95.8739
2023-08-30,95.8739
2023-08-31,95.8739
2023-09-01,95.8739
2023-09-02,95.8739
2023-09-03,95.8739
2023-09-04,95.8739
2023-09-05,95.8739
2023-09-06,95.8739
2023-09-07,95.8739
2023-09-08,95.8739
2023-09-09,95.8739
2023-09-10,95.8739
2023-09-11,95.8739
2023-09-12,95.8739
2023-09-13,95.8739
2023-09-14,95.8739
2023-09-15,95.8739
2023-09-16,95.8739
2023-09-17,95.8739
2023-09-18,95.8739
2023-09-19,95.8739
2023-09-20,95.8739
2023-09-21,95.8739
2023-09-22,95.8739
2023-09-23,95.8739
2023-09-24,95.8739
2023-09-25,95.8739
2023-09-26,95.8739
2023-09-27,95.8739
2023-09-28,95.8739
2023-09-29,95.8739
2023-09-30,104.621
2023-10-01,104.621
2023-10-02,104.621
2023-10-03,104.621
2023-10-04,104.621
2023-10-05,104.621
2023-10-06,104.621
2023-10-07,104.621
2023-10-08,104.621
2023-10-09,104.621
2023-10-10,104.621
2023-10-11,104.621
2023-10-12,104.621
2023-10-13,104.621
2023-10-14,104.621
2023-10-15,104.621
2023-10-16,104.621
2023-10-17,104.621
2023-10-18,104.621
2023-10-19,104.621
2023-10-20,104.621
2023-10-21,104.621
2023-10-22,104.621
2023-10-23,104.621
2023-10-24,104.621
2023-10-25,104.621
2023-10-26,104.621
2023-10-27,104.621
