,CLB US Equity
,RETURN_COM_EQY
2022-02-13,17.3073
2022-02-14,17.3073
2022-02-15,17.3073
2022-02-16,17.3073
2022-02-17,17.3073
2022-02-18,17.3073
2022-02-19,17.3073
2022-02-20,17.3073
2022-02-21,17.3073
2022-02-22,17.3073
2022-02-23,17.3073
2022-02-24,17.3073
2022-02-25,17.3073
2022-02-26,17.3073
2022-02-27,17.3073
2022-02-28,17.3073
2022-03-01,17.3073
2022-03-02,17.3073
2022-03-03,17.3073
2022-03-04,17.3073
2022-03-05,17.3073
2022-03-06,17.3073
2022-03-07,17.3073
2022-03-08,17.3073
2022-03-09,17.3073
2022-03-10,17.3073
2022-03-11,17.3073
2022-03-12,17.3073
2022-03-13,17.3073
2022-03-14,17.3073
2022-03-15,17.3073
2022-03-16,17.3073
2022-03-17,17.3073
2022-03-18,17.3073
2022-03-19,17.3073
2022-03-20,17.3073
2022-03-21,17.3073
2022-03-22,17.3073
2022-03-23,17.3073
2022-03-24,17.3073
2022-03-25,17.3073
2022-03-26,17.3073
2022-03-27,17.3073
2022-03-28,17.3073
2022-03-29,17.3073
2022-03-30,17.3073
2022-03-31,6.4109
2022-04-01,6.4109
2022-04-02,6.4109
2022-04-03,6.4109
2022-04-04,6.4109
2022-04-05,6.4109
2022-04-06,6.4109
2022-04-07,6.4109
2022-04-08,6.4109
2022-04-09,6.4109
2022-04-10,6.4109
2022-04-11,6.4109
2022-04-12,6.4109
2022-04-13,6.4109
2022-04-14,6.4109
2022-04-15,6.4109
2022-04-16,6.4109
2022-04-17,6.4109
2022-04-18,6.4109
2022-04-19,6.4109
2022-04-20,6.4109
2022-04-21,6.4109
2022-04-22,6.4109
2022-04-23,6.4109
2022-04-24,6.4109
2022-04-25,6.4109
2022-04-26,6.4109
2022-04-27,6.4109
2022-04-28,6.4109
2022-04-29,6.4109
2022-04-30,6.4109
2022-05-01,6.4109
2022-05-02,6.4109
2022-05-03,6.4109
2022-05-04,6.4109
2022-05-05,6.4109
2022-05-06,6.4109
2022-05-07,6.4109
2022-05-08,6.4109
2022-05-09,6.4109
2022-05-10,6.4109
2022-05-11,6.4109
2022-05-12,6.4109
2022-05-13,6.4109
2022-05-14,6.4109
2022-05-15,6.4109
2022-05-16,6.4109
2022-05-17,6.4109
2022-05-18,6.4109
2022-05-19,6.4109
2022-05-20,6.4109
2022-05-21,6.4109
2022-05-22,6.4109
2022-05-23,6.4109
2022-05-24,6.4109
2022-05-25,6.4109
2022-05-26,6.4109
2022-05-27,6.4109
2022-05-28,6.4109
2022-05-29,6.4109
2022-05-30,6.4109
2022-05-31,6.4109
2022-06-01,6.4109
2022-06-02,6.4109
2022-06-03,6.4109
2022-06-04,6.4109
2022-06-05,6.4109
2022-06-06,6.4109
2022-06-07,6.4109
2022-06-08,6.4109
2022-06-09,6.4109
2022-06-10,6.4109
2022-06-11,6.4109
2022-06-12,6.4109
2022-06-13,6.4109
2022-06-14,6.4109
2022-06-15,6.4109
2022-06-16,6.4109
2022-06-17,6.4109
2022-06-18,6.4109
2022-06-19,6.4109
2022-06-20,6.4109
2022-06-21,6.4109
2022-06-22,6.4109
2022-06-23,6.4109
2022-06-24,6.4109
2022-06-25,6.4109
2022-06-26,6.4109
2022-06-27,6.4109
2022-06-28,6.4109
2022-06-29,6.4109
2022-06-30,5.4768
2022-07-01,5.4768
2022-07-02,5.4768
2022-07-03,5.4768
2022-07-04,5.4768
2022-07-05,5.4768
2022-07-06,5.4768
2022-07-07,5.4768
2022-07-08,5.4768
2022-07-09,5.4768
2022-07-10,5.4768
2022-07-11,5.4768
2022-07-12,5.4768
2022-07-13,5.4768
2022-07-14,5.4768
2022-07-15,5.4768
2022-07-16,5.4768
2022-07-17,5.4768
2022-07-18,5.4768
2022-07-19,5.4768
2022-07-20,5.4768
2022-07-21,5.4768
2022-07-22,5.4768
2022-07-23,5.4768
2022-07-24,5.4768
2022-07-25,5.4768
2022-07-26,5.4768
2022-07-27,5.4768
2022-07-28,5.4768
2022-07-29,5.4768
2022-07-30,5.4768
2022-07-31,5.4768
2022-08-01,5.4768
2022-08-02,5.4768
2022-08-03,5.4768
2022-08-04,5.4768
2022-08-05,5.4768
2022-08-06,5.4768
2022-08-07,5.4768
2022-08-08,5.4768
2022-08-09,5.4768
2022-08-10,5.4768
2022-08-11,5.4768
2022-08-12,5.4768
2022-08-13,5.4768
2022-08-14,5.4768
2022-08-15,5.4768
2022-08-16,5.4768
2022-08-17,5.4768
2022-08-18,5.4768
2022-08-19,5.4768
2022-08-20,5.4768
2022-08-21,5.4768
2022-08-22,5.4768
2022-08-23,5.4768
2022-08-24,5.4768
2022-08-25,5.4768
2022-08-26,5.4768
2022-08-27,5.4768
2022-08-28,5.4768
2022-08-29,5.4768
2022-08-30,5.4768
2022-08-31,5.4768
2022-09-01,5.4768
2022-09-02,5.4768
2022-09-03,5.4768
2022-09-04,5.4768
2022-09-05,5.4768
2022-09-06,5.4768
2022-09-07,5.4768
2022-09-08,5.4768
2022-09-09,5.4768
2022-09-10,5.4768
2022-09-11,5.4768
2022-09-12,5.4768
2022-09-13,5.4768
2022-09-14,5.4768
2022-09-15,5.4768
2022-09-16,5.4768
2022-09-17,5.4768
2022-09-18,5.4768
2022-09-19,5.4768
2022-09-20,5.4768
2022-09-21,5.4768
2022-09-22,5.4768
2022-09-23,5.4768
2022-09-24,5.4768
2022-09-25,5.4768
2022-09-26,5.4768
2022-09-27,5.4768
2022-09-28,5.4768
2022-09-29,5.4768
2022-09-30,9.1854
2022-10-01,9.1854
2022-10-02,9.1854
2022-10-03,9.1854
2022-10-04,9.1854
2022-10-05,9.1854
2022-10-06,9.1854
2022-10-07,9.1854
2022-10-08,9.1854
2022-10-09,9.1854
2022-10-10,9.1854
2022-10-11,9.1854
2022-10-12,9.1854
2022-10-13,9.1854
2022-10-14,9.1854
2022-10-15,9.1854
2022-10-16,9.1854
2022-10-17,9.1854
2022-10-18,9.1854
2022-10-19,9.1854
2022-10-20,9.1854
2022-10-21,9.1854
2022-10-22,9.1854
2022-10-23,9.1854
2022-10-24,9.1854
2022-10-25,9.1854
2022-10-26,9.1854
2022-10-27,9.1854
2022-10-28,9.1854
2022-10-29,9.1854
2022-10-30,9.1854
2022-10-31,9.1854
2022-11-01,9.1854
2022-11-02,9.1854
2022-11-03,9.1854
2022-11-04,9.1854
2022-11-05,9.1854
2022-11-06,9.1854
2022-11-07,9.1854
2022-11-08,9.1854
2022-11-09,9.1854
2022-11-10,9.1854
2022-11-11,9.1854
2022-11-12,9.1854
2022-11-13,9.1854
2022-11-14,9.1854
2022-11-15,9.1854
2022-11-16,9.1854
2022-11-17,9.1854
2022-11-18,9.1854
2022-11-19,9.1854
2022-11-20,9.1854
2022-11-21,9.1854
2022-11-22,9.1854
2022-11-23,9.1854
2022-11-24,9.1854
2022-11-25,9.1854
2022-11-26,9.1854
