,COP US Equity
,RETURN_COM_EQY
2021-12-25,12.497
2021-12-26,12.497
2021-12-27,12.497
2021-12-28,12.497
2021-12-29,12.497
2021-12-30,12.497
2021-12-31,21.471
2022-01-01,21.471
2022-01-02,21.471
2022-01-03,21.471
2022-01-04,21.471
2022-01-05,21.471
2022-01-06,21.471
2022-01-07,21.471
2022-01-08,21.471
2022-01-09,21.471
2022-01-10,21.471
2022-01-11,21.471
2022-01-12,21.471
2022-01-13,21.471
2022-01-14,21.471
2022-01-15,21.471
2022-01-16,21.471
2022-01-17,21.471
2022-01-18,21.471
2022-01-19,21.471
2022-01-20,21.471
2022-01-21,21.471
2022-01-22,21.471
2022-01-23,21.471
2022-01-24,21.471
2022-01-25,21.471
2022-01-26,21.471
2022-01-27,21.471
2022-01-28,21.471
2022-01-29,21.471
2022-01-30,21.471
2022-01-31,21.471
2022-02-01,21.471
2022-02-02,21.471
2022-02-03,21.471
2022-02-04,21.471
2022-02-05,21.471
2022-02-06,21.471
2022-02-07,21.471
2022-02-08,21.471
2022-02-09,21.471
2022-02-10,21.471
2022-02-11,21.471
2022-02-12,21.471
2022-02-13,21.471
2022-02-14,21.471
2022-02-15,21.471
2022-02-16,21.471
2022-02-17,21.471
2022-02-18,21.471
2022-02-19,21.471
2022-02-20,21.471
2022-02-21,21.471
2022-02-22,21.471
2022-02-23,21.471
2022-02-24,21.471
2022-02-25,21.471
2022-02-26,21.471
2022-02-27,21.471
2022-02-28,21.471
2022-03-01,21.471
2022-03-02,21.471
2022-03-03,21.471
2022-03-04,21.471
2022-03-05,21.471
2022-03-06,21.471
2022-03-07,21.471
2022-03-08,21.471
2022-03-09,21.471
2022-03-10,21.471
2022-03-11,21.471
2022-03-12,21.471
2022-03-13,21.471
2022-03-14,21.471
2022-03-15,21.471
2022-03-16,21.471
2022-03-17,21.471
2022-03-18,21.471
2022-03-19,21.471
2022-03-20,21.471
2022-03-21,21.471
2022-03-22,21.471
2022-03-23,21.471
2022-03-24,21.471
2022-03-25,21.471
2022-03-26,21.471
2022-03-27,21.471
2022-03-28,21.471
2022-03-29,21.471
2022-03-30,21.471
2022-03-31,27.835
2022-04-01,27.835
2022-04-02,27.835
2022-04-03,27.835
2022-04-04,27.835
2022-04-05,27.835
2022-04-06,27.835
2022-04-07,27.835
2022-04-08,27.835
2022-04-09,27.835
2022-04-10,27.835
2022-04-11,27.835
2022-04-12,27.835
2022-04-13,27.835
2022-04-14,27.835
2022-04-15,27.835
2022-04-16,27.835
2022-04-17,27.835
2022-04-18,27.835
2022-04-19,27.835
2022-04-20,27.835
2022-04-21,27.835
2022-04-22,27.835
2022-04-23,27.835
2022-04-24,27.835
2022-04-25,27.835
2022-04-26,27.835
2022-04-27,27.835
2022-04-28,27.835
2022-04-29,27.835
2022-04-30,27.835
2022-05-01,27.835
2022-05-02,27.835
2022-05-03,27.835
2022-05-04,27.835
2022-05-05,27.835
2022-05-06,27.835
2022-05-07,27.835
2022-05-08,27.835
2022-05-09,27.835
2022-05-10,27.835
2022-05-11,27.835
2022-05-12,27.835
2022-05-13,27.835
2022-05-14,27.835
2022-05-15,27.835
2022-05-16,27.835
2022-05-17,27.835
2022-05-18,27.835
2022-05-19,27.835
2022-05-20,27.835
2022-05-21,27.835
