,UNP US Equity
,RETURN_COM_EQY
2022-10-11,55.113
2022-10-12,55.113
2022-10-13,55.113
2022-10-14,55.113
2022-10-15,55.113
2022-10-16,55.113
2022-10-17,55.113
2022-10-18,55.113
2022-10-19,55.113
2022-10-20,55.113
2022-10-21,55.113
2022-10-22,55.113
2022-10-23,55.113
2022-10-24,55.113
2022-10-25,55.113
2022-10-26,55.113
2022-10-27,55.113
2022-10-28,55.113
2022-10-29,55.113
2022-10-30,55.113
2022-10-31,55.113
2022-11-01,55.113
2022-11-02,55.113
2022-11-03,55.113
2022-11-04,55.113
2022-11-05,55.113
2022-11-06,55.113
2022-11-07,55.113
2022-11-08,55.113
2022-11-09,55.113
2022-11-10,55.113
2022-11-11,55.113
2022-11-12,55.113
2022-11-13,55.113
2022-11-14,55.113
2022-11-15,55.113
2022-11-16,55.113
2022-11-17,55.113
2022-11-18,55.113
2022-11-19,55.113
2022-11-20,55.113
2022-11-21,55.113
2022-11-22,55.113
2022-11-23,55.113
2022-11-24,55.113
2022-11-25,55.113
2022-11-26,55.113
2022-11-27,55.113
2022-11-28,55.113
2022-11-29,55.113
2022-11-30,55.113
2022-12-01,55.113
2022-12-02,55.113
2022-12-03,55.113
2022-12-04,55.113
2022-12-05,55.113
2022-12-06,55.113
2022-12-07,55.113
2022-12-08,55.113
2022-12-09,55.113
2022-12-10,55.113
2022-12-11,55.113
2022-12-12,55.113
2022-12-13,55.113
2022-12-14,55.113
2022-12-15,55.113
2022-12-16,55.113
2022-12-17,55.113
2022-12-18,55.113
2022-12-19,55.113
2022-12-20,55.113
2022-12-21,55.113
2022-12-22,55.113
2022-12-23,55.113
2022-12-24,55.113
2022-12-25,55.113
2022-12-26,55.113
2022-12-27,55.113
2022-12-28,55.113
2022-12-29,55.113
2022-12-30,55.113
2022-12-31,53.1682
2023-01-01,53.1682
2023-01-02,53.1682
2023-01-03,53.1682
2023-01-04,53.1682
2023-01-05,53.1682
2023-01-06,53.1682
2023-01-07,53.1682
2023-01-08,53.1682
2023-01-09,53.1682
2023-01-10,53.1682
2023-01-11,53.1682
2023-01-12,53.1682
2023-01-13,53.1682
2023-01-14,53.1682
2023-01-15,53.1682
2023-01-16,53.1682
2023-01-17,53.1682
2023-01-18,53.1682
2023-01-19,53.1682
2023-01-20,53.1682
2023-01-21,53.1682
2023-01-22,53.1682
2023-01-23,53.1682
2023-01-24,53.1682
2023-01-25,53.1682
2023-01-26,53.1682
2023-01-27,53.1682
2023-01-28,53.1682
2023-01-29,53.1682
2023-01-30,53.1682
2023-01-31,53.1682
2023-02-01,53.1682
2023-02-02,53.1682
2023-02-03,53.1682
2023-02-04,53.1682
2023-02-05,53.1682
2023-02-06,53.1682
2023-02-07,53.1682
2023-02-08,53.1682
2023-02-09,53.1682
2023-02-10,53.1682
2023-02-11,53.1682
2023-02-12,53.1682
2023-02-13,53.1682
2023-02-14,53.1682
2023-02-15,53.1682
2023-02-16,53.1682
2023-02-17,53.1682
2023-02-18,53.1682
2023-02-19,53.1682
2023-02-20,53.1682
2023-02-21,53.1682
2023-02-22,53.1682
2023-02-23,53.1682
2023-02-24,53.1682
2023-02-25,53.1682
2023-02-26,53.1682
2023-02-27,53.1682
2023-02-28,53.1682
2023-03-01,53.1682
2023-03-02,53.1682
2023-03-03,53.1682
2023-03-04,53.1682
2023-03-05,53.1682
2023-03-06,53.1682
2023-03-07,53.1682
2023-03-08,53.1682
