,IFF US Equity
,RSI_30D
2022-10-08,33.0438
2022-10-09,33.0438
2022-10-10,33.7166
2022-10-11,32.2632
2022-10-12,31.2861
2022-10-13,34.7373
2022-10-14,34.688
2022-10-15,34.688
2022-10-16,34.688
2022-10-17,36.9368
2022-10-18,40.2707
2022-10-19,40.1695
2022-10-20,39.1945
2022-10-21,42.2873
2022-10-22,42.2873
2022-10-23,42.2873
2022-10-24,42.3297
2022-10-25,44.4937
2022-10-26,44.2008
2022-10-27,43.8763
2022-10-28,45.3825
2022-10-29,45.3825
2022-10-30,45.3825
2022-10-31,46.2475
2022-11-01,44.2883
2022-11-02,43.2442
2022-11-03,42.3927
2022-11-04,44.1906
2022-11-05,44.1906
2022-11-06,44.1906
2022-11-07,45.717
2022-11-08,41.562
2022-11-09,41.7572
2022-11-10,46.6173
2022-11-11,50.8593
2022-11-12,50.8593
2022-11-13,50.8593
2022-11-14,49.7814
2022-11-15,48.4755
2022-11-16,48.9626
2022-11-17,48.4608
2022-11-18,48.8525
2022-11-19,48.8525
2022-11-20,48.8525
2022-11-21,49.3022
2022-11-22,50.4393
2022-11-23,51.5434
2022-11-24,51.5434
2022-11-25,52.0101
2022-11-26,52.0101
2022-11-27,52.0101
2022-11-28,50.4899
2022-11-29,52.9659
2022-11-30,56.1705
2022-12-01,56.986
2022-12-02,58.0652
2022-12-03,58.0652
2022-12-04,58.0652
2022-12-05,56.6545
2022-12-06,54.518
2022-12-07,57.3654
2022-12-08,56.8975
2022-12-09,56.3742
2022-12-10,56.3742
2022-12-11,56.3742
2022-12-12,55.0181
2022-12-13,56.0822
2022-12-14,54.1713
2022-12-15,51.7323
2022-12-16,51.3079
2022-12-17,51.3079
2022-12-18,51.3079
2022-12-19,49.6987
2022-12-20,50.2773
2022-12-21,52.307
2022-12-22,51.4542
2022-12-23,52.1071
2022-12-24,52.1071
2022-12-25,52.1071
2022-12-26,52.1071
2022-12-27,52.9018
2022-12-28,51.9596
2022-12-29,54.2842
2022-12-30,53.9191
2022-12-31,53.9191
2023-01-01,53.9191
2023-01-02,53.9191
2023-01-03,54.8173
2023-01-04,57.5155
2023-01-05,56.3145
2023-01-06,59.0783
2023-01-07,59.0783
2023-01-08,59.0783
2023-01-09,60.375
2023-01-10,64.3454
2023-01-11,63.3505
2023-01-12,63.6083
2023-01-13,64.1469
2023-01-14,64.1469
2023-01-15,64.1469
2023-01-16,64.1469
2023-01-17,64.4361
2023-01-18,61.5936
2023-01-19,58.1628
2023-01-20,58.2519
2023-01-21,58.2519
2023-01-22,58.2519
2023-01-23,58.5965
2023-01-24,55.9816
2023-01-25,57.006
2023-01-26,55.3676
2023-01-27,56.7093
2023-01-28,56.7093
2023-01-29,56.7093
2023-01-30,55.8341
2023-01-31,57.19
2023-02-01,58.32
2023-02-02,61.5128
