,ETR US Equity
,RSI_30D
2021-11-26,48.5104
2021-11-27,48.5104
2021-11-28,48.5104
2021-11-29,51.831
2021-11-30,44.7061
2021-12-01,44.8056
2021-12-02,47.402
2021-12-03,49.3699
2021-12-04,49.3699
2021-12-05,49.3699
2021-12-06,51.8079
2021-12-07,51.6993
2021-12-08,52.6671
2021-12-09,53.7421
2021-12-10,55.3852
2021-12-11,55.3852
2021-12-12,55.3852
2021-12-13,56.0397
2021-12-14,54.9921
2021-12-15,58.4764
2021-12-16,59.5149
2021-12-17,57.431
2021-12-18,57.431
2021-12-19,57.431
2021-12-20,57.3047
2021-12-21,56.9713
2021-12-22,57.9691
2021-12-23,58.1247
2021-12-24,58.1247
2021-12-25,58.1247
2021-12-26,58.1247
2021-12-27,59.1768
2021-12-28,60.6419
2021-12-29,61.4521
2021-12-30,59.6526
2021-12-31,61.0544
2022-01-01,61.0544
2022-01-02,61.0544
2022-01-03,58.4543
2022-01-04,58.2081
2022-01-05,58.5989
2022-01-06,54.7488
2022-01-07,58.4541
2022-01-08,58.4541
2022-01-09,58.4541
2022-01-10,57.608
2022-01-11,52.225
2022-01-12,52.9926
2022-01-13,55.0828
2022-01-14,55.7086
2022-01-15,55.7086
2022-01-16,55.7086
2022-01-17,55.7086
2022-01-18,53.5029
2022-01-19,54.2794
2022-01-20,53.6255
2022-01-21,52.5878
2022-01-22,52.5878
2022-01-23,52.5878
2022-01-24,50.4102
2022-01-25,49.5136
2022-01-26,48.8395
2022-01-27,52.7783
2022-01-28,55.2031
2022-01-29,55.2031
2022-01-30,55.2031
2022-01-31,56.109
2022-02-01,52.9152
2022-02-02,55.8682
2022-02-03,55.7958
2022-02-04,53.8642
2022-02-05,53.8642
2022-02-06,53.8642
2022-02-07,51.7177
2022-02-08,52.226
2022-02-09,54.5314
2022-02-10,48.0208
2022-02-11,47.1068
2022-02-12,47.1068
2022-02-13,47.1068
2022-02-14,45.2403
2022-02-15,43.7854
2022-02-16,44.6967
2022-02-17,46.3764
2022-02-18,45.8958
2022-02-19,45.8958
2022-02-20,45.8958
2022-02-21,45.8958
2022-02-22,45.7323
2022-02-23,46.1471
2022-02-24,42.6024
2022-02-25,48.1524
2022-02-26,48.1524
2022-02-27,48.1524
2022-02-28,47.6119
2022-03-01,45.6766
2022-03-02,49.977
2022-03-03,53.738
2022-03-04,57.2343
2022-03-05,57.2343
2022-03-06,57.2343
2022-03-07,56.6499
2022-03-08,53.0105
2022-03-09,51.0728
2022-03-10,52.388
2022-03-11,52.0228
2022-03-12,52.0228
2022-03-13,52.0228
2022-03-14,53.9634
2022-03-15,55.1728
2022-03-16,54.0781
2022-03-17,53.8811
2022-03-18,52.4523
2022-03-19,52.4523
2022-03-20,52.4523
2022-03-21,54.216
2022-03-22,52.5508
2022-03-23,54.1157
2022-03-24,56.5004
2022-03-25,58.9648
2022-03-26,58.9648
2022-03-27,58.9648
2022-03-28,59.5407
2022-03-29,60.6931
2022-03-30,61.4324
2022-03-31,60.9194
2022-04-01,64.4558
2022-04-02,64.4558
2022-04-03,64.4558
2022-04-04,63.2503
2022-04-05,65.1351
2022-04-06,67.2305
2022-04-07,66.1352
2022-04-08,66.4411
2022-04-09,66.4411
2022-04-10,66.4411
2022-04-11,63.6816
2022-04-12,65.1684
2022-04-13,65.2265
2022-04-14,66.0376
2022-04-15,66.0376
2022-04-16,66.0376
2022-04-17,66.0376
2022-04-18,66.2729
2022-04-19,66.3834
2022-04-20,67.6678
2022-04-21,66.6267
