,DAN US Equity
,RSI_30D
2022-06-13,44.4573
2022-06-14,45.3868
2022-06-15,46.1568
2022-06-16,39.7752
2022-06-17,40.8678
2022-06-18,40.8678
2022-06-19,40.8678
2022-06-20,40.8678
2022-06-21,43.2352
2022-06-22,43.8169
2022-06-23,43.9358
2022-06-24,47.0276
2022-06-25,47.0276
2022-06-26,47.0276
2022-06-27,46.5956
2022-06-28,46.4598
2022-06-29,45.199
2022-06-30,43.2937
2022-07-01,44.5445
2022-07-02,44.5445
2022-07-03,44.5445
2022-07-04,44.5445
2022-07-05,44.3086
2022-07-06,41.8519
2022-07-07,45.4794
2022-07-08,45.2444
2022-07-09,45.2444
2022-07-10,45.2444
2022-07-11,43.485
2022-07-12,46.1811
2022-07-13,45.4671
2022-07-14,43.8315
2022-07-15,45.4875
2022-07-16,45.4875
2022-07-17,45.4875
2022-07-18,46.266
2022-07-19,50.4642
2022-07-20,51.9948
2022-07-21,52.0661
2022-07-22,51.63
2022-07-23,51.63
2022-07-24,51.63
2022-07-25,51.4678
2022-07-26,50.0846
2022-07-27,52.1955
2022-07-28,54.1636
2022-07-29,55.1369
2022-07-30,55.1369
2022-07-31,55.1369
2022-08-01,55.499
2022-08-02,54.8126
2022-08-03,51.9331
2022-08-04,51.5026
2022-08-05,51.3265
2022-08-06,51.3265
2022-08-07,51.3265
2022-08-08,52.338
2022-08-09,50.8796
2022-08-10,53.0371
2022-08-11,55.7353
2022-08-12,58.0107
2022-08-13,58.0107
2022-08-14,58.0107
2022-08-15,58.6491
2022-08-16,59.7739
2022-08-17,56.122
2022-08-18,56.7135
2022-08-19,53.3645
2022-08-20,53.3645
2022-08-21,53.3645
2022-08-22,48.8851
2022-08-23,50.5548
2022-08-24,51.9467
2022-08-25,53.8863
2022-08-26,51.0963
2022-08-27,51.0963
2022-08-28,51.0963
2022-08-29,50.5783
2022-08-30,49.0358
2022-08-31,47.874
2022-09-01,46.1036
2022-09-02,45.6945
2022-09-03,45.6945
2022-09-04,45.6945
2022-09-05,45.6945
2022-09-06,43.6196
2022-09-07,45.722
2022-09-08,44.8027
2022-09-09,47.717
2022-09-10,47.717
2022-09-11,47.717
2022-09-12,49.8824
2022-09-13,47.1387
2022-09-14,45.7995
2022-09-15,45.3671
2022-09-16,44.856
2022-09-17,44.856
2022-09-18,44.856
2022-09-19,46.9749
2022-09-20,43.0204
2022-09-21,42.0633
2022-09-22,40.7692
2022-09-23,37.7366
2022-09-24,37.7366
2022-09-25,37.7366
2022-09-26,38.3937
2022-09-27,38.1557
2022-09-28,39.6082
2022-09-29,36.9731
2022-09-30,36.6578
2022-10-01,36.6578
2022-10-02,36.6578
2022-10-03,39.7967
2022-10-04,43.7868
2022-10-05,43.7202
