,SOI US Equity
,RSI_30D
2023-01-20,48.5913
2023-01-21,48.5913
2023-01-22,48.5913
2023-01-23,49.0944
2023-01-24,48.6634
2023-01-25,50.4631
2023-01-26,50.074
2023-01-27,48.5255
2023-01-28,48.5255
2023-01-29,48.5255
2023-01-30,48.5255
2023-01-31,51.5957
2023-02-01,50.5781
2023-02-02,48.7863
2023-02-03,48.7202
2023-02-04,48.7202
2023-02-05,48.7202
2023-02-06,49.0772
2023-02-07,51.8514
2023-02-08,51.7057
2023-02-09,48.5316
2023-02-10,51.6691
2023-02-11,51.6691
2023-02-12,51.6691
2023-02-13,52.833
2023-02-14,50.0615
2023-02-15,50.7958
2023-02-16,50.447
2023-02-17,47.3525
2023-02-18,47.3525
2023-02-19,47.3525
2023-02-20,47.3525
2023-02-21,44.5849
2023-02-22,44.4059
2023-02-23,40.4317
2023-02-24,43.4548
2023-02-25,43.4548
2023-02-26,43.4548
2023-02-27,42.0547
2023-02-28,42.0008
2023-03-01,43.7154
2023-03-02,46.0125
2023-03-03,50.2161
2023-03-04,50.2161
2023-03-05,50.2161
2023-03-06,49.3466
