,JBLU US Equity
,RSI_30D
2022-09-19,46.3566
2022-09-20,44.5235
2022-09-21,42.4954
2022-09-22,38.9552
2022-09-23,37.8087
2022-09-24,37.8087
2022-09-25,37.8087
2022-09-26,36.1852
2022-09-27,37.6685
2022-09-28,38.7486
2022-09-29,37.2902
2022-09-30,37.1696
2022-10-01,37.1696
2022-10-02,37.1696
2022-10-03,37.2745
2022-10-04,42.7174
2022-10-05,42.4403
2022-10-06,41.0627
2022-10-07,38.8453
2022-10-08,38.8453
2022-10-09,38.8453
2022-10-10,38.1557
2022-10-11,37.4063
2022-10-12,38.3458
2022-10-13,40.4022
2022-10-14,40.4022
2022-10-15,40.4022
2022-10-16,40.4022
2022-10-17,42.2572
2022-10-18,43.5695
2022-10-19,42.5687
2022-10-20,44.2006
2022-10-21,45.697
2022-10-22,45.697
2022-10-23,45.697
2022-10-24,49.2628
2022-10-25,47.3987
2022-10-26,48.6772
2022-10-27,50.1107
2022-10-28,51.341
2022-10-29,51.341
2022-10-30,51.341
2022-10-31,53.7031
2022-11-01,53.5112
2022-11-02,50.7883
2022-11-03,50.2411
2022-11-04,49.5055
2022-11-05,49.5055
2022-11-06,49.5055
2022-11-07,50.3515
2022-11-08,50.542
2022-11-09,46.9976
2022-11-10,53.4027
2022-11-11,53.9622
2022-11-12,53.9622
2022-11-13,53.9622
2022-11-14,52.929
2022-11-15,54.9567
2022-11-16,51.9036
2022-11-17,51.7235
2022-11-18,51.3547
2022-11-19,51.3547
2022-11-20,51.3547
2022-11-21,50.2429
2022-11-22,50.7939
2022-11-23,51.9856
2022-11-24,51.9856
2022-11-25,52.4439
2022-11-26,52.4439
2022-11-27,52.4439
2022-11-28,49.4187
2022-11-29,50.0912
2022-11-30,52.1592
2022-12-01,52.1592
2022-12-02,51.9498
2022-12-03,51.9498
2022-12-04,51.9498
2022-12-05,52.6383
2022-12-06,52.527
2022-12-07,49.1936
2022-12-08,47.0036
2022-12-09,46.5168
2022-12-10,46.5168
2022-12-11,46.5168
2022-12-12,49.4421
2022-12-13,44.0016
2022-12-14,43.1687
2022-12-15,41.1541
2022-12-16,42.1594
2022-12-17,42.1594
2022-12-18,42.1594
2022-12-19,39.8141
2022-12-20,39.8141
2022-12-21,40.4054
2022-12-22,38.7512
2022-12-23,39.6038
2022-12-24,39.6038
2022-12-25,39.6038
2022-12-26,39.6038
2022-12-27,39.0416
2022-12-28,37.5451
2022-12-29,40.7597
2022-12-30,41.1214
2022-12-31,41.1214
2023-01-01,41.1214
2023-01-02,41.1214
2023-01-03,41.3683
2023-01-04,48.1201
2023-01-05,47.8352
2023-01-06,49.9799
2023-01-07,49.9799
2023-01-08,49.9799
2023-01-09,50.282
2023-01-10,53.7494
2023-01-11,55.0117
2023-01-12,57.6586
2023-01-13,58.6333
2023-01-14,58.6333
2023-01-15,58.6333
2023-01-16,58.6333
2023-01-17,60.2123
2023-01-18,60.0937
2023-01-19,60.6551
2023-01-20,61.2988
2023-01-21,61.2988
2023-01-22,61.2988
2023-01-23,61.8636
2023-01-24,59.5518
2023-01-25,58.7942
2023-01-26,58.0305
2023-01-27,53.4792
2023-01-28,53.4792
2023-01-29,53.4792
2023-01-30,52.1433
2023-01-31,53.6408
2023-02-01,56.0139
2023-02-02,63.5112
2023-02-03,58.3169
2023-02-04,58.3169
2023-02-05,58.3169
2023-02-06,57.327
2023-02-07,58.6344
2023-02-08,57.3223
2023-02-09,55.4464
2023-02-10,53.8162
2023-02-11,53.8162
2023-02-12,53.8162
2023-02-13,55.5651
2023-02-14,56.7961
2023-02-15,57.331
2023-02-16,55.899
2023-02-17,55.796
2023-02-18,55.796
2023-02-19,55.796
2023-02-20,55.796
2023-02-21,51.7521
2023-02-22,51.6577
2023-02-23,52.2883
2023-02-24,51.106
2023-02-25,51.106
2023-02-26,51.106
2023-02-27,52.2235
2023-02-28,52.5043
2023-03-01,51.9777
2023-03-02,52.6653
2023-03-03,52.6653
2023-03-04,52.6653
2023-03-05,52.6653
