,TRMK US Equity
,RSI_30D
2022-12-27,51.1893
2022-12-28,49.9068
2022-12-29,52.5105
2022-12-30,51.9016
2022-12-31,51.9016
2023-01-01,51.9016
2023-01-02,51.9016
2023-01-03,51.1853
2023-01-04,49.9625
2023-01-05,48.9049
2023-01-06,52.6109
2023-01-07,52.6109
2023-01-08,52.6109
2023-01-09,50.9295
2023-01-10,52.2219
2023-01-11,52.3661
2023-01-12,52.465
2023-01-13,52.9703
2023-01-14,52.9703
2023-01-15,52.9703
2023-01-16,52.9703
2023-01-17,50.8994
2023-01-18,43.6884
2023-01-19,42.0557
2023-01-20,44.2125
2023-01-21,44.2125
2023-01-22,44.2125
2023-01-23,43.9586
2023-01-24,43.105
2023-01-25,29.7492
2023-01-26,29.0411
2023-01-27,31.0871
2023-01-28,31.0871
2023-01-29,31.0871
2023-01-30,30.6413
2023-01-31,34.0651
2023-02-01,35.1065
2023-02-02,39.3836
2023-02-03,41.524
2023-02-04,41.524
2023-02-05,41.524
2023-02-06,40.0884
2023-02-07,42.5539
2023-02-08,40.8998
2023-02-09,39.3454
2023-02-10,39.9775
2023-02-11,39.9775
2023-02-12,39.9775
2023-02-13,39.6074
2023-02-14,38.8631
2023-02-15,40.1606
2023-02-16,39.5616
2023-02-17,39.7476
2023-02-18,39.7476
2023-02-19,39.7476
2023-02-20,39.7476
2023-02-21,39.8433
2023-02-22,40.1384
2023-02-23,41.9552
2023-02-24,42.8284
2023-02-25,42.8284
2023-02-26,42.8284
2023-02-27,41.0877
2023-02-28,40.4925
2023-03-01,40.0336
2023-03-02,39.5346
2023-03-03,40.0317
2023-03-04,40.0317
2023-03-05,40.0317
2023-03-06,36.8297
2023-03-07,36.2109
2023-03-08,35.3065
2023-03-09,31.4473
2023-03-10,32.706
