,MTG US Equity
,RSI_30D
2022-11-16,49.0306
2022-11-17,48.4727
2022-11-18,49.492
2022-11-19,49.492
2022-11-20,49.492
2022-11-21,50.5049
2022-11-22,50.8448
2022-11-23,51.6181
2022-11-24,51.6181
2022-11-25,52.0517
2022-11-26,52.0517
2022-11-27,52.0517
2022-11-28,50.2805
2022-11-29,51.4498
2022-11-30,53.2015
2022-12-01,50.9208
2022-12-02,49.2817
2022-12-03,49.2817
2022-12-04,49.2817
2022-12-05,46.1246
2022-12-06,45.075
2022-12-07,46.7152
2022-12-08,47.945
2022-12-09,47.5954
2022-12-10,47.5954
2022-12-11,47.5954
2022-12-12,49.0371
2022-12-13,48.6677
2022-12-14,48.1983
2022-12-15,47.071
2022-12-16,44.218
2022-12-17,44.218
2022-12-18,44.218
2022-12-19,43.9596
2022-12-20,44.0723
2022-12-21,48.6646
2022-12-22,46.3744
2022-12-23,47.197
2022-12-24,47.197
2022-12-25,47.197
2022-12-26,47.197
2022-12-27,47.3016
2022-12-28,45.8918
2022-12-29,48.6367
2022-12-30,48.1508
2022-12-31,48.1508
2023-01-01,48.1508
2023-01-02,48.1508
2023-01-03,49.3035
2023-01-04,49.724
2023-01-05,47.1932
2023-01-06,45.5619
2023-01-07,45.5619
2023-01-08,45.5619
2023-01-09,45.3711
2023-01-10,47.4218
2023-01-11,49.3872
2023-01-12,51.6714
2023-01-13,51.2365
2023-01-14,51.2365
2023-01-15,51.2365
2023-01-16,51.2365
2023-01-17,52.1735
2023-01-18,53.207
2023-01-19,55.017
2023-01-20,55.9952
2023-01-21,55.9952
2023-01-22,55.9952
2023-01-23,57.2456
2023-01-24,55.9798
2023-01-25,56.9642
2023-01-26,61.2654
2023-01-27,59.1012
2023-01-28,59.1012
2023-01-29,59.1012
2023-01-30,55.9731
2023-01-31,57.9225
2023-02-01,58.8647
2023-02-02,59.3779
2023-02-03,57.8837
2023-02-04,57.8837
2023-02-05,57.8837
2023-02-06,53.3686
2023-02-07,55.3988
2023-02-08,54.9489
2023-02-09,53.2704
2023-02-10,54.3287
2023-02-11,54.3287
2023-02-12,54.3287
2023-02-13,56.1051
2023-02-14,55.6338
2023-02-15,56.6692
2023-02-16,55.8058
2023-02-17,56.1023
2023-02-18,56.1023
2023-02-19,56.1023
2023-02-20,56.1023
2023-02-21,50.9185
2023-02-22,51.3414
2023-02-23,52.2979
2023-02-24,52.9359
2023-02-25,52.9359
2023-02-26,52.9359
2023-02-27,52.8141
2023-02-28,52.5639
2023-03-01,52.0536
2023-03-02,52.412
2023-03-03,54.2969
2023-03-04,54.2969
2023-03-05,54.2969
2023-03-06,53.3407
2023-03-07,53.0645
2023-03-08,52.9228
2023-03-09,46.7253
2023-03-10,42.151
2023-03-11,42.151
2023-03-12,42.151
2023-03-13,38.2747
