,TXN US Equity
,RSI_30D
2022-12-01,55.9787
2022-12-02,56.0606
2022-12-03,56.0606
2022-12-04,56.0606
2022-12-05,55.8792
2022-12-06,53.8438
2022-12-07,53.4541
2022-12-08,54.9462
2022-12-09,53.5183
2022-12-10,53.5183
2022-12-11,53.5183
2022-12-12,55.3584
2022-12-13,55.3698
2022-12-14,54.1726
2022-12-15,50.2832
2022-12-16,49.9893
2022-12-17,49.9893
2022-12-18,49.9893
2022-12-19,48.746
2022-12-20,47.7828
2022-12-21,49.5731
2022-12-22,47.0269
2022-12-23,46.8293
2022-12-24,46.8293
2022-12-25,46.8293
2022-12-26,46.8293
2022-12-27,46.4508
2022-12-28,44.8325
2022-12-29,47.6239
2022-12-30,47.7666
2022-12-31,47.7666
2023-01-01,47.7666
2023-01-02,47.7666
2023-01-03,46.4503
2023-01-04,50.6242
2023-01-05,49.1351
2023-01-06,54.2497
2023-01-07,54.2497
2023-01-08,54.2497
2023-01-09,55.1121
2023-01-10,56.0812
2023-01-11,56.3476
2023-01-12,55.7963
2023-01-13,56.322
2023-01-14,56.322
2023-01-15,56.322
2023-01-16,56.322
2023-01-17,53.6162
2023-01-18,52.4325
2023-01-19,50.4443
2023-01-20,51.8265
2023-01-21,51.8265
2023-01-22,51.8265
2023-01-23,55.0647
2023-01-24,54.2403
2023-01-25,52.7932
2023-01-26,52.1171
2023-01-27,52.8742
2023-01-28,52.8742
2023-01-29,52.8742
2023-01-30,52.2177
2023-01-31,54.9324
2023-02-01,57.898
2023-02-02,59.3796
2023-02-03,57.4402
2023-02-04,57.4402
2023-02-05,57.4402
2023-02-06,56.4281
2023-02-07,57.909
2023-02-08,52.7068
2023-02-09,51.6695
2023-02-10,52.1853
2023-02-11,52.1853
2023-02-12,52.1853
2023-02-13,52.7847
2023-02-14,52.5108
2023-02-15,53.9536
2023-02-16,52.1184
2023-02-17,51.5487
2023-02-18,51.5487
2023-02-19,51.5487
2023-02-20,51.5487
2023-02-21,48.2738
2023-02-22,47.615
2023-02-23,49.1263
2023-02-24,47.2552
2023-02-25,47.2552
2023-02-26,47.2552
2023-02-27,48.4674
2023-02-28,49.0054
2023-03-01,49.5578
2023-03-02,51.0141
2023-03-03,52.2098
2023-03-04,52.2098
