,SNA US Equity
,RSI_30D
2022-04-29,49.9074
2022-04-30,49.9074
2022-05-01,49.9074
2022-05-02,50.9857
2022-05-03,54.2592
2022-05-04,58.4749
2022-05-05,54.6603
2022-05-06,52.3901
2022-05-07,52.3901
2022-05-08,52.3901
2022-05-09,52.2906
2022-05-10,50.003
2022-05-11,48.2974
2022-05-12,50.4694
2022-05-13,51.4258
2022-05-14,51.4258
2022-05-15,51.4258
2022-05-16,51.6202
2022-05-17,55.0894
2022-05-18,51.0476
2022-05-19,51.0744
2022-05-20,48.2992
2022-05-21,48.2992
2022-05-22,48.2992
2022-05-23,49.6175
2022-05-24,49.3966
2022-05-25,51.243
2022-05-26,53.4131
2022-05-27,55.255
2022-05-28,55.255
2022-05-29,55.255
2022-05-30,55.255
2022-05-31,54.6272
2022-06-01,51.6962
2022-06-02,53.5461
2022-06-03,53.3665
2022-06-04,53.3665
2022-06-05,53.3665
2022-06-06,54.0942
2022-06-07,55.7221
2022-06-08,53.5559
2022-06-09,51.9938
2022-06-10,46.8706
2022-06-11,46.8706
2022-06-12,46.8706
2022-06-13,45.1788
2022-06-14,44.9971
2022-06-15,44.1381
2022-06-16,38.813
2022-06-17,41.2002
2022-06-18,41.2002
2022-06-19,41.2002
2022-06-20,41.2002
2022-06-21,42.2786
2022-06-22,41.8661
2022-06-23,41.5183
2022-06-24,45.1724
2022-06-25,45.1724
2022-06-26,45.1724
2022-06-27,46.4316
2022-06-28,44.9934
2022-06-29,43.9282
2022-06-30,43.062
2022-07-01,43.8157
2022-07-02,43.8157
2022-07-03,43.8157
2022-07-04,43.8157
2022-07-05,44.1067
2022-07-06,44.0861
2022-07-07,45.8344
2022-07-08,44.0686
2022-07-09,44.0686
2022-07-10,44.0686
2022-07-11,43.9999
2022-07-12,45.1359
2022-07-13,43.8199
2022-07-14,43.2038
2022-07-15,44.5109
2022-07-16,44.5109
2022-07-17,44.5109
2022-07-18,46.218
2022-07-19,50.8588
2022-07-20,51.0219
2022-07-21,53.3862
2022-07-22,54.2227
2022-07-23,54.2227
2022-07-24,54.2227
2022-07-25,54.7463
2022-07-26,55.7868
2022-07-27,57.6139
2022-07-28,58.8684
2022-07-29,60.1408
2022-07-30,60.1408
2022-07-31,60.1408
2022-08-01,60.1014
2022-08-02,58.2225
2022-08-03,59.0788
2022-08-04,58.9976
2022-08-05,58.9473
2022-08-06,58.9473
2022-08-07,58.9473
2022-08-08,59.7868
2022-08-09,57.2698
2022-08-10,60.3814
2022-08-11,61.446
2022-08-12,62.834
2022-08-13,62.834
2022-08-14,62.834
2022-08-15,62.1362
2022-08-16,63.6075
2022-08-17,62.0202
2022-08-18,62.9712
2022-08-19,61.3548
2022-08-20,61.3548
2022-08-21,61.3548
2022-08-22,55.9466
2022-08-23,55.517
2022-08-24,56.0565
2022-08-25,58.4951
2022-08-26,52.6615
2022-08-27,52.6615
2022-08-28,52.6615
2022-08-29,53.394
2022-08-30,51.1813
2022-08-31,50.9051
2022-09-01,48.9509
2022-09-02,47.8935
2022-09-03,47.8935
2022-09-04,47.8935
2022-09-05,47.8935
2022-09-06,50.4691
2022-09-07,54.4709
2022-09-08,53.6808
2022-09-09,54.3414
2022-09-10,54.3414
2022-09-11,54.3414
2022-09-12,55.2104
2022-09-13,49.9225
2022-09-14,49.6137
2022-09-15,48.3879
2022-09-16,48.8217
2022-09-17,48.8217
2022-09-18,48.8217
2022-09-19,52.2848
2022-09-20,49.9705
2022-09-21,49.035
2022-09-22,46.0402
2022-09-23,43.5166
2022-09-24,43.5166
2022-09-25,43.5166
2022-09-26,43.6524
2022-09-27,42.3657
2022-09-28,45.0798
2022-09-29,42.1729
2022-09-30,41.4403
2022-10-01,41.4403
2022-10-02,41.4403
2022-10-03,45.3481
2022-10-04,49.9432
2022-10-05,49.6999
2022-10-06,49.5868
2022-10-07,47.1011
2022-10-08,47.1011
2022-10-09,47.1011
2022-10-10,46.9524
2022-10-11,46.8056
2022-10-12,46.0602
2022-10-13,49.1306
2022-10-14,47.441
2022-10-15,47.441
2022-10-16,47.441
2022-10-17,49.3283
2022-10-18,51.88
2022-10-19,50.0292
2022-10-20,44.1737
2022-10-21,46.9763
2022-10-22,46.9763
