,CVBF US Equity
,RSI_30D
2022-06-11,51.7933
2022-06-12,51.7933
2022-06-13,50.1974
2022-06-14,49.9081
2022-06-15,50.8601
2022-06-16,51.4475
2022-06-17,52.4039
2022-06-18,52.4039
2022-06-19,52.4039
2022-06-20,52.4039
2022-06-21,56.9276
2022-06-22,56.513
2022-06-23,52.8493
2022-06-24,55.873
2022-06-25,55.873
2022-06-26,55.873
2022-06-27,57.6082
2022-06-28,58.9888
2022-06-29,56.5876
2022-06-30,56.6485
2022-07-01,58.6854
2022-07-02,58.6854
2022-07-03,58.6854
2022-07-04,58.6854
2022-07-05,57.3731
2022-07-06,55.449
2022-07-07,54.0429
2022-07-08,54.1765
2022-07-09,54.1765
2022-07-10,54.1765
2022-07-11,53.6922
2022-07-12,53.7635
2022-07-13,50.0951
2022-07-14,50.0183
2022-07-15,52.5026
2022-07-16,52.5026
2022-07-17,52.5026
2022-07-18,52.3395
2022-07-19,56.274
2022-07-20,58.369
2022-07-21,62.9837
2022-07-22,61.8724
2022-07-23,61.8724
2022-07-24,61.8724
2022-07-25,62.7101
2022-07-26,64.3798
2022-07-27,64.4795
2022-07-28,64.2934
2022-07-29,65.3793
2022-07-30,65.3793
2022-07-31,65.3793
2022-08-01,65.7893
2022-08-02,61.0232
2022-08-03,60.9337
2022-08-04,58.5347
2022-08-05,60.1574
2022-08-06,60.1574
2022-08-07,60.1574
2022-08-08,61.3736
2022-08-09,62.6105
2022-08-10,63.2197
2022-08-11,65.3939
2022-08-12,67.5704
2022-08-13,67.5704
2022-08-14,67.5704
2022-08-15,68.2588
2022-08-16,69.4226
2022-08-17,65.6853
2022-08-18,66.0729
2022-08-19,64.1977
2022-08-20,64.1977
2022-08-21,64.1977
2022-08-22,59.9718
2022-08-23,57.2122
2022-08-24,57.2721
2022-08-25,60.1535
2022-08-26,58.0478
2022-08-27,58.0478
2022-08-28,58.0478
2022-08-29,55.3495
2022-08-30,54.1589
2022-08-31,52.6221
2022-09-01,49.378
2022-09-02,47.8837
2022-09-03,47.8837
2022-09-04,47.8837
2022-09-05,47.8837
2022-09-06,44.7753
2022-09-07,46.6033
2022-09-08,47.7053
2022-09-09,49.5888
2022-09-10,49.5888
2022-09-11,49.5888
