,ULTA US Equity
,RSI_30D
2022-09-28,50.5453
2022-09-29,49.3857
2022-09-30,48.463
2022-10-01,48.463
2022-10-02,48.463
2022-10-03,49.4375
2022-10-04,49.2211
2022-10-05,47.0994
2022-10-06,46.0898
2022-10-07,45.0425
2022-10-08,45.0425
2022-10-09,45.0425
2022-10-10,45.7639
2022-10-11,47.7517
2022-10-12,48.1209
2022-10-13,48.39
2022-10-14,47.0412
2022-10-15,47.0412
2022-10-16,47.0412
2022-10-17,49.6334
2022-10-18,50.3722
2022-10-19,45.1197
2022-10-20,43.9374
2022-10-21,44.3316
2022-10-22,44.3316
2022-10-23,44.3316
2022-10-24,44.9292
2022-10-25,48.3253
2022-10-26,49.4832
2022-10-27,50.3663
2022-10-28,54.2389
2022-10-29,54.2389
2022-10-30,54.2389
2022-10-31,55.0815
2022-11-01,55.7674
2022-11-02,51.0933
2022-11-03,53.4442
2022-11-04,54.1333
2022-11-05,54.1333
2022-11-06,54.1333
2022-11-07,54.4017
2022-11-08,55.39
2022-11-09,52.3837
2022-11-10,55.029
2022-11-11,56.6765
2022-11-12,56.6765
2022-11-13,56.6765
2022-11-14,54.3223
2022-11-15,57.5751
2022-11-16,57.3615
2022-11-17,57.0821
2022-11-18,58.4616
2022-11-19,58.4616
2022-11-20,58.4616
2022-11-21,58.8182
2022-11-22,60.6749
2022-11-23,59.7483
2022-11-24,59.7483
2022-11-25,59.9804
2022-11-26,59.9804
2022-11-27,59.9804
2022-11-28,62.0344
2022-11-29,59.4223
2022-11-30,62.7227
2022-12-01,64.2682
2022-12-02,63.8409
2022-12-03,63.8409
2022-12-04,63.8409
2022-12-05,64.0858
2022-12-06,61.5697
2022-12-07,64.5701
2022-12-08,64.8837
2022-12-09,61.3648
2022-12-10,61.3648
2022-12-11,61.3648
2022-12-12,61.4361
2022-12-13,58.8665
2022-12-14,58.3449
2022-12-15,55.7787
2022-12-16,54.5426
2022-12-17,54.5426
2022-12-18,54.5426
2022-12-19,51.3406
2022-12-20,50.9585
2022-12-21,54.4619
2022-12-22,55.6536
2022-12-23,55.4486
2022-12-24,55.4486
2022-12-25,55.4486
2022-12-26,55.4486
2022-12-27,57.3487
2022-12-28,57.1894
2022-12-29,57.5226
2022-12-30,58.6016
2022-12-31,58.6016
2023-01-01,58.6016
2023-01-02,58.6016
2023-01-03,59.2482
2023-01-04,62.0927
2023-01-05,63.3007
2023-01-06,62.2594
2023-01-07,62.2594
2023-01-08,62.2594
2023-01-09,61.7132
2023-01-10,62.6286
2023-01-11,63.773
2023-01-12,63.0759
2023-01-13,62.7295
2023-01-14,62.7295
2023-01-15,62.7295
2023-01-16,62.7295
2023-01-17,63.6154
2023-01-18,64.9306
2023-01-19,60.0398
2023-01-20,60.8384
2023-01-21,60.8384
2023-01-22,60.8384
2023-01-23,63.0864
2023-01-24,63.3367
2023-01-25,63.6016
2023-01-26,64.6094
2023-01-27,64.1055
2023-01-28,64.1055
2023-01-29,64.1055
2023-01-30,64.6755
2023-01-31,66.1249
2023-02-01,68.2889
2023-02-02,67.0196
2023-02-03,66.9869
2023-02-04,66.9869
2023-02-05,66.9869
2023-02-06,65.681
2023-02-07,67.3419
2023-02-08,66.5094
2023-02-09,65.9569
2023-02-10,62.9525
2023-02-11,62.9525
2023-02-12,62.9525
2023-02-13,64.1352
2023-02-14,65.2918
2023-02-15,65.7796
2023-02-16,67.0343
2023-02-17,66.2503
2023-02-18,66.2503
2023-02-19,66.2503
2023-02-20,66.2503
2023-02-21,63.7486
2023-02-22,65.3969
2023-02-23,65.4916
2023-02-24,60.0683
2023-02-25,60.0683
2023-02-26,60.0683
2023-02-27,60.9882
2023-02-28,59.051
2023-03-01,57.8365
2023-03-02,59.4204
2023-03-03,59.709
2023-03-04,59.709
2023-03-05,59.709
2023-03-06,60.1272
2023-03-07,60.9532
