,AEP US Equity
,RSI_30D
2022-05-05,54.6007
2022-05-06,54.5821
2022-05-07,54.5821
2022-05-08,54.5821
2022-05-09,55.8638
2022-05-10,54.6764
2022-05-11,55.7919
2022-05-12,53.3655
2022-05-13,55.2345
2022-05-14,55.2345
2022-05-15,55.2345
2022-05-16,54.6486
2022-05-17,56.2644
2022-05-18,55.2166
2022-05-19,53.5501
2022-05-20,54.6623
2022-05-21,54.6623
2022-05-22,54.6623
2022-05-23,55.6119
2022-05-24,58.675
2022-05-25,59.0646
2022-05-26,59.2176
2022-05-27,60.7211
2022-05-28,60.7211
2022-05-29,60.7211
2022-05-30,60.7211
2022-05-31,57.3206
2022-06-01,57.3367
2022-06-02,57.6824
2022-06-03,56.9998
2022-06-04,56.9998
2022-06-05,56.9998
2022-06-06,57.1919
2022-06-07,57.8473
2022-06-08,53.4964
2022-06-09,48.9464
2022-06-10,48.9464
2022-06-11,48.9464
2022-06-12,48.9464
2022-06-13,40.4346
2022-06-14,37.162
2022-06-15,37.5889
2022-06-16,35.8375
2022-06-17,34.9379
2022-06-18,34.9379
2022-06-19,34.9379
2022-06-20,34.9379
2022-06-21,38.1112
2022-06-22,38.8326
2022-06-23,42.8527
2022-06-24,44.9727
2022-06-25,44.9727
2022-06-26,44.9727
2022-06-27,47.3173
2022-06-28,47.485
2022-06-29,47.9819
2022-06-30,48.9637
2022-07-01,52.2512
2022-07-02,52.2512
2022-07-03,52.2512
2022-07-04,52.2512
2022-07-05,45.6391
2022-07-06,47.5558
2022-07-07,47.161
2022-07-08,46.9021
2022-07-09,46.9021
2022-07-10,46.9021
2022-07-11,48.0014
2022-07-12,47.039
2022-07-13,46.3333
2022-07-14,46.9811
2022-07-15,48.628
2022-07-16,48.628
2022-07-17,48.628
2022-07-18,45.7642
2022-07-19,46.1543
2022-07-20,44.8203
2022-07-21,44.9699
2022-07-22,47.8231
2022-07-23,47.8231
2022-07-24,47.8231
2022-07-25,50.3008
2022-07-26,51.3232
2022-07-27,51.0952
2022-07-28,53.2914
2022-07-29,54.7762
2022-07-30,54.7762
2022-07-31,54.7762
2022-08-01,55.6147
2022-08-02,54.3785
2022-08-03,56.1584
2022-08-04,56.715
2022-08-05,55.719
2022-08-06,55.719
2022-08-07,55.719
2022-08-08,56.714
2022-08-09,58.6961
2022-08-10,59.8492
2022-08-11,59.5366
2022-08-12,63.2011
2022-08-13,63.2011
2022-08-14,63.2011
2022-08-15,64.2147
2022-08-16,63.981
2022-08-17,63.6693
2022-08-18,63.7256
2022-08-19,64.5349
2022-08-20,64.5349
2022-08-21,64.5349
2022-08-22,60.77
2022-08-23,59.1145
2022-08-24,59.0208
2022-08-25,60.1957
2022-08-26,56.5609
2022-08-27,56.5609
2022-08-28,56.5609
2022-08-29,58.4094
2022-08-30,54.9447
2022-08-31,52.6292
2022-09-01,56.2745
2022-09-02,53.7428
2022-09-03,53.7428
2022-09-04,53.7428
2022-09-05,53.7428
2022-09-06,54.5141
2022-09-07,59.2675
2022-09-08,57.7748
2022-09-09,58.8058
2022-09-10,58.8058
2022-09-11,58.8058
2022-09-12,59.4649
2022-09-13,53.8167
2022-09-14,55.4615
2022-09-15,50.2841
2022-09-16,50.5435
2022-09-17,50.5435
2022-09-18,50.5435
2022-09-19,51.6938
2022-09-20,49.5479
2022-09-21,47.7408
2022-09-22,48.2494
2022-09-23,46.5266
2022-09-24,46.5266
2022-09-25,46.5266
2022-09-26,43.5494
2022-09-27,40.0674
2022-09-28,41.2944
2022-09-29,36.3554
2022-09-30,33.9073
2022-10-01,33.9073
2022-10-02,33.9073
2022-10-03,36.8938
2022-10-04,40.6794
2022-10-05,37.8205
2022-10-06,35.0726
2022-10-07,33.8599
2022-10-08,33.8599
2022-10-09,33.8599
2022-10-10,36.0568
2022-10-11,36.6826
2022-10-12,34.1088
2022-10-13,38.448
2022-10-14,37.3922
2022-10-15,37.3922
2022-10-16,37.3922
2022-10-17,39.4798
2022-10-18,41.4978
2022-10-19,40.8712
2022-10-20,39.1018
2022-10-21,41.3678
2022-10-22,41.3678
2022-10-23,41.3678
2022-10-24,41.8549
2022-10-25,43.7116
2022-10-26,43.7508
2022-10-27,43.4686
2022-10-28,46.4091
2022-10-29,46.4091
2022-10-30,46.4091
2022-10-31,44.802
2022-11-01,45.6051
2022-11-02,45.2478
2022-11-03,45.8919
2022-11-04,47.1107
2022-11-05,47.1107
2022-11-06,47.1107
2022-11-07,45.2507
2022-11-08,46.975
2022-11-09,46.245
2022-11-10,51.4251
2022-11-11,49.183
2022-11-12,49.183
2022-11-13,49.183
2022-11-14,47.6252
2022-11-15,48.3433
2022-11-16,49.0147
2022-11-17,48.18
2022-11-18,51.0261
2022-11-19,51.0261
2022-11-20,51.0261
2022-11-21,53.2725
2022-11-22,53.9272
2022-11-23,55.5605
2022-11-24,55.5605
2022-11-25,55.9474
2022-11-26,55.9474
2022-11-27,55.9474
2022-11-28,55.5794
2022-11-29,54.7303
2022-11-30,57.277
2022-12-01,56.7851
2022-12-02,54.7192
2022-12-03,54.7192
2022-12-04,54.7192
2022-12-05,53.8255
2022-12-06,56.1119
2022-12-07,56.4735
2022-12-08,57.7342
2022-12-09,55.9152
2022-12-10,55.9152
2022-12-11,55.9152
2022-12-12,58.2657
2022-12-13,58.3474
2022-12-14,58.1289
2022-12-15,53.4768
2022-12-16,52.0024
2022-12-17,52.0024
2022-12-18,52.0024
2022-12-19,51.1704
2022-12-20,50.6848
2022-12-21,53.0189
2022-12-22,51.7002
2022-12-23,53.3823
2022-12-24,53.3823
2022-12-25,53.3823
2022-12-26,53.3823
2022-12-27,54.1939
2022-12-28,52.7221
2022-12-29,53.6326
2022-12-30,51.945
2022-12-31,51.945
2023-01-01,51.945
2023-01-02,51.945
2023-01-03,51.8177
