,EQH US Equity
,RSI_30D
2022-10-27,54.6926
2022-10-28,57.573
2022-10-29,57.573
2022-10-30,57.573
2022-10-31,56.35
2022-11-01,57.2049
2022-11-02,56.1433
2022-11-03,48.6682
2022-11-04,52.9234
2022-11-05,52.9234
2022-11-06,52.9234
2022-11-07,54.3352
2022-11-08,53.2749
2022-11-09,50.8591
2022-11-10,56.0402
2022-11-11,54.0177
2022-11-12,54.0177
2022-11-13,54.0177
2022-11-14,51.8033
2022-11-15,53.8116
2022-11-16,53.8362
2022-11-17,53.1634
2022-11-18,53.8636
2022-11-19,53.8636
2022-11-20,53.8636
2022-11-21,53.7098
2022-11-22,56.2922
2022-11-23,55.2714
2022-11-24,55.2714
2022-11-25,55.6119
2022-11-26,55.6119
2022-11-27,55.6119
2022-11-28,53.6932
2022-11-29,54.3014
2022-11-30,56.7076
2022-12-01,57.0971
2022-12-02,57.3354
2022-12-03,57.3354
2022-12-04,57.3354
2022-12-05,54.0575
2022-12-06,52.3939
2022-12-07,52.8938
2022-12-08,51.9968
2022-12-09,49.6729
2022-12-10,49.6729
2022-12-11,49.6729
2022-12-12,51.6893
2022-12-13,52.2676
2022-12-14,50.2376
2022-12-15,48.0278
2022-12-16,46.8274
2022-12-17,46.8274
2022-12-18,46.8274
2022-12-19,45.8493
2022-12-20,46.6527
2022-12-21,48.5743
2022-12-22,46.2654
2022-12-23,46.5806
2022-12-24,46.5806
2022-12-25,46.5806
2022-12-26,46.5806
2022-12-27,45.9302
2022-12-28,44.4624
2022-12-29,48.208
2022-12-30,47.3584
2022-12-31,47.3584
2023-01-01,47.3584
2023-01-02,47.3584
2023-01-03,47.0407
2023-01-04,50.7008
2023-01-05,49.8023
2023-01-06,52.4497
2023-01-07,52.4497
2023-01-08,52.4497
2023-01-09,50.5009
2023-01-10,51.3394
2023-01-11,53.4717
2023-01-12,53.5954
2023-01-13,53.2657
2023-01-14,53.2657
2023-01-15,53.2657
2023-01-16,53.2657
2023-01-17,54.0136
2023-01-18,52.3554
2023-01-19,49.8717
2023-01-20,52.0868
2023-01-21,52.0868
2023-01-22,52.0868
2023-01-23,52.8494
2023-01-24,53.1179
2023-01-25,53.5286
2023-01-26,55.5106
2023-01-27,55.2216
2023-01-28,55.2216
2023-01-29,55.2216
2023-01-30,54.1792
2023-01-31,57.7743
2023-02-01,58.4244
2023-02-02,59.1677
2023-02-03,58.4026
2023-02-04,58.4026
2023-02-05,58.4026
2023-02-06,55.98
2023-02-07,58.1668
2023-02-08,59.0771
2023-02-09,55.0597
2023-02-10,54.9774
2023-02-11,54.9774
2023-02-12,54.9774
2023-02-13,56.9413
2023-02-14,58.4966
2023-02-15,58.0539
2023-02-16,58.315
2023-02-17,57.8032
2023-02-18,57.8032
2023-02-19,57.8032
2023-02-20,57.8032
2023-02-21,51.7396
2023-02-22,51.6213
2023-02-23,52.1123
2023-02-24,52.5748
2023-02-25,52.5748
2023-02-26,52.5748
2023-02-27,52.693
2023-02-28,52.8551
2023-03-01,56.3006
2023-03-02,54.54
2023-03-03,55.3758
2023-03-04,55.3758
2023-03-05,55.3758
