,NRC US Equity
,RSI_30D
2022-10-24,57.2816
2022-10-25,55.8439
2022-10-26,56.2594
2022-10-27,55.6098
2022-10-28,58.059
2022-10-29,58.059
2022-10-30,58.059
2022-10-31,56.5193
2022-11-01,55.9348
2022-11-02,41.2168
2022-11-03,43.4923
2022-11-04,47.0613
2022-11-05,47.0613
2022-11-06,47.0613
2022-11-07,48.0565
2022-11-08,48.3143
2022-11-09,49.6579
2022-11-10,54.4197
2022-11-11,51.7858
2022-11-12,51.7858
2022-11-13,51.7858
2022-11-14,46.1126
2022-11-15,46.6747
2022-11-16,47.8473
2022-11-17,47.942
2022-11-18,46.9928
2022-11-19,46.9928
2022-11-20,46.9928
2022-11-21,46.8366
2022-11-22,46.3359
2022-11-23,47.5744
2022-11-24,47.5744
2022-11-25,48.8477
2022-11-26,48.8477
2022-11-27,48.8477
2022-11-28,46.9461
2022-11-29,47.0001
2022-11-30,51.4504
2022-12-01,52.8165
2022-12-02,53.1691
2022-12-03,53.1691
2022-12-04,53.1691
2022-12-05,53.9522
2022-12-06,52.3337
2022-12-07,50.373
2022-12-08,51.8605
2022-12-09,50.4551
2022-12-10,50.4551
2022-12-11,50.4551
2022-12-12,49.4097
2022-12-13,48.3983
2022-12-14,47.2439
2022-12-15,47.3594
2022-12-16,48.9485
2022-12-17,48.9485
2022-12-18,48.9485
2022-12-19,47.9147
2022-12-20,49.7355
2022-12-21,50.8085
2022-12-22,48.6053
2022-12-23,47.4057
2022-12-24,47.4057
2022-12-25,47.4057
2022-12-26,47.4057
2022-12-27,47.9792
2022-12-28,46.9479
2022-12-29,47.3605
2022-12-30,47.9405
2022-12-31,47.9405
2023-01-01,47.9405
2023-01-02,47.9405
2023-01-03,52.8107
2023-01-04,51.0819
2023-01-05,50.5118
2023-01-06,55.8988
2023-01-07,55.8988
2023-01-08,55.8988
2023-01-09,56.6038
2023-01-10,60.3155
2023-01-11,59.2918
2023-01-12,59.668
2023-01-13,60.5552
2023-01-14,60.5552
2023-01-15,60.5552
2023-01-16,60.5552
2023-01-17,61.2604
2023-01-18,62.3486
2023-01-19,63.1201
2023-01-20,65.5162
2023-01-21,65.5162
2023-01-22,65.5162
2023-01-23,64.0211
2023-01-24,62.8274
2023-01-25,64.2484
2023-01-26,65.2978
2023-01-27,65.4993
2023-01-28,65.4993
2023-01-29,65.4993
2023-01-30,67.3986
2023-01-31,67.7207
2023-02-01,69.1137
2023-02-02,64.9391
2023-02-03,65.439
2023-02-04,65.439
2023-02-05,65.439
2023-02-06,64.9029
2023-02-07,65.6718
2023-02-08,60.6565
2023-02-09,58.4997
2023-02-10,56.9049
2023-02-11,56.9049
2023-02-12,56.9049
2023-02-13,58.039
2023-02-14,57.0929
2023-02-15,62.5113
2023-02-16,60.7585
2023-02-17,62.3255
2023-02-18,62.3255
2023-02-19,62.3255
2023-02-20,62.3255
2023-02-21,61.4899
2023-02-22,61.016
2023-02-23,60.4651
2023-02-24,57.4787
2023-02-25,57.4787
2023-02-26,57.4787
2023-02-27,55.9372
2023-02-28,56.341
2023-03-01,55.005
2023-03-02,56.6893
2023-03-03,57.6974
2023-03-04,57.6974
2023-03-05,57.6974
2023-03-06,55.3325
2023-03-07,53.8531
2023-03-08,54.2656
2023-03-09,53.3772
2023-03-10,50.5549
2023-03-11,50.5549
2023-03-12,50.5549
2023-03-13,47.1365
2023-03-14,46.776
2023-03-15,49.6268
2023-03-16,51.1123
2023-03-17,47.6626
2023-03-18,47.6626
2023-03-19,47.6626
2023-03-20,49.8891
2023-03-21,53.4539
2023-03-22,49.9944
2023-03-23,50.0209
2023-03-24,54.1518
2023-03-25,54.1518
2023-03-26,54.1518
2023-03-27,54.2115
2023-03-28,52.9147
2023-03-29,53.2705
2023-03-30,47.9787
2023-03-31,50.1874
