,MXL US Equity
,RSI_30D
2022-08-02,52.0302
2022-08-03,54.2628
2022-08-04,53.7608
2022-08-05,54.0767
2022-08-06,54.0767
2022-08-07,54.0767
2022-08-08,52.9381
2022-08-09,47.1696
2022-08-10,50.5456
2022-08-11,50.7099
2022-08-12,52.4397
2022-08-13,52.4397
2022-08-14,52.4397
2022-08-15,52.3798
2022-08-16,51.7078
2022-08-17,48.5586
2022-08-18,51.6608
2022-08-19,49.4897
2022-08-20,49.4897
2022-08-21,49.4897
2022-08-22,47.0965
2022-08-23,47.534
2022-08-24,48.184
2022-08-25,51.4376
2022-08-26,48.4931
2022-08-27,48.4931
2022-08-28,48.4931
2022-08-29,46.6431
2022-08-30,46.6577
2022-08-31,45.1354
2022-09-01,43.1408
2022-09-02,45.4802
2022-09-03,45.4802
2022-09-04,45.4802
2022-09-05,45.4802
2022-09-06,45.4171
2022-09-07,46.4784
2022-09-08,47.0342
2022-09-09,48.6584
2022-09-10,48.6584
2022-09-11,48.6584
2022-09-12,48.7657
2022-09-13,44.5413
2022-09-14,44.4894
2022-09-15,44.0509
2022-09-16,44.0682
2022-09-17,44.0682
2022-09-18,44.0682
2022-09-19,44.8436
2022-09-20,44.0821
2022-09-21,44.9218
2022-09-22,42.5372
2022-09-23,42.1191
2022-09-24,42.1191
2022-09-25,42.1191
2022-09-26,41.2251
2022-09-27,43.1936
2022-09-28,44.6
2022-09-29,43.3255
2022-09-30,42.4688
2022-10-01,42.4688
2022-10-02,42.4688
2022-10-03,46.8546
2022-10-04,48.6041
2022-10-05,49.6898
2022-10-06,49.622
2022-10-07,45.8237
2022-10-08,45.8237
2022-10-09,45.8237
2022-10-10,44.0714
2022-10-11,43.5892
2022-10-12,41.308
2022-10-13,43.1249
2022-10-14,40.3629
2022-10-15,40.3629
2022-10-16,40.3629
2022-10-17,42.4298
2022-10-18,41.5495
2022-10-19,41.5221
2022-10-20,41.8792
2022-10-21,43.4085
2022-10-22,43.4085
2022-10-23,43.4085
2022-10-24,44.2364
2022-10-25,45.6847
2022-10-26,43.6256
2022-10-27,42.1296
2022-10-28,45.1746
2022-10-29,45.1746
2022-10-30,45.1746
2022-10-31,43.731
2022-11-01,44.8748
2022-11-02,44.3531
2022-11-03,44.112
2022-11-04,46.4798
2022-11-05,46.4798
2022-11-06,46.4798
2022-11-07,47.5894
2022-11-08,47.8054
2022-11-09,45.4449
2022-11-10,52.3793
2022-11-11,54.0862
2022-11-12,54.0862
2022-11-13,54.0862
2022-11-14,52.049
2022-11-15,54.7114
2022-11-16,51.3504
2022-11-17,51.695
2022-11-18,52.2515
2022-11-19,52.2515
2022-11-20,52.2515
2022-11-21,49.9386
2022-11-22,51.6795
2022-11-23,53.022
2022-11-24,53.022
2022-11-25,52.3144
2022-11-26,52.3144
2022-11-27,52.3144
2022-11-28,50.8746
2022-11-29,49.6003
2022-11-30,53.5076
2022-12-01,53.5696
2022-12-02,53.4037
2022-12-03,53.4037
2022-12-04,53.4037
2022-12-05,51.3208
2022-12-06,50.132
2022-12-07,50.0068
2022-12-08,51.2307
2022-12-09,50.6833
2022-12-10,50.6833
2022-12-11,50.6833
2022-12-12,51.3874
2022-12-13,57.4417
2022-12-14,54.1085
2022-12-15,51.5616
2022-12-16,49.6478
2022-12-17,49.6478
2022-12-18,49.6478
2022-12-19,47.6727
2022-12-20,47.7601
2022-12-21,50.1378
2022-12-22,48.628
2022-12-23,48.429
2022-12-24,48.429
2022-12-25,48.429
2022-12-26,48.429
2022-12-27,47.1973
2022-12-28,45.7338
2022-12-29,48.9026
2022-12-30,48.7503
2022-12-31,48.7503
2023-01-01,48.7503
2023-01-02,48.7503
2023-01-03,46.5982
2023-01-04,47.6363
2023-01-05,47.2629
2023-01-06,49.0652
2023-01-07,49.0652
2023-01-08,49.0652
2023-01-09,50.6111
2023-01-10,52.2514
2023-01-11,53.4384
2023-01-12,54.4899
2023-01-13,54.3057
2023-01-14,54.3057
2023-01-15,54.3057
2023-01-16,54.3057
2023-01-17,54.3943
2023-01-18,53.8757
2023-01-19,52.7696
2023-01-20,54.126
2023-01-21,54.126
2023-01-22,54.126
2023-01-23,58.9983
2023-01-24,57.2486
2023-01-25,58.5991
2023-01-26,59.7272
2023-01-27,60.8313
