,RUTH US Equity
,RSI_30D
2022-07-20,46.9069
2022-07-21,49.2182
2022-07-22,46.3778
2022-07-23,46.3778
2022-07-24,46.3778
2022-07-25,44.9187
2022-07-26,43.1353
2022-07-27,45.743
2022-07-28,49.8521
2022-07-29,49.5253
2022-07-30,49.5253
2022-07-31,49.5253
2022-08-01,49.4834
2022-08-02,50.777
2022-08-03,52.9776
2022-08-04,51.7141
2022-08-05,51.6686
2022-08-06,51.6686
2022-08-07,51.6686
2022-08-08,54.5652
2022-08-09,53.0156
2022-08-10,56.7503
2022-08-11,57.4359
2022-08-12,59.0952
2022-08-13,59.0952
2022-08-14,59.0952
2022-08-15,57.8056
2022-08-16,58.5612
2022-08-17,54.9728
2022-08-18,57.0129
2022-08-19,56.1045
2022-08-20,56.1045
2022-08-21,56.1045
2022-08-22,52.9359
2022-08-23,53.8349
2022-08-24,54.538
2022-08-25,55.9642
2022-08-26,51.7856
2022-08-27,51.7856
2022-08-28,51.7856
2022-08-29,52.5818
2022-08-30,51.2254
2022-08-31,49.7271
2022-09-01,50.2858
2022-09-02,48.8599
2022-09-03,48.8599
2022-09-04,48.8599
2022-09-05,48.8599
2022-09-06,46.7013
2022-09-07,49.2016
2022-09-08,49.5079
2022-09-09,51.2456
2022-09-10,51.2456
2022-09-11,51.2456
2022-09-12,52.5957
2022-09-13,48.5533
2022-09-14,49.1188
2022-09-15,48.3574
2022-09-16,48.5864
2022-09-17,48.5864
2022-09-18,48.5864
2022-09-19,45.7728
2022-09-20,44.6938
2022-09-21,45.2378
2022-09-22,42.7091
2022-09-23,42.3646
2022-09-24,42.3646
2022-09-25,42.3646
2022-09-26,41.9369
2022-09-27,44.1635
2022-09-28,47.0634
2022-09-29,46.6743
2022-09-30,45.3805
2022-10-01,45.3805
2022-10-02,45.3805
2022-10-03,44.28
2022-10-04,49.6263
2022-10-05,49.7171
2022-10-06,48.7629
2022-10-07,46.9006
2022-10-08,46.9006
2022-10-09,46.9006
2022-10-10,46.8565
2022-10-11,47.7205
2022-10-12,50.742
2022-10-13,52.3947
2022-10-14,52.5776
2022-10-15,52.5776
2022-10-16,52.5776
2022-10-17,53.0441
2022-10-18,55.7886
2022-10-19,55.9197
2022-10-20,56.4099
2022-10-21,56.9946
2022-10-22,56.9946
2022-10-23,56.9946
2022-10-24,55.5133
2022-10-25,58.7929
2022-10-26,59.9084
2022-10-27,61.9976
2022-10-28,63.1592
2022-10-29,63.1592
2022-10-30,63.1592
2022-10-31,62.7114
2022-11-01,61.9328
2022-11-02,59.2683
2022-11-03,58.7701
2022-11-04,51.9888
2022-11-05,51.9888
2022-11-06,51.9888
2022-11-07,45.1217
2022-11-08,46.132
2022-11-09,43.3782
2022-11-10,51.1371
2022-11-11,48.3571
2022-11-12,48.3571
2022-11-13,48.3571
2022-11-14,47.4792
2022-11-15,48.4869
2022-11-16,47.729
2022-11-17,46.7015
2022-11-18,46.8768
2022-11-19,46.8768
2022-11-20,46.8768
2022-11-21,46.4423
2022-11-22,48.5069
2022-11-23,48.6849
2022-11-24,48.6849
2022-11-25,50.1982
2022-11-26,50.1982
2022-11-27,50.1982
2022-11-28,45.8009
2022-11-29,46.6592
2022-11-30,47.6079
2022-12-01,47.1534
2022-12-02,45.3618
2022-12-03,45.3618
2022-12-04,45.3618
2022-12-05,44.841
2022-12-06,42.6587
2022-12-07,43.5718
2022-12-08,43.5718
2022-12-09,44.8256
2022-12-10,44.8256
2022-12-11,44.8256
2022-12-12,43.3317
2022-12-13,45.0677
2022-12-14,42.8067
2022-12-15,41.4003
2022-12-16,40.5954
2022-12-17,40.5954
2022-12-18,40.5954
2022-12-19,39.7205
2022-12-20,39.4528
2022-12-21,38.3082
2022-12-22,39.6368
2022-12-23,41.069
2022-12-24,41.069
2022-12-25,41.069
2022-12-26,41.069
2022-12-27,40.0052
2022-12-28,40.1287
2022-12-29,43.6649
2022-12-30,42.4772
2022-12-31,42.4772
2023-01-01,42.4772
2023-01-02,42.4772
2023-01-03,44.5016
2023-01-04,48.3684
2023-01-05,47.889
2023-01-06,50.5749
2023-01-07,50.5749
2023-01-08,50.5749
2023-01-09,54.5946
2023-01-10,55.4883
2023-01-11,54.5365
2023-01-12,55.0243
2023-01-13,55.5179
2023-01-14,55.5179
2023-01-15,55.5179
2023-01-16,55.5179
2023-01-17,51.8267
2023-01-18,50.5175
2023-01-19,49.1347
2023-01-20,52.5423
2023-01-21,52.5423
2023-01-22,52.5423
2023-01-23,53.8487
2023-01-24,49.9721
2023-01-25,51.79
2023-01-26,52.1497
2023-01-27,51.3569
2023-01-28,51.3569
2023-01-29,51.3569
2023-01-30,49.6016
2023-01-31,50.8565
2023-02-01,50.7058
2023-02-02,52.7343
2023-02-03,52.3628
2023-02-04,52.3628
2023-02-05,52.3628
2023-02-06,51.2424
2023-02-07,51.2424
2023-02-08,48.7951
2023-02-09,49.1772
2023-02-10,48.4821
2023-02-11,48.4821
2023-02-12,48.4821
2023-02-13,48.8845
2023-02-14,49.4679
2023-02-15,51.4731
2023-02-16,51.5299
2023-02-17,52.9552
2023-02-18,52.9552
2023-02-19,52.9552
2023-02-20,52.9552
2023-02-21,54.0182
2023-02-22,56.3286
2023-02-23,56.2606
2023-02-24,58.0423
2023-02-25,58.0423
2023-02-26,58.0423
2023-02-27,60.6742
2023-02-28,57.1058
2023-03-01,58.2774
2023-03-02,60.019
2023-03-03,56.4607
2023-03-04,56.4607
2023-03-05,56.4607
