,MAIN US Equity
,RSI_30D
2023-03-18,48.0419
2023-03-19,48.0419
2023-03-20,48.5451
2023-03-21,51.5301
2023-03-22,48.9802
2023-03-23,49.3761
2023-03-24,51.5675
2023-03-25,51.5675
2023-03-26,51.5675
2023-03-27,51.9148
2023-03-28,52.1632
2023-03-29,51.9649
2023-03-30,51.3588
2023-03-31,52.1668
2023-04-01,52.1668
2023-04-02,52.1668
2023-04-03,53.2756
2023-04-04,52.9255
2023-04-05,50.6114
2023-04-06,52.227
2023-04-07,52.227
2023-04-08,52.227
2023-04-09,52.227
2023-04-10,51.9195
2023-04-11,51.8293
2023-04-12,51.5975
2023-04-13,53.6558
2023-04-14,53.2169
2023-04-15,53.2169
2023-04-16,53.2169
2023-04-17,54.7487
2023-04-18,55.0027
2023-04-19,56.6395
2023-04-20,54.2827
2023-04-21,54.8442
2023-04-22,54.8442
2023-04-23,54.8442
2023-04-24,55.5822
2023-04-25,53.9198
2023-04-26,51.8
2023-04-27,54.9295
2023-04-28,56.2721
2023-04-29,56.2721
2023-04-30,56.2721
2023-05-01,56.3142
