,ZBH US Equity
,RSI_30D
2022-04-03,56.4436
2022-04-04,54.182
2022-04-05,57.2786
2022-04-06,55.7528
2022-04-07,57.6318
2022-04-08,57.2776
2022-04-09,57.2776
2022-04-10,57.2776
2022-04-11,54.054
2022-04-12,53.7548
2022-04-13,55.0514
2022-04-14,52.773
2022-04-15,52.773
2022-04-16,52.773
2022-04-17,52.773
2022-04-18,51.8956
2022-04-19,57.0475
2022-04-20,59.7466
2022-04-21,57.2393
2022-04-22,51.1913
2022-04-23,51.1913
2022-04-24,51.1913
2022-04-25,53.0096
2022-04-26,49.6879
2022-04-27,48.5949
2022-04-28,50.1405
2022-04-29,46.8865
2022-04-30,46.8865
2022-05-01,46.8865
2022-05-02,46.8051
2022-05-03,46.8338
2022-05-04,51.8743
2022-05-05,48.6748
2022-05-06,46.9244
2022-05-07,46.9244
2022-05-08,46.9244
2022-05-09,43.0608
2022-05-10,42.4972
2022-05-11,41.9835
2022-05-12,41.7606
2022-05-13,43.6647
2022-05-14,43.6647
2022-05-15,43.6647
2022-05-16,43.713
2022-05-17,47.6689
2022-05-18,45.3987
2022-05-19,45.8178
2022-05-20,46.4647
2022-05-21,46.4647
2022-05-22,46.4647
2022-05-23,49.3425
2022-05-24,48.1452
2022-05-25,47.9446
2022-05-26,49.31
2022-05-27,48.5893
2022-05-28,48.5893
2022-05-29,48.5893
2022-05-30,48.5893
2022-05-31,48.947
2022-06-01,48.0996
2022-06-02,50.7459
2022-06-03,49.401
2022-06-04,49.401
2022-06-05,49.401
2022-06-06,47.3977
2022-06-07,48.1038
2022-06-08,47.5535
2022-06-09,44.4828
2022-06-10,43.1248
2022-06-11,43.1248
2022-06-12,43.1248
2022-06-13,40.5772
2022-06-14,37.2272
2022-06-15,39.0591
2022-06-16,36.6326
2022-06-17,36.264
2022-06-18,36.264
2022-06-19,36.264
2022-06-20,36.264
2022-06-21,35.9972
2022-06-22,39.3801
2022-06-23,40.5308
2022-06-24,43.3052
2022-06-25,43.3052
2022-06-26,43.3052
2022-06-27,43.0293
2022-06-28,41.4877
2022-06-29,41.5624
2022-06-30,40.4262
2022-07-01,42.8244
2022-07-02,42.8244
2022-07-03,42.8244
2022-07-04,42.8244
2022-07-05,42.52
2022-07-06,41.5863
2022-07-07,41.9613
2022-07-08,41.3619
2022-07-09,41.3619
2022-07-10,41.3619
2022-07-11,39.6997
2022-07-12,39.4824
2022-07-13,39.0
2022-07-14,38.3509
2022-07-15,40.7526
2022-07-16,40.7526
2022-07-17,40.7526
2022-07-18,40.7261
2022-07-19,45.3307
2022-07-20,46.2045
2022-07-21,46.726
2022-07-22,45.2632
2022-07-23,45.2632
2022-07-24,45.2632
2022-07-25,46.3418
2022-07-26,46.4873
2022-07-27,50.091
2022-07-28,49.721
2022-07-29,49.2761
2022-07-30,49.2761
2022-07-31,49.2761
2022-08-01,48.5502
2022-08-02,53.3978
2022-08-03,54.9796
2022-08-04,52.3019
2022-08-05,52.1972
2022-08-06,52.1972
2022-08-07,52.1972
2022-08-08,52.0774
2022-08-09,51.2615
2022-08-10,54.0198
2022-08-11,54.0523
2022-08-12,56.4136
2022-08-13,56.4136
2022-08-14,56.4136
2022-08-15,55.7593
2022-08-16,54.9387
2022-08-17,52.9817
2022-08-18,52.8239
2022-08-19,51.1301
2022-08-20,51.1301
2022-08-21,51.1301
2022-08-22,48.7843
2022-08-23,46.3604
2022-08-24,46.8905
2022-08-25,49.7662
2022-08-26,44.803
2022-08-27,44.803
2022-08-28,44.803
2022-08-29,44.9441
2022-08-30,44.6757
2022-08-31,43.5459
2022-09-01,44.2131
2022-09-02,42.87
2022-09-03,42.87
2022-09-04,42.87
2022-09-05,42.87
2022-09-06,42.1803
2022-09-07,47.1925
2022-09-08,49.9121
2022-09-09,54.0241
2022-09-10,54.0241
2022-09-11,54.0241
2022-09-12,58.55
2022-09-13,55.1696
2022-09-14,55.179
2022-09-15,54.4292
2022-09-16,50.9806
2022-09-17,50.9806
2022-09-18,50.9806
2022-09-19,51.7102
2022-09-20,49.9447
2022-09-21,48.3014
2022-09-22,46.1122
2022-09-23,44.4011
2022-09-24,44.4011
2022-09-25,44.4011
2022-09-26,43.4196
2022-09-27,43.1127
2022-09-28,46.3354
2022-09-29,46.1653
2022-09-30,43.6588
2022-10-01,43.6588
2022-10-02,43.6588
2022-10-03,46.8748
2022-10-04,51.4021
2022-10-05,52.1739
2022-10-06,50.2244
2022-10-07,47.9306
2022-10-08,47.9306
2022-10-09,47.9306
2022-10-10,46.6863
2022-10-11,48.1423
2022-10-12,46.9317
2022-10-13,49.4072
2022-10-14,46.9959
2022-10-15,46.9959
2022-10-16,46.9959
2022-10-17,50.5616
2022-10-18,49.1553
2022-10-19,48.3007
2022-10-20,46.6505
2022-10-21,47.7442
2022-10-22,47.7442
2022-10-23,47.7442
2022-10-24,49.4044
2022-10-25,51.0713
2022-10-26,52.5366
2022-10-27,51.7968
2022-10-28,53.6147
2022-10-29,53.6147
2022-10-30,53.6147
2022-10-31,53.4836
2022-11-01,51.8338
2022-11-02,47.6544
2022-11-03,45.5751
2022-11-04,45.0643
2022-11-05,45.0643
2022-11-06,45.0643
2022-11-07,47.9041
2022-11-08,46.6929
2022-11-09,46.2647
2022-11-10,53.1531
2022-11-11,55.3615
2022-11-12,55.3615
2022-11-13,55.3615
2022-11-14,53.1683
2022-11-15,54.6629
2022-11-16,54.0127
2022-11-17,51.7546
2022-11-18,53.4495
2022-11-19,53.4495
2022-11-20,53.4495
2022-11-21,53.8243
2022-11-22,54.5131
2022-11-23,56.7492
2022-11-24,56.7492
2022-11-25,57.7121
2022-11-26,57.7121
2022-11-27,57.7121
2022-11-28,56.0553
2022-11-29,57.1542
2022-11-30,58.0517
2022-12-01,60.5757
2022-12-02,60.138
2022-12-03,60.138
2022-12-04,60.138
2022-12-05,59.3328
2022-12-06,58.2913
2022-12-07,60.5453
2022-12-08,61.8036
2022-12-09,60.0739
2022-12-10,60.0739
2022-12-11,60.0739
2022-12-12,61.416
2022-12-13,63.1209
2022-12-14,62.8835
2022-12-15,61.3504
2022-12-16,59.5769
2022-12-17,59.5769
2022-12-18,59.5769
2022-12-19,58.8195
2022-12-20,59.226
2022-12-21,60.637
2022-12-22,60.2579
2022-12-23,60.3818
2022-12-24,60.3818
2022-12-25,60.3818
2022-12-26,60.3818
2022-12-27,60.9133
2022-12-28,59.1196
2022-12-29,60.8219
2022-12-30,60.3556
2022-12-31,60.3556
2023-01-01,60.3556
2023-01-02,60.3556
2023-01-03,60.0381
2023-01-04,61.1713
2023-01-05,57.7543
2023-01-06,57.2264
2023-01-07,57.2264
2023-01-08,57.2264
2023-01-09,57.5957
2023-01-10,56.7984
2023-01-11,55.1054
2023-01-12,53.5384
2023-01-13,53.757
2023-01-14,53.757
2023-01-15,53.757
2023-01-16,53.757
2023-01-17,53.2245
2023-01-18,51.8879
2023-01-19,51.7001
2023-01-20,54.5034
2023-01-21,54.5034
2023-01-22,54.5034
2023-01-23,56.7483
2023-01-24,56.0371
2023-01-25,55.1358
2023-01-26,55.895
2023-01-27,56.3786
2023-01-28,56.3786
2023-01-29,56.3786
2023-01-30,56.2946
2023-01-31,58.2389
2023-02-01,58.8163
2023-02-02,58.1116
2023-02-03,60.6619
2023-02-04,60.6619
2023-02-05,60.6619
2023-02-06,58.9688
2023-02-07,61.8362
2023-02-08,61.5054
2023-02-09,57.1653
2023-02-10,56.5304
2023-02-11,56.5304
2023-02-12,56.5304
2023-02-13,56.7136
2023-02-14,54.4416
2023-02-15,54.1069
2023-02-16,51.8009
2023-02-17,53.0719
2023-02-18,53.0719
2023-02-19,53.0719
2023-02-20,53.0719
2023-02-21,49.9507
2023-02-22,49.3713
2023-02-23,48.6795
2023-02-24,47.9536
2023-02-25,47.9536
2023-02-26,47.9536
2023-02-27,48.9588
2023-02-28,49.9095
2023-03-01,47.0618
2023-03-02,48.604
2023-03-03,53.5707
2023-03-04,53.5707
2023-03-05,53.5707
2023-03-06,51.0431
2023-03-07,48.8523
2023-03-08,47.0887
