,FDS US Equity
,RSI_30D
2022-10-18,47.7327
2022-10-19,46.885
2022-10-20,45.1758
2022-10-21,47.456
2022-10-22,47.456
2022-10-23,47.456
2022-10-24,48.3612
2022-10-25,50.9414
2022-10-26,50.4793
2022-10-27,52.0934
2022-10-28,53.9652
2022-10-29,53.9652
2022-10-30,53.9652
2022-10-31,52.4712
2022-11-01,52.681
2022-11-02,49.4183
2022-11-03,48.6413
2022-11-04,47.4939
2022-11-05,47.4939
2022-11-06,47.4939
2022-11-07,49.2467
2022-11-08,51.7215
2022-11-09,50.3607
2022-11-10,55.1814
2022-11-11,50.9298
2022-11-12,50.9298
2022-11-13,50.9298
2022-11-14,51.7858
2022-11-15,53.8563
2022-11-16,55.8708
2022-11-17,54.4964
2022-11-18,54.7542
2022-11-19,54.7542
2022-11-20,54.7542
2022-11-21,56.8434
2022-11-22,58.0339
2022-11-23,58.4584
2022-11-24,58.4584
2022-11-25,58.8795
2022-11-26,58.8795
2022-11-27,58.8795
2022-11-28,57.8151
2022-11-29,57.0408
2022-11-30,59.9281
2022-12-01,62.2712
2022-12-02,61.9232
2022-12-03,61.9232
2022-12-04,61.9232
2022-12-05,57.9243
2022-12-06,56.3815
2022-12-07,55.1932
2022-12-08,55.4474
2022-12-09,54.9493
2022-12-10,54.9493
2022-12-11,54.9493
2022-12-12,54.9895
2022-12-13,56.8669
2022-12-14,54.3272
2022-12-15,48.9428
2022-12-16,48.2165
2022-12-17,48.2165
2022-12-18,48.2165
2022-12-19,45.9827
2022-12-20,40.7707
2022-12-21,42.9074
2022-12-22,41.6167
2022-12-23,41.5177
2022-12-24,41.5177
2022-12-25,41.5177
2022-12-26,41.5177
2022-12-27,40.9716
2022-12-28,40.7423
2022-12-29,44.481
2022-12-30,43.2349
2022-12-31,43.2349
2023-01-01,43.2349
2023-01-02,43.2349
2023-01-03,44.6745
2023-01-04,45.2281
2023-01-05,41.8567
2023-01-06,45.1002
2023-01-07,45.1002
2023-01-08,45.1002
2023-01-09,45.1466
2023-01-10,46.5094
2023-01-11,47.5338
2023-01-12,47.8432
2023-01-13,49.9958
2023-01-14,49.9958
2023-01-15,49.9958
2023-01-16,49.9958
2023-01-17,52.0065
2023-01-18,52.2015
2023-01-19,49.8803
2023-01-20,50.5397
2023-01-21,50.5397
2023-01-22,50.5397
2023-01-23,50.6589
2023-01-24,49.301
2023-01-25,47.6105
2023-01-26,49.6579
2023-01-27,51.1285
2023-01-28,51.1285
2023-01-29,51.1285
2023-01-30,49.667
2023-01-31,50.3733
2023-02-01,51.4696
2023-02-02,53.4583
2023-02-03,51.5983
2023-02-04,51.5983
2023-02-05,51.5983
2023-02-06,51.3792
2023-02-07,53.5228
2023-02-08,52.7711
2023-02-09,51.2583
2023-02-10,51.591
2023-02-11,51.591
2023-02-12,51.591
2023-02-13,53.5019
2023-02-14,51.9061
2023-02-15,53.6023
2023-02-16,50.8453
2023-02-17,52.1222
2023-02-18,52.1222
2023-02-19,52.1222
2023-02-20,52.1222
2023-02-21,49.0937
2023-02-22,49.241
2023-02-23,50.5951
2023-02-24,48.927
2023-02-25,48.927
2023-02-26,48.927
2023-02-27,48.7372
2023-02-28,46.9912
2023-03-01,46.4209
2023-03-02,47.1183
2023-03-03,49.5037
2023-03-04,49.5037
2023-03-05,49.5037
2023-03-06,48.5099
2023-03-07,45.6556
2023-03-08,45.1453
