,2078185D US Equity
,RSI_30D
2022-04-11,68.0281
2022-04-12,68.0281
2022-04-13,68.0281
2022-04-14,68.0281
2022-04-15,68.0281
2022-04-16,68.0281
2022-04-17,68.0281
2022-04-18,68.0281
2022-04-19,68.0281
2022-04-20,68.0281
2022-04-21,68.0281
2022-04-22,68.0281
2022-04-23,68.0281
2022-04-24,68.0281
2022-04-25,68.0281
2022-04-26,68.0281
2022-04-27,68.0281
2022-04-28,68.0281
2022-04-29,68.0281
2022-04-30,68.0281
2022-05-01,68.0281
2022-05-02,68.0281
2022-05-03,68.0281
2022-05-04,68.0281
2022-05-05,68.0281
2022-05-06,68.0281
2022-05-07,68.0281
2022-05-08,68.0281
2022-05-09,68.0281
2022-05-10,68.0281
2022-05-11,68.0281
2022-05-12,68.0281
2022-05-13,68.0281
2022-05-14,68.0281
2022-05-15,68.0281
2022-05-16,68.0281
2022-05-17,68.0281
2022-05-18,68.0281
2022-05-19,68.0281
2022-05-20,68.0281
2022-05-21,68.0281
2022-05-22,68.0281
2022-05-23,68.0281
2022-05-24,68.0281
2022-05-25,68.0281
2022-05-26,68.0281
2022-05-27,68.0281
2022-05-28,68.0281
2022-05-29,68.0281
2022-05-30,68.0281
2022-05-31,68.0281
2022-06-01,68.0281
2022-06-02,68.0281
2022-06-03,68.0281
2022-06-04,68.0281
2022-06-05,68.0281
2022-06-06,68.0281
2022-06-07,68.0281
2022-06-08,68.0281
2022-06-09,68.0281
2022-06-10,68.0281
2022-06-11,68.0281
2022-06-12,68.0281
2022-06-13,68.0281
2022-06-14,68.0281
2022-06-15,68.0281
2022-06-16,68.0281
2022-06-17,68.0281
2022-06-18,68.0281
2022-06-19,68.0281
2022-06-20,68.0281
2022-06-21,68.0281
2022-06-22,68.0281
2022-06-23,68.0281
2022-06-24,68.0281
2022-06-25,68.0281
2022-06-26,68.0281
2022-06-27,68.0281
2022-06-28,68.0281
2022-06-29,68.0281
2022-06-30,68.0281
2022-07-01,68.0281
2022-07-02,68.0281
2022-07-03,68.0281
2022-07-04,68.0281
2022-07-05,68.0281
2022-07-06,68.0281
2022-07-07,68.0281
2022-07-08,68.0281
2022-07-09,68.0281
2022-07-10,68.0281
2022-07-11,68.0281
2022-07-12,68.0281
2022-07-13,68.0281
2022-07-14,68.0281
2022-07-15,68.0281
2022-07-16,68.0281
2022-07-17,68.0281
2022-07-18,68.0281
2022-07-19,68.0281
2022-07-20,68.0281
2022-07-21,68.0281
2022-07-22,68.0281
2022-07-23,68.0281
2022-07-24,68.0281
2022-07-25,68.0281
2022-07-26,68.0281
2022-07-27,68.0281
2022-07-28,68.0281
2022-07-29,68.0281
2022-07-30,68.0281
2022-07-31,68.0281
2022-08-01,68.0281
2022-08-02,68.0281
2022-08-03,68.0281
2022-08-04,68.0281
2022-08-05,68.0281
2022-08-06,68.0281
2022-08-07,68.0281
2022-08-08,68.0281
2022-08-09,68.0281
2022-08-10,68.0281
2022-08-11,68.0281
2022-08-12,68.0281
2022-08-13,68.0281
2022-08-14,68.0281
2022-08-15,68.0281
2022-08-16,68.0281
2022-08-17,68.0281
2022-08-18,68.0281
2022-08-19,68.0281
2022-08-20,68.0281
2022-08-21,68.0281
2022-08-22,68.0281
2022-08-23,68.0281
2022-08-24,68.0281
2022-08-25,68.0281
2022-08-26,68.0281
2022-08-27,68.0281
2022-08-28,68.0281
2022-08-29,68.0281
2022-08-30,68.0281
2022-08-31,68.0281
2022-09-01,68.0281
2022-09-02,68.0281
2022-09-03,68.0281
2022-09-04,68.0281
2022-09-05,68.0281
2022-09-06,68.0281
2022-09-07,68.0281
2022-09-08,68.0281
2022-09-09,68.0281
2022-09-10,68.0281
2022-09-11,68.0281
2022-09-12,68.0281
2022-09-13,68.0281
2022-09-14,68.0281
2022-09-15,68.0281
2022-09-16,68.0281
2022-09-17,68.0281
2022-09-18,68.0281
2022-09-19,68.0281
2022-09-20,68.0281
2022-09-21,68.0281
2022-09-22,68.0281
2022-09-23,68.0281
2022-09-24,68.0281
2022-09-25,68.0281
2022-09-26,68.0281
2022-09-27,68.0281
2022-09-28,68.0281
2022-09-29,68.0281
2022-09-30,68.0281
2022-10-01,68.0281
2022-10-02,68.0281
2022-10-03,68.0281
2022-10-04,68.0281
2022-10-05,68.0281
2022-10-06,68.0281
2022-10-07,68.0281
2022-10-08,68.0281
2022-10-09,68.0281
2022-10-10,68.0281
2022-10-11,68.0281
2022-10-12,68.0281
2022-10-13,68.0281
2022-10-14,68.0281
2022-10-15,68.0281
2022-10-16,68.0281
2022-10-17,68.0281
2022-10-18,68.0281
2022-10-19,68.0281
2022-10-20,68.0281
2022-10-21,68.0281
2022-10-22,68.0281
2022-10-23,68.0281
2022-10-24,68.0281
2022-10-25,68.0281
2022-10-26,68.0281
2022-10-27,68.0281
2022-10-28,68.0281
2022-10-29,68.0281
2022-10-30,68.0281
2022-10-31,68.0281
2022-11-01,68.0281
2022-11-02,68.0281
2022-11-03,68.0281
2022-11-04,68.0281
2022-11-05,68.0281
2022-11-06,68.0281
2022-11-07,68.0281
2022-11-08,68.0281
2022-11-09,68.0281
2022-11-10,68.0281
2022-11-11,68.0281
2022-11-12,68.0281
2022-11-13,68.0281
2022-11-14,68.0281
2022-11-15,68.0281
2022-11-16,68.0281
2022-11-17,68.0281
2022-11-18,68.0281
2022-11-19,68.0281
2022-11-20,68.0281
2022-11-21,68.0281
2022-11-22,68.0281
2022-11-23,68.0281
2022-11-24,68.0281
2022-11-25,68.0281
2022-11-26,68.0281
2022-11-27,68.0281
2022-11-28,68.0281
2022-11-29,68.0281
2022-11-30,68.0281
2022-12-01,68.0281
2022-12-02,68.0281
2022-12-03,68.0281
2022-12-04,68.0281
2022-12-05,68.0281
2022-12-06,68.0281
2022-12-07,68.0281
2022-12-08,68.0281
2022-12-09,68.0281
2022-12-10,68.0281
2022-12-11,68.0281
2022-12-12,68.0281
2022-12-13,68.0281
2022-12-14,68.0281
2022-12-15,68.0281
2022-12-16,68.0281
2022-12-17,68.0281
2022-12-18,68.0281
2022-12-19,68.0281
2022-12-20,68.0281
2022-12-21,68.0281
2022-12-22,68.0281
2022-12-23,68.0281
2022-12-24,68.0281
2022-12-25,68.0281
2022-12-26,68.0281
2022-12-27,68.0281
2022-12-28,68.0281
2022-12-29,68.0281
2022-12-30,68.0281
2022-12-31,68.0281
2023-01-01,68.0281
2023-01-02,68.0281
2023-01-03,68.0281
2023-01-04,68.0281
2023-01-05,68.0281
2023-01-06,68.0281
2023-01-07,68.0281
2023-01-08,68.0281
2023-01-09,68.0281
2023-01-10,68.0281
2023-01-11,68.0281
2023-01-12,68.0281
2023-01-13,68.0281
2023-01-14,68.0281
2023-01-15,68.0281
2023-01-16,68.0281
2023-01-17,68.0281
2023-01-18,68.0281
2023-01-19,68.0281
2023-01-20,68.0281
2023-01-21,68.0281
2023-01-22,68.0281
2023-01-23,68.0281
2023-01-24,68.0281
2023-01-25,68.0281
2023-01-26,68.0281
2023-01-27,68.0281
2023-01-28,68.0281
2023-01-29,68.0281
2023-01-30,68.0281
2023-01-31,68.0281
2023-02-01,68.0281
2023-02-02,68.0281
2023-02-03,68.0281
2023-02-04,68.0281
2023-02-05,68.0281
2023-02-06,68.0281
2023-02-07,68.0281
2023-02-08,68.0281
2023-02-09,68.0281
2023-02-10,68.0281
2023-02-11,68.0281
2023-02-12,68.0281
2023-02-13,68.0281
2023-02-14,68.0281
2023-02-15,68.0281
2023-02-16,68.0281
2023-02-17,68.0281
2023-02-18,68.0281
2023-02-19,68.0281
2023-02-20,68.0281
2023-02-21,68.0281
2023-02-22,68.0281
2023-02-23,68.0281
2023-02-24,68.0281
2023-02-25,68.0281
2023-02-26,68.0281
2023-02-27,68.0281
2023-02-28,68.0281
2023-03-01,68.0281
2023-03-02,68.0281
2023-03-03,68.0281
2023-03-04,68.0281
2023-03-05,68.0281
2023-03-06,68.0281
2023-03-07,68.0281
2023-03-08,68.0281
2023-03-09,68.0281
2023-03-10,68.0281
2023-03-11,68.0281
2023-03-12,68.0281
2023-03-13,68.0281
2023-03-14,68.0281
2023-03-15,68.0281
2023-03-16,68.0281
2023-03-17,68.0281
2023-03-18,68.0281
2023-03-19,68.0281
2023-03-20,68.0281
2023-03-21,68.0281
2023-03-22,68.0281
2023-03-23,68.0281
2023-03-24,68.0281
2023-03-25,68.0281
2023-03-26,68.0281
2023-03-27,68.0281
2023-03-28,68.0281
2023-03-29,68.0281
2023-03-30,68.0281
2023-03-31,68.0281
2023-04-01,68.0281
2023-04-02,68.0281
2023-04-03,68.0281
2023-04-04,68.0281
2023-04-05,68.0281
2023-04-06,68.0281
2023-04-07,68.0281
2023-04-08,68.0281
2023-04-09,68.0281
2023-04-10,68.0281
2023-04-11,68.0281
2023-04-12,68.0281
2023-04-13,68.0281
2023-04-14,68.0281
2023-04-15,68.0281
2023-04-16,68.0281
2023-04-17,68.0281
2023-04-18,68.0281
2023-04-19,68.0281
2023-04-20,68.0281
2023-04-21,68.0281
2023-04-22,68.0281
2023-04-23,68.0281
2023-04-24,68.0281
2023-04-25,68.0281
2023-04-26,68.0281
2023-04-27,68.0281
2023-04-28,68.0281
2023-04-29,68.0281
2023-04-30,68.0281
2023-05-01,68.0281
2023-05-02,68.0281
2023-05-03,68.0281
2023-05-04,68.0281
2023-05-05,68.0281
2023-05-06,68.0281
2023-05-07,68.0281
2023-05-08,68.0281
2023-05-09,68.0281
2023-05-10,68.0281
2023-05-11,68.0281
2023-05-12,68.0281
2023-05-13,68.0281
2023-05-14,68.0281
2023-05-15,68.0281
2023-05-16,68.0281
2023-05-17,68.0281
2023-05-18,68.0281
2023-05-19,68.0281
2023-05-20,68.0281
2023-05-21,68.0281
2023-05-22,68.0281
2023-05-23,68.0281
2023-05-24,68.0281
2023-05-25,68.0281
2023-05-26,68.0281
2023-05-27,68.0281
2023-05-28,68.0281
2023-05-29,68.0281
2023-05-30,68.0281
2023-05-31,68.0281
2023-06-01,68.0281
2023-06-02,68.0281
2023-06-03,68.0281
2023-06-04,68.0281
2023-06-05,68.0281
2023-06-06,68.0281
2023-06-07,68.0281
2023-06-08,68.0281
2023-06-09,68.0281
2023-06-10,68.0281
2023-06-11,68.0281
2023-06-12,68.0281
2023-06-13,68.0281
2023-06-14,68.0281
2023-06-15,68.0281
2023-06-16,68.0281
