,BY US Equity
,RSI_30D
2022-01-17,59.6094
2022-01-18,58.6577
2022-01-19,54.8634
2022-01-20,50.0177
2022-01-21,49.7366
2022-01-22,49.7366
2022-01-23,49.7366
2022-01-24,53.057
2022-01-25,53.7498
2022-01-26,51.7738
2022-01-27,47.9027
2022-01-28,46.5061
2022-01-29,46.5061
2022-01-30,46.5061
2022-01-31,45.0646
2022-02-01,48.5524
2022-02-02,45.6742
2022-02-03,45.6348
2022-02-04,47.0528
2022-02-05,47.0528
2022-02-06,47.0528
2022-02-07,47.9454
2022-02-08,52.3619
2022-02-09,50.1397
2022-02-10,50.1826
2022-02-11,50.7089
2022-02-12,50.7089
2022-02-13,50.7089
2022-02-14,50.2059
2022-02-15,52.0831
2022-02-16,51.7945
2022-02-17,51.3045
2022-02-18,51.3996
2022-02-19,51.3996
2022-02-20,51.3996
2022-02-21,51.3996
2022-02-22,50.133
2022-02-23,50.2345
2022-02-24,48.1075
2022-02-25,51.9648
2022-02-26,51.9648
2022-02-27,51.9648
2022-02-28,51.6041
2022-03-01,47.7806
2022-03-02,52.8745
2022-03-03,54.3
2022-03-04,51.4137
2022-03-05,51.4137
2022-03-06,51.4137
2022-03-07,47.8347
2022-03-08,48.8553
2022-03-09,51.2981
2022-03-10,51.165
2022-03-11,51.769
2022-03-12,51.769
2022-03-13,51.769
2022-03-14,52.2057
2022-03-15,49.0362
2022-03-16,50.3469
2022-03-17,49.6635
2022-03-18,49.0663
2022-03-19,49.0663
2022-03-20,49.0663
2022-03-21,49.1636
2022-03-22,50.5319
2022-03-23,47.1556
2022-03-24,48.0042
2022-03-25,49.9129
2022-03-26,49.9129
2022-03-27,49.9129
2022-03-28,48.0868
2022-03-29,49.603
2022-03-30,48.5617
2022-03-31,48.6631
2022-04-01,46.6202
2022-04-02,46.6202
2022-04-03,46.6202
2022-04-04,45.1607
2022-04-05,43.0269
2022-04-06,41.6155
2022-04-07,40.642
2022-04-08,39.1803
2022-04-09,39.1803
2022-04-10,39.1803
2022-04-11,38.7131
2022-04-12,38.164
2022-04-13,40.8309
2022-04-14,39.0482
2022-04-15,39.0482
2022-04-16,39.0482
2022-04-17,39.0482
2022-04-18,40.6326
2022-04-19,43.8829
2022-04-20,43.9396
2022-04-21,42.3463
2022-04-22,40.6926
2022-04-23,40.6926
2022-04-24,40.6926
2022-04-25,40.1109
2022-04-26,36.842
2022-04-27,36.6215
2022-04-28,39.6129
2022-04-29,38.5159
2022-04-30,38.5159
2022-05-01,38.5159
2022-05-02,38.3199
2022-05-03,40.633
2022-05-04,43.7025
2022-05-05,41.5242
2022-05-06,40.9835
2022-05-07,40.9835
2022-05-08,40.9835
2022-05-09,40.9411
2022-05-10,39.5437
2022-05-11,41.0573
2022-05-12,40.4462
2022-05-13,39.9628
2022-05-14,39.9628
2022-05-15,39.9628
2022-05-16,39.3002
2022-05-17,46.0274
2022-05-18,43.9473
2022-05-19,42.068
2022-05-20,44.6857
2022-05-21,44.6857
2022-05-22,44.6857
2022-05-23,48.408
2022-05-24,48.078
2022-05-25,48.1824
2022-05-26,49.5977
2022-05-27,50.631
2022-05-28,50.631
2022-05-29,50.631
2022-05-30,50.631
2022-05-31,51.2002
2022-06-01,51.0342
2022-06-02,52.1575
2022-06-03,51.2312
2022-06-04,51.2312
2022-06-05,51.2312
2022-06-06,52.9597
2022-06-07,52.3598
2022-06-08,49.407
2022-06-09,46.3329
2022-06-10,44.8884
2022-06-11,44.8884
2022-06-12,44.8884
2022-06-13,41.053
2022-06-14,43.9993
2022-06-15,44.4018
2022-06-16,43.2533
2022-06-17,43.9136
2022-06-18,43.9136
2022-06-19,43.9136
2022-06-20,43.9136
