,SIVBQ US Equity
,RSI_30D
2022-11-13,37.3308
2022-11-14,35.4674
2022-11-15,39.4442
2022-11-16,38.8451
2022-11-17,37.3502
2022-11-18,37.5322
2022-11-19,37.5322
2022-11-20,37.5322
2022-11-21,36.5176
2022-11-22,36.9683
2022-11-23,38.012
2022-11-24,38.012
2022-11-25,38.098
2022-11-26,38.098
2022-11-27,38.098
2022-11-28,37.4158
2022-11-29,37.7811
2022-11-30,40.5993
2022-12-01,40.0636
2022-12-02,39.5772
2022-12-03,39.5772
2022-12-04,39.5772
2022-12-05,37.3162
2022-12-06,36.0945
2022-12-07,37.9707
2022-12-08,41.1699
2022-12-09,40.8105
2022-12-10,40.8105
2022-12-11,40.8105
2022-12-12,41.508
2022-12-13,43.8587
2022-12-14,43.2598
2022-12-15,41.6223
2022-12-16,40.4776
2022-12-17,40.4776
2022-12-18,40.4776
2022-12-19,40.0019
2022-12-20,40.4994
2022-12-21,41.6812
2022-12-22,41.4115
2022-12-23,41.676
2022-12-24,41.676
2022-12-25,41.676
2022-12-26,41.676
2022-12-27,41.5393
2022-12-28,41.6303
2022-12-29,46.2579
2022-12-30,45.3395
2022-12-31,45.3395
2023-01-01,45.3395
2023-01-02,45.3395
2023-01-03,44.3416
2023-01-04,47.9183
2023-01-05,46.3668
2023-01-06,49.3639
2023-01-07,49.3639
2023-01-08,49.3639
2023-01-09,50.1585
2023-01-10,50.8705
2023-01-11,51.3812
2023-01-12,51.1029
2023-01-13,50.8375
2023-01-14,50.8375
2023-01-15,50.8375
2023-01-16,50.8375
2023-01-17,52.536
2023-01-18,50.5429
2023-01-19,50.0671
2023-01-20,58.6598
2023-01-21,58.6598
2023-01-22,58.6598
2023-01-23,59.9096
2023-01-24,57.3515
2023-01-25,58.4882
2023-01-26,58.6412
2023-01-27,59.8551
2023-01-28,59.8551
2023-01-29,59.8551
2023-01-30,57.6777
2023-01-31,59.2126
2023-02-01,61.0956
2023-02-02,64.2368
2023-02-03,61.6052
2023-02-04,61.6052
2023-02-05,61.6052
2023-02-06,59.8597
2023-02-07,61.0247
2023-02-08,60.2851
2023-02-09,59.1515
2023-02-10,57.6931
2023-02-11,57.6931
2023-02-12,57.6931
2023-02-13,57.973
2023-02-14,57.7689
2023-02-15,58.902
2023-02-16,55.1111
2023-02-17,52.9374
2023-02-18,52.9374
2023-02-19,52.9374
2023-02-20,52.9374
2023-02-21,51.3155
2023-02-22,51.7132
2023-02-23,52.0349
2023-02-24,50.581
2023-02-25,50.581
2023-02-26,50.581
2023-02-27,51.277
2023-02-28,51.7858
2023-03-01,50.5142
2023-03-02,49.0762
2023-03-03,50.864
2023-03-04,50.864
2023-03-05,50.864
2023-03-06,50.5168
2023-03-07,46.7464
2023-03-08,46.8618
2023-03-09,25.6926
2023-03-10,25.6926
2023-03-11,25.6926
2023-03-12,25.6926
2023-03-13,25.6926
2023-03-14,25.6926
2023-03-15,25.6926
2023-03-16,25.6926
2023-03-17,25.6926
2023-03-18,25.6926
2023-03-19,25.6926
2023-03-20,25.6926
2023-03-21,25.6926
2023-03-22,25.6926
2023-03-23,25.6926
2023-03-24,25.6926
2023-03-25,25.6926
2023-03-26,25.6926
2023-03-27,25.6926
2023-03-28,19.6859
2023-03-29,19.7905
2023-03-30,19.787
2023-03-31,19.789
2023-04-01,19.789
2023-04-02,19.789
2023-04-03,19.8052
2023-04-04,19.8044
2023-04-05,19.8012
2023-04-06,19.7951
2023-04-07,19.7951
2023-04-08,19.7951
2023-04-09,19.7951
2023-04-10,19.784
2023-04-11,19.7825
2023-04-12,19.7816
2023-04-13,19.788
2023-04-14,19.7873
2023-04-15,19.7873
2023-04-16,19.7873
2023-04-17,19.7858
2023-04-18,19.7853
2023-04-19,19.8972
2023-04-20,19.8851
2023-04-21,19.8805
2023-04-22,19.8805
2023-04-23,19.8805
2023-04-24,19.8833
2023-04-25,19.8713
2023-04-26,19.8762
2023-04-27,19.8736
2023-04-28,19.867
2023-04-29,19.867
2023-04-30,19.867
2023-05-01,19.8747
2023-05-02,19.8723
2023-05-03,19.8697
2023-05-04,19.8647
2023-05-05,19.8845
2023-05-06,19.8845
2023-05-07,19.8845
2023-05-08,19.8929
2023-05-09,19.9132
2023-05-10,19.9118
2023-05-11,19.9077
2023-05-12,19.9129
2023-05-13,19.9129
2023-05-14,19.9129
2023-05-15,19.9151
2023-05-16,19.9127
2023-05-17,19.9117
2023-05-18,19.9206
2023-05-19,19.9162
2023-05-20,19.9162
2023-05-21,19.9162
2023-05-22,19.9199
2023-05-23,19.9179
2023-05-24,19.9102
2023-05-25,19.9176
2023-05-26,19.9249
2023-05-27,19.9249
2023-05-28,19.9249
2023-05-29,19.9249
2023-05-30,19.9196
2023-05-31,19.9183
2023-06-01,19.9183
2023-06-02,19.9141
2023-06-03,19.9141
2023-06-04,19.9141
2023-06-05,19.9132
2023-06-06,19.909
2023-06-07,19.9063
2023-06-08,19.8991
