,USDKRW BGN Curncy
,PX_LAST
2012-09-29,1111.38
2012-09-30,1111.38
2012-10-01,1114.99
2012-10-02,1112.68
2012-10-03,1115.4
2012-10-04,1113.75
2012-10-05,1111.4
2012-10-06,1111.4
2012-10-07,1111.4
2012-10-08,1112.05
2012-10-09,1110.8
2012-10-10,1114.7
2012-10-11,1114.35
2012-10-12,1111.3
2012-10-13,1111.3
2012-10-14,1111.3
2012-10-15,1110.45
2012-10-16,1107.19
2012-10-17,1105.57
2012-10-18,1104.38
2012-10-19,1103.45
2012-10-20,1103.45
2012-10-21,1103.45
2012-10-22,1104.25
2012-10-23,1102.97
2012-10-24,1103.74
2012-10-25,1098.05
2012-10-26,1097.03
2012-10-27,1097.03
2012-10-28,1097.03
2012-10-29,1095.9
2012-10-30,1091.5
2012-10-31,1090.7
2012-11-01,1092.36
2012-11-02,1090.8
2012-11-03,1090.8
2012-11-04,1090.8
2012-11-05,1091.1
2012-11-06,1090.7
2012-11-07,1085.45
2012-11-08,1089.65
2012-11-09,1087.85
2012-11-10,1087.85
2012-11-11,1087.85
2012-11-12,1088.65
2012-11-13,1089.9
2012-11-14,1085.05
2012-11-15,1086.73
2012-11-16,1092.23
2012-11-17,1092.23
2012-11-18,1092.23
2012-11-19,1086.98
2012-11-20,1082.23
2012-11-21,1083.35
2012-11-22,1085.73
2012-11-23,1086.14
2012-11-24,1086.14
2012-11-25,1086.14
2012-11-26,1085.48
2012-11-27,1084.08
2012-11-28,1086.43
2012-11-29,1084.13
2012-11-30,1082.85
2012-12-01,1082.85
2012-12-02,1082.85
2012-12-03,1083.0
2012-12-04,1083.45
2012-12-05,1081.5
2012-12-06,1083.1
2012-12-07,1081.55
2012-12-08,1081.55
2012-12-09,1081.55
2012-12-10,1079.13
2012-12-11,1076.68
2012-12-12,1074.93
2012-12-13,1073.03
2012-12-14,1074.68
2012-12-15,1074.68
2012-12-16,1074.68
2012-12-17,1072.43
2012-12-18,1073.23
2012-12-19,1072.48
2012-12-20,1074.85
2012-12-21,1074.35
2012-12-22,1074.35
2012-12-23,1074.35
2012-12-24,1074.15
2012-12-25,1074.15
2012-12-26,1073.28
2012-12-27,1072.16
2012-12-28,1070.53
2012-12-29,1070.53
2012-12-30,1070.53
2012-12-31,1064.4
2013-01-01,1064.4
2013-01-02,1063.57
2013-01-03,1061.65
2013-01-04,1063.68
2013-01-05,1063.68
2013-01-06,1063.68
2013-01-07,1063.76
2013-01-08,1062.9
2013-01-09,1061.6
2013-01-10,1060.32
2013-01-11,1054.69
2013-01-12,1054.69
2013-01-13,1054.69
2013-01-14,1056.13
2013-01-15,1056.55
2013-01-16,1058.73
2013-01-17,1058.11
2013-01-18,1057.08
2013-01-19,1057.08
2013-01-20,1057.08
2013-01-21,1062.88
2013-01-22,1062.3
2013-01-23,1066.18
2013-01-24,1068.85
2013-01-25,1074.05
2013-01-26,1074.05
2013-01-27,1074.05
2013-01-28,1092.63
2013-01-29,1082.6
2013-01-30,1085.46
2013-01-31,1088.59
2013-02-01,1097.38
2013-02-02,1097.38
2013-02-03,1097.38
2013-02-04,1084.78
2013-02-05,1087.0
2013-02-06,1088.0
2013-02-07,1087.9
2013-02-08,1095.8
2013-02-09,1095.8
2013-02-10,1095.8
2013-02-11,1092.4
2013-02-12,1090.69
2013-02-13,1086.94
2013-02-14,1083.59
2013-02-15,1078.2
2013-02-16,1078.2
2013-02-17,1078.2
2013-02-18,1082.1
2013-02-19,1081.05
2013-02-20,1078.3
2013-02-21,1086.24
2013-02-22,1084.68
2013-02-23,1084.68
2013-02-24,1084.68
2013-02-25,1086.36
2013-02-26,1088.0
2013-02-27,1084.48
2013-02-28,1082.9
