,CLX US Equity
,BEST_DIV_YLD
2022-08-05,3.784
2022-08-06,3.784
2022-08-07,3.784
2022-08-08,3.637
2022-08-09,3.667
2022-08-10,3.625
2022-08-11,3.637
2022-08-12,3.593
2022-08-13,3.593
2022-08-14,3.593
2022-08-15,3.534
2022-08-16,3.512
2022-08-17,3.538
2022-08-18,3.536
2022-08-19,3.533
2022-08-20,3.533
2022-08-21,3.533
2022-08-22,3.526
2022-08-23,3.551
2022-08-24,3.554
2022-08-25,3.556
2022-08-26,3.634
2022-08-27,3.634
2022-08-28,3.634
2022-08-29,3.624
2022-08-30,3.61
2022-08-31,3.643
2022-09-01,3.605
2022-09-02,3.681
2022-09-03,3.681
2022-09-04,3.681
2022-09-05,3.681
2022-09-06,3.685
2022-09-07,3.592
2022-09-08,3.607
2022-09-09,3.533
2022-09-10,3.533
2022-09-11,3.533
2022-09-12,3.535
2022-09-13,3.635
2022-09-14,3.694
2022-09-15,3.724
2022-09-16,3.69
2022-09-17,3.69
2022-09-18,3.69
2022-09-19,3.66
2022-09-20,3.719
2022-09-21,3.701
2022-09-22,3.719
2022-09-23,3.712
2022-09-24,3.712
2022-09-25,3.712
2022-09-26,3.753
2022-09-27,3.876
2022-09-28,3.856
2022-09-29,3.947
2022-09-30,4.094
2022-10-01,4.094
2022-10-02,4.094
2022-10-03,4.051
2022-10-04,3.994
2022-10-05,3.992
2022-10-06,4.042
2022-10-07,4.163
2022-10-08,4.163
2022-10-09,4.163
2022-10-10,4.159
2022-10-11,4.083
2022-10-12,4.055
2022-10-13,3.996
2022-10-14,3.981
2022-10-15,3.981
2022-10-16,3.981
2022-10-17,3.924
2022-10-18,3.874
2022-10-19,3.825
2022-10-20,3.933
2022-10-21,3.843
2022-10-22,3.843
2022-10-23,3.843
2022-10-24,3.779
2022-10-25,3.696
2022-10-26,3.67
2022-10-27,3.629
2022-10-28,3.504
2022-10-29,3.504
2022-10-30,3.504
2022-10-31,3.555
2022-11-01,3.526
2022-11-02,3.757
2022-11-03,3.742
2022-11-04,3.677
2022-11-05,3.677
2022-11-06,3.677
2022-11-07,3.594
2022-11-08,3.617
2022-11-09,3.67
2022-11-10,3.576
2022-11-11,3.628
2022-11-12,3.628
2022-11-13,3.628
2022-11-14,3.609
2022-11-15,3.547
2022-11-16,3.599
2022-11-17,3.524
2022-11-18,3.502
2022-11-19,3.502
2022-11-20,3.502
2022-11-21,3.442
2022-11-22,3.404
2022-11-23,3.447
2022-11-24,3.447
2022-11-25,3.438
2022-11-26,3.438
2022-11-27,3.438
2022-11-28,3.449
2022-11-29,3.487
2022-11-30,3.452
2022-12-01,3.424
2022-12-02,3.405
2022-12-03,3.405
2022-12-04,3.405
2022-12-05,3.443
2022-12-06,3.486
2022-12-07,3.431
2022-12-08,3.41
2022-12-09,3.443
2022-12-10,3.443
2022-12-11,3.443
2022-12-12,3.416
2022-12-13,3.47
2022-12-14,3.455
2022-12-15,3.5
2022-12-16,3.543
2022-12-17,3.543
2022-12-18,3.543
2022-12-19,3.537
2022-12-20,3.585
2022-12-21,3.567
2022-12-22,3.523
2022-12-23,3.555
2022-12-24,3.555
2022-12-25,3.555
2022-12-26,3.555
2022-12-27,3.551
2022-12-28,3.598
2022-12-29,3.597
2022-12-30,3.65
2022-12-31,3.65
2023-01-01,3.65
2023-01-02,3.65
2023-01-03,3.605
2023-01-04,3.569
2023-01-05,3.61
2023-01-06,3.551
2023-01-07,3.551
2023-01-08,3.551
2023-01-09,3.595
2023-01-10,3.638
2023-01-11,3.613
2023-01-12,3.602
