,M US Equity
,BEST_DIV_YLD
2022-07-23,4.081
2022-07-24,4.081
2022-07-25,4.124
2022-07-26,4.446
2022-07-27,4.278
2022-07-28,4.278
2022-07-29,4.229
2022-07-30,4.229
2022-07-31,4.229
2022-08-01,4.187
2022-08-02,4.338
2022-08-03,4.12
2022-08-04,4.225
2022-08-05,4.184
2022-08-06,4.184
2022-08-07,4.184
2022-08-08,3.975
2022-08-09,4.258
2022-08-10,4.079
2022-08-11,3.822
2022-08-12,3.74
2022-08-13,3.74
2022-08-14,3.74
2022-08-15,3.74
2022-08-16,3.536
2022-08-17,3.654
2022-08-18,3.674
2022-08-19,3.848
2022-08-20,3.848
2022-08-21,3.848
2022-08-22,4.011
2022-08-23,3.866
2022-08-24,4.024
2022-08-25,3.916
2022-08-26,4.039
2022-08-27,4.039
2022-08-28,4.039
2022-08-29,4.133
2022-08-30,4.179
2022-08-31,4.298
2022-09-01,4.363
2022-09-02,4.353
2022-09-03,4.353
2022-09-04,4.353
2022-09-05,4.353
2022-09-06,4.423
2022-09-07,4.285
2022-09-08,4.234
2022-09-09,4.088
2022-09-10,4.088
2022-09-11,4.088
2022-09-12,4.056
2022-09-13,4.345
2022-09-14,4.448
2022-09-15,4.427
2022-09-16,4.414
2022-09-17,4.414
2022-09-18,4.414
2022-09-19,4.343
2022-09-20,4.456
2022-09-21,4.483
2022-09-22,4.671
2022-09-23,4.691
2022-09-24,4.691
2022-09-25,4.691
2022-09-26,4.849
2022-09-27,4.662
2022-09-28,4.462
2022-09-29,4.656
2022-09-30,4.706
2022-10-01,4.706
2022-10-02,4.706
2022-10-03,4.584
2022-10-04,4.263
2022-10-05,4.207
2022-10-06,4.207
2022-10-07,4.229
2022-10-08,4.229
2022-10-09,4.229
2022-10-10,4.295
2022-10-11,4.205
2022-10-12,4.186
2022-10-13,4.097
2022-10-14,4.224
2022-10-15,4.224
2022-10-16,4.224
2022-10-17,4.043
2022-10-18,3.888
2022-10-19,3.931
2022-10-20,3.969
2022-10-21,3.79
2022-10-22,3.79
2022-10-23,3.79
2022-10-24,3.706
2022-10-25,3.585
2022-10-26,3.546
2022-10-27,3.524
2022-10-28,3.51
2022-10-29,3.51
2022-10-30,3.51
2022-10-31,3.537
2022-11-01,3.544
2022-11-02,3.769
2022-11-03,3.734
2022-11-04,3.765
2022-11-05,3.765
2022-11-06,3.765
2022-11-07,3.767
2022-11-08,3.74
2022-11-09,3.933
2022-11-10,3.658
2022-11-11,3.51
2022-11-12,3.51
2022-11-13,3.51
2022-11-14,3.594
2022-11-15,3.44
2022-11-16,3.742
2022-11-17,3.202
2022-11-18,3.299
2022-11-19,3.299
2022-11-20,3.299
2022-11-21,3.224
2022-11-22,3.097
2022-11-23,3.122
2022-11-24,3.122
2022-11-25,3.092
2022-11-26,3.092
2022-11-27,3.092
2022-11-28,3.16
2022-11-29,3.113
2022-11-30,3.071
2022-12-01,3.113
2022-12-02,3.076
2022-12-03,3.076
2022-12-04,3.076
2022-12-05,3.18
2022-12-06,3.203
2022-12-07,3.143
2022-12-08,3.14
2022-12-09,3.27
2022-12-10,3.27
2022-12-11,3.27
2022-12-12,3.262
2022-12-13,3.358
2022-12-14,3.292
2022-12-15,3.411
2022-12-16,3.511
2022-12-17,3.511
2022-12-18,3.511
2022-12-19,3.56
2022-12-20,3.553
2022-12-21,3.508
2022-12-22,3.578
2022-12-23,3.529
2022-12-24,3.529
2022-12-25,3.529
2022-12-26,3.529
2022-12-27,3.511
2022-12-28,3.573
2022-12-29,3.501
2022-12-30,3.469
2022-12-31,3.469
2023-01-01,3.469
2023-01-02,3.469
2023-01-03,3.558
2023-01-04,3.354
2023-01-05,3.322
2023-01-06,3.237
2023-01-07,3.237
2023-01-08,3.237
2023-01-09,3.506
2023-01-10,3.434
2023-01-11,3.224
2023-01-12,3.149
2023-01-13,3.113
2023-01-14,3.113
2023-01-15,3.113
2023-01-16,3.113
2023-01-17,3.128
2023-01-18,3.104
2023-01-19,3.145
2023-01-20,3.147
2023-01-21,3.147
2023-01-22,3.147
2023-01-23,3.061
2023-01-24,3.097
2023-01-25,3.064
2023-01-26,3.052
2023-01-27,3.104
2023-01-28,3.104
2023-01-29,3.104
2023-01-30,3.081
2023-01-31,3.04
2023-02-01,2.99
2023-02-02,2.943
2023-02-03,2.937
2023-02-04,2.937
2023-02-05,2.937
2023-02-06,2.979
2023-02-07,2.995
2023-02-08,3.245
2023-02-09,3.246
2023-02-10,3.251
2023-02-11,3.251
2023-02-12,3.251
2023-02-13,3.213
2023-02-14,3.202
2023-02-15,3.154
2023-02-16,3.223
2023-02-17,3.226
2023-02-18,3.226
2023-02-19,3.226
2023-02-20,3.226
2023-02-21,3.451
2023-02-22,3.447
2023-02-23,3.464
2023-02-24,3.493
2023-02-25,3.493
2023-02-26,3.493
2023-02-27,3.52
2023-02-28,3.511
2023-03-01,3.517
2023-03-02,3.165
2023-03-03,3.166
2023-03-04,3.166
2023-03-05,3.166
2023-03-06,3.31
2023-03-07,3.397
2023-03-08,3.41
2023-03-09,3.504
2023-03-10,3.662
2023-03-11,3.662
2023-03-12,3.662
2023-03-13,3.846
2023-03-14,3.798
2023-03-15,3.782
2023-03-16,3.754
2023-03-17,3.766
2023-03-18,3.766
2023-03-19,3.766
2023-03-20,3.843
2023-03-21,3.792
2023-03-22,3.95
2023-03-23,4.136
2023-03-24,4.197
2023-03-25,4.197
2023-03-26,4.197
2023-03-27,4.158
2023-03-28,4.117
2023-03-29,4.101
2023-03-30,4.224
2023-03-31,4.101
2023-04-01,4.101
2023-04-02,4.101
2023-04-03,3.86
2023-04-04,3.835
2023-04-05,3.954
2023-04-06,3.926
2023-04-07,3.926
2023-04-08,3.926
2023-04-09,3.926
2023-04-10,3.92
2023-04-11,3.939
2023-04-12,4.139
2023-04-13,4.124
2023-04-14,4.084
2023-04-15,4.084
2023-04-16,4.084
2023-04-17,4.055
2023-04-18,4.094
2023-04-19,4.059
2023-04-20,4.179
2023-04-21,4.245
2023-04-22,4.245
2023-04-23,4.245
2023-04-24,4.247
2023-04-25,4.437
2023-04-26,4.459
2023-04-27,4.467
2023-04-28,4.434
2023-04-29,4.434
2023-04-30,4.434
2023-05-01,4.512
2023-05-02,4.621
2023-05-03,4.739
2023-05-04,4.912
2023-05-05,4.714
2023-05-06,4.714
2023-05-07,4.714
2023-05-08,4.805
2023-05-09,4.83
2023-05-10,4.899
2023-05-11,4.834
2023-05-12,4.834
2023-05-13,4.834
2023-05-14,4.834
2023-05-15,4.736
2023-05-16,4.909
2023-05-17,4.642
2023-05-18,4.566
2023-05-19,4.899
2023-05-20,4.899
2023-05-21,4.899
2023-05-22,4.847
2023-05-23,4.906
2023-05-24,4.773
2023-05-25,5.161
2023-05-26,5.053
2023-05-27,5.053
2023-05-28,5.053
2023-05-29,5.053
2023-05-30,5.135
2023-05-31,5.332
2023-06-01,5.163
2023-06-02,4.604
2023-06-03,4.604
2023-06-04,4.604
2023-06-05,4.733
2023-06-06,4.465
2023-06-07,4.38
2023-06-08,4.432
2023-06-09,4.534
2023-06-10,4.534
2023-06-11,4.534
2023-06-12,4.407
2023-06-13,4.34
2023-06-14,4.428
2023-06-15,4.395
2023-06-16,4.434
2023-06-17,4.434
2023-06-18,4.434
2023-06-19,4.434
2023-06-20,4.459
2023-06-21,4.549
2023-06-22,4.627
2023-06-23,4.685
2023-06-24,4.685
2023-06-25,4.685
2023-06-26,4.642
2023-06-27,4.499
2023-06-28,4.531
